tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-11,739230.992281048,0.38814163677133473,3.6911434622930845,-1.1945547440059783,0.26984743597689503,0.04929524797728054,0.006027870932419286,0.048925312928622865,2024-07-15,2024-11-08,739081.0,739197.0,0.8720607433719033,0.5756288444203237,0.17824198969111013,1.0228938868730044
2024-12-03,739222.6758969022,0.9667387228421258,11.981631080051,0.07035371879394689,0.001904025625425937,-0.0014318853717986493,-0.00038246910866435554,0.00137985981131724,2024-07-20,2024-11-08,739086.0,739197.0,3.1885105590350404,0.10728962023478278,0.17824198969111013,1.0501471716157689
2024-11-14,739203.9730881568,0.34058996002788683,3.904244631909086,-0.05352837236964575,0.0709263706322453,0.025931633379806324,0.01794706145775581,0.018717708053504343,2024-07-25,2024-11-08,739091.0,739197.0,1.730599652725004,0.23860123320985777,0.17824198969111013,0.8359813123922845
2024-12-24,739243.6046186056,0.3709481732690308,8.494056914955518,0.0010723051531543635,0.035246468909803284,0.012203563503277089,0.00991023991543322,-0.007121383783863271,2024-07-30,2024-11-08,739096.0,739197.0,1.5584878255383448,0.12613250452891245,0.17824198969111013,0.5692725922856732
2024-11-30,739219.0098722725,0.21967824459447122,10.685542177219366,0.1294624011186745,0.015063719696255952,0.019886152993013714,0.010610849924569317,0.01681870817690275,2024-08-04,2024-11-08,739101.0,739197.0,2.8558742714610905,0.015572987541227538,0.17824198969111013,0.3607686215328358
2024-11-25,739214.9093237465,0.2266677320773463,8.187908638632074,0.08773148379621876,0.03381481435480444,-0.015418115494578397,-0.011538510952209124,0.010226487686880016,2024-08-09,2024-11-08,739106.0,739197.0,2.3524318246769904,0.06071450017395961,0.17824198969111013,0.3990771211312376
2024-11-09,739198.0009458562,0.5959458796963789,4.038469449178696,0.13408543737396458,0.004554476623493812,-0.004246658837165007,-0.0012125287287379778,0.004069875349596929,2024-08-14,2024-11-08,739111.0,739197.0,2.8698277255965974,0.15826363063427423,0.17824198969111013,0.3980115031806303
2024-11-23,739212.1577061642,0.025821369763086917,8.637955844297894,-0.9846588714462475,1.0478960654619756,-0.0477550073555919,-0.03789123440051337,-0.02906535881660484,2024-08-19,2024-11-08,739116.0,739197.0,2.539867071242455,0.06559452486361943,0.17824198969111013,0.32086734547389745
2024-12-09,739228.8405156126,0.32326621694200447,11.770639546909743,0.09196389411953687,0.02090290701432178,0.013501535838083034,0.008420895845256775,0.010553671548346468,2024-08-24,2024-11-08,739121.0,739197.0,2.2853323248959816,0.04251907182592286,0.17824198969111013,0.31254146312983244
2024-11-12,739201.244431752,0.9325338712581897,2.886344219750875,0.12929325719388224,0.001112685278803654,-0.002177547906088491,-0.0017815680565112708,-0.0012520903095739634,2024-08-29,2024-11-08,739126.0,739197.0,1.320767392676589,0.16509013250382443,0.17824198969111013,0.2993224809744178
2024-11-29,739218.520835878,0.4387449254580057,4.748865170463569,0.11876510480484671,0.008778517626499144,0.008245593557142612,0.008241186085834922,0.0002695644788035618,2024-09-03,2024-11-08,739131.0,739197.0,1.0602855731375171,0.09836068146083071,0.17824198969111013,0.2837274585457419
2024-11-08,739197.5107728764,0.7244897965740941,8.849342790703425,0.11835968602391292,0.00553371996712897,-0.00497469173779139,-0.0006945859418736106,0.004925962672960634,2024-09-08,2024-11-08,739136.0,739197.0,6.7477841386245885,0.09106935456610067,0.17824198969111013,0.16408341806117524
2024-11-21,739210.4710380142,0.9906114759596119,13.30335136525677,0.10488062970053295,0.0018866618582749196,-0.001593024076217724,-0.0015904153605614862,-0.00009113006254475134,2024-09-13,2024-11-08,739141.0,739197.0,3.473141320308767,0.08818891981689644,0.17824198969111013,0.1379683266797686
2024-11-13,739202.2560853194,0.6722241788763493,10.28797574045951,0.09794945396785137,0.008168494224202504,-0.005554377197892147,-0.0026579624140660348,0.004877124343491405,2024-09-18,2024-11-08,739146.0,739197.0,3.8814598531584283,0.0960927970147391,0.17824198969111013,0.12498091029005948
2024-11-20,739209.6403381181,0.1284488911595372,14.264658358451815,-0.5022889912035023,0.4326132383096993,0.030051969340674292,0.029321411853985936,0.006586020660593219,2024-09-23,2024-11-08,739151.0,739197.0,3.4838287639575536,0.12962711423268933,0.17824198969111013,0.13103734242779072
2024-11-20,739209.9776002069,0.270806836667211,13.190397945399774,-0.10313169845932978,0.10626361556121595,-0.018829319339608734,-0.017836068501915974,0.006034726769947778,2024-09-28,2024-11-08,739156.0,739197.0,2.9922496512133265,0.11586484726933892,0.17824198969111013,0.09541455922910026
2024-11-24,739213.8279754143,0.6166710051322254,5.34520317355476,0.20429154583237735,-0.007354327241320958,0.008399717138419714,0.006852274546163914,0.004858145896271126,2024-10-03,2024-11-08,739161.0,739197.0,0.9732169941969854,0.10101075113933403,0.17824198969111013,0.0608478393243482
2024-11-11,739200.7646081271,0.14329660912346467,12.655921876956679,-0.128317220281739,0.19285923004073766,-0.014466614428306063,-0.009394280086640052,0.011001383307158755,2024-10-08,2024-11-08,739166.0,739197.0,4.477594917111417,0.15094392901689216,0.17824198969111013,0.09455274263440237
