tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-02,739252.9171538285,0.930010616961261,9.410446222630945,-0.23024049314215841,0.007747539991163862,0.0014110727555212371,0.001411005775761396,0.000013748532368163092,2024-07-15,2024-11-08,739081.0,739197.0,1.6821503976823253,0.5426153923019422,0.09684982598991762,0.883368070140966
2024-12-23,739242.8051029728,0.4096542349163418,6.547986215711682,-0.7650914958448612,0.17636484094892055,-0.017510245517757116,-0.004118676844650322,-0.017018965865806143,2024-07-20,2024-11-08,739086.0,739197.0,1.2824713577924705,0.6301290008109518,0.09684982598991762,0.5546381664145275
2024-12-20,739239.897430095,0.5902211842929376,4.304159454740122,-0.1725799619810778,0.03302391883873125,0.011409209234103103,0.008375118122397055,0.00774773849477639,2024-07-25,2024-11-08,739091.0,739197.0,0.8524805054876162,0.3969168212391269,0.09684982598991762,0.4803105974839416
2024-12-19,739238.4337737081,0.12115502632467615,5.016320918355142,-1.7902042646395444,1.232770224121096,-0.08520445832351624,-0.058384640002886755,-0.06205669609266298,2024-07-30,2024-11-08,739096.0,739197.0,0.9858147565699925,0.349442673911995,0.09684982598991762,0.43374700043238074
2024-12-20,739239.3512501713,0.6687243758871836,5.628379987973044,-0.2137127988942818,0.027036488390721185,0.007324537695469127,0.007031408749124904,0.0020513759906652758,2024-08-04,2024-11-08,739101.0,739197.0,1.060427718098777,0.43856483733450363,0.09684982598991762,0.4307347864669185
2024-12-01,739220.5653108142,0.349039700205339,5.476947061014467,-0.7630036663460087,0.25911553730655534,-0.019623642273141527,-0.00925974091853103,-0.01730157606074976,2024-08-09,2024-11-08,739106.0,739197.0,1.378453057552094,0.8414922503963972,0.09684982598991762,0.4375015350151677
2024-12-19,739238.8485471607,0.6613682694378199,10.744031693008392,-0.5351064325946272,0.0477083530873608,-0.0017861859782431948,-0.0013040388683399277,-0.0012206322045281777,2024-08-14,2024-11-08,739111.0,739197.0,1.9096713826183853,1.6441590341077665,0.09684982598991762,0.4470046299733529
2024-11-24,739213.337566691,0.559393998413298,5.053190348449302,-0.39908968288257024,0.08007152887024752,0.005280563107507996,0.0019474196285656834,0.004908350387110888,2024-08-19,2024-11-08,739116.0,739197.0,1.4353418765031944,1.678610859495476,0.09684982598991762,0.20088620157270065
2024-11-15,739204.881377829,0.5382360080584835,2.828149933039967,-0.16699213303964905,0.06046168097768659,0.011345707781159696,0.0025437914443239796,-0.011056862581367816,2024-08-24,2024-11-08,739121.0,739197.0,1.0644750986450446,1.014189109668878,0.09684982598991762,0.19938267454626304
2024-12-03,739222.9865784005,0.10862591159762383,2.552666575896104,2.0192123874061956,-1.1521538608564401,0.22014077078855857,0.1315844466616069,-0.17648652175205737,2024-08-29,2024-11-08,739126.0,739197.0,0.5350538537187874,0.22271493382191604,0.09684982598991762,0.1827955899005719
2024-11-17,739206.3791103425,0.05379946235239698,10.950486865777568,-5.066861714734594,4.418421173580455,0.030537101700420535,0.03003958797869831,-0.005489784543301374,2024-09-03,2024-11-08,739131.0,739197.0,3.6321243566392662,0.7108595509484128,0.09684982598991762,0.2861263908011192
2024-11-24,739213.3178511028,0.6063402502079068,3.058802594135728,0.04136932855439515,0.01632578986061898,0.017126338132271945,0.01709028794706718,0.0011106375228859692,2024-09-08,2024-11-08,739136.0,739197.0,0.7573344564434359,0.18896206951128586,0.09684982598991762,0.14737753881639495
2024-11-12,739201.0675307803,0.10384445229977526,5.502177476601544,-1.7762657249870502,1.4471261663526607,-0.020914262870533495,-0.01749078358544981,0.011466424071380559,2024-09-13,2024-11-08,739141.0,739197.0,2.357760469880508,1.305907870569236,0.09684982598991762,0.349364451938011
2024-11-10,739199.1649530852,0.3709414396132203,6.50599945858507,-0.2950548352816907,0.16534036273941008,0.007304294908772252,0.0073001076922402635,0.0002472888918062846,2024-09-18,2024-11-08,739146.0,739197.0,3.31451451374739,1.2906007614694148,0.09684982598991762,0.26543988825274445
2024-11-28,739217.8297336443,0.021888140621835642,11.317836150695994,-19.551840956797196,18.23022579377389,-0.04392762989744375,-0.030826843872542923,-0.03129444623674714,2024-09-23,2024-11-08,739151.0,739197.0,2.0998832660798743,0.802601087649121,0.09684982598991762,0.15509390483362456
2024-11-24,739213.3405042866,0.42667518308034647,14.084327779628572,-0.6081293027586621,0.17603447526242388,0.005617681835351003,0.0024802699059808214,0.005040497038657846,2024-09-28,2024-11-08,739156.0,739197.0,2.814003588827581,0.9492964375884736,0.09684982598991762,0.1303425782701319
2024-11-10,739199.6792123282,0.8515217014424175,8.06246205541003,-0.059884118971158584,0.018107958225043404,0.0012090294201948203,0.001043043153345058,0.0006114025835377382,2024-10-03,2024-11-08,739161.0,739197.0,3.425809451994176,1.5818330741144204,0.09684982598991762,0.1028236305581269
2024-11-14,739203.3479368575,0.22454965612617445,13.595827726956319,-0.6058643676106479,0.383479418577239,0.007483168772533663,0.006096638936602697,0.004339217504910639,2024-10-08,2024-11-08,739166.0,739197.0,3.8346499804893566,0.8463758468038814,0.09684982598991762,0.13078793722167664
