tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-17,739236.149103225,0.16523090326788828,10.529048747648874,-0.9297029338024138,0.5852424200889297,-0.041007199847512714,-0.040981192169363294,0.001460249195022259,2024-07-15,2024-11-08,739081.0,739197.0,2.307523202976765,0.22396379785017756,0.3628363684690042,1.9462057966985942
2024-11-22,739211.8449655931,0.6717413992776048,10.444513420799757,0.12409214875608242,0.009838084972820089,0.0027053524431440035,0.0022970676948465027,0.0014291297516033326,2024-07-20,2024-11-08,739086.0,739197.0,3.5529745960791868,0.23388405788438643,0.3628363684690042,1.889890884856856
2024-11-13,739202.0162299435,0.15727458442191036,11.142678792418552,-0.15170671433063812,0.23432836698274542,-0.025918621843479667,-0.011178827669470663,-0.02338394257180723,2024-07-25,2024-11-08,739091.0,739197.0,5.4922542621661625,0.12760917341902325,0.3628363684690042,1.5242569839734765
2024-12-05,739224.0906581053,0.2127081494181105,12.675567444720826,-0.028273908036704463,0.11686188675082933,-0.007184652676870372,-0.0071840010170119055,-0.0000967650496434656,2024-07-30,2024-11-08,739096.0,739197.0,3.134098129468354,0.27295046242071525,0.3628363684690042,1.5203066024538343
2024-12-03,739222.0752589788,0.21316708502168585,13.70951130446041,-0.00877936679725688,0.10728787289737804,0.02313940846344239,0.020521587134959433,0.010690962795758699,2024-08-04,2024-11-08,739101.0,739197.0,3.4355259156167,0.07209357383608624,0.3628363684690042,1.3197492432876878
2024-12-02,739221.147987151,0.799961184196093,12.327913457371835,0.16275193304043162,0.003560724380007492,-0.0005662229548659843,-5.7587368696292e-6,0.0005661936696633364,2024-08-09,2024-11-08,739106.0,739197.0,3.0647531301945166,0.4080658243552602,0.3628363684690042,1.2158690733643835
2024-12-06,739225.4334579782,0.5622039941729876,4.390322788345895,0.15006799803322027,0.009285254912783744,0.008939568196477232,0.00893323843610516,0.00033634890093563435,2024-08-14,2024-11-08,739111.0,739197.0,0.9729465990894409,0.1330070815238102,0.3628363684690042,0.8602413806695927
2024-11-10,739199.2813517513,0.43040213004104644,14.242208577434928,0.07713604792127488,0.04232793586402442,0.007209034919533993,0.004170349769620589,-0.005880337343221557,2024-08-19,2024-11-08,739116.0,739197.0,8.154419061162542,0.1774381625511438,0.3628363684690042,0.8140763182076741
2024-11-19,739208.1481941376,0.22982506344278303,13.720779647086633,-0.22353503651696052,0.2080839918939495,0.02059044958577029,0.000908089757991426,-0.02057041533697317,2024-08-24,2024-11-08,739121.0,739197.0,4.490474830283917,0.16927446129610127,0.3628363684690042,0.7140410768888421
2024-12-01,739220.528268016,0.046041320351735145,10.69767567785766,-2.876325072447997,2.615912120767595,0.06671574465551738,0.013631910075695513,0.06530820478797708,2024-08-29,2024-11-08,739126.0,739197.0,2.367782832083232,0.1687536421215908,0.3628363684690042,0.4980826285130004
2024-11-27,739216.3360416462,0.29426480563199614,9.403526908100687,-0.18042085389728946,0.1404868586330311,0.024906193501394072,0.0017065198276152947,0.024847661153654676,2024-09-03,2024-11-08,739131.0,739197.0,2.221917826856186,0.176512674410771,0.3628363684690042,0.5022154678818405
2024-11-11,739200.873948969,0.9947943493036393,6.348929397113071,0.1282666069471539,0.0039655141927263035,0.001809294095352013,0.0011645497347054362,-0.0013846909542829975,2024-09-08,2024-11-08,739136.0,739197.0,2.8476596796255795,0.3434180792333484,0.3628363684690042,0.41899173648000193
2024-11-18,739207.8579258397,0.5044735200481371,12.480799695374763,-0.08652849118512383,0.05750321797649855,0.013720812457420179,0.010480272275880128,-0.00885576577801802,2024-09-13,2024-11-08,739141.0,739197.0,3.6105941323682846,0.1693980016215193,0.3628363684690042,0.28228248467161465
2024-11-22,739211.7542798315,0.3108589696761686,12.920255990286622,-0.2813591713474164,0.17446388053991463,-0.021112815695988017,-0.015098450726078603,0.014757634372924901,2024-09-18,2024-11-08,739146.0,739197.0,3.07295115382044,0.19881614850335674,0.3628363684690042,0.3606561610622894
2024-11-16,739205.0418082214,0.24346764035076834,7.657161721664065,-0.3445891274710087,0.26071131747868626,0.026777651459122066,0.01160520430128737,-0.024132174597238494,2024-09-23,2024-11-08,739151.0,739197.0,2.3217028951629795,0.3095713969144337,0.3628363684690042,0.38668502220560697
2024-11-09,739198.4579999774,0.22589597117571986,5.010744109759794,-0.03753789782845091,0.135612576636521,0.015008981725362238,0.014764575853823719,0.0026975604328621106,2024-09-28,2024-11-08,739156.0,739197.0,2.6886795577462315,0.4073380683670217,0.3628363684690042,0.3783792604807732
2024-11-13,739202.9577997854,0.9841397799209404,9.403051965318308,0.10735326816166897,0.004745027035773917,0.001934228715556685,0.0013848107844033073,-0.0013503850619302478,2024-10-03,2024-11-08,739161.0,739197.0,2.921195147973809,0.2567549441680134,0.3628363684690042,0.20757369521545369
2024-11-15,739204.0144874747,0.5053468861304561,5.671721756833223,0.09047322628024163,0.019200317058899307,0.013127556589339336,0.01205385996378724,-0.005199730952627619,2024-10-08,2024-11-08,739166.0,739197.0,1.5255242058245007,0.13031643124250528,0.3628363684690042,0.18657023499425626
