tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-19,739208.0195995254,0.6231412814461962,8.685194718109674,0.7485032514203451,-0.0352452205164005,-0.007408683734695616,-0.0069905724584900545,-0.0024536689636835063,2024-07-15,2024-11-08,739081.0,739197.0,3.3792413663413474,0.3413234602892082,0.5652189060489602,1.3820125297345747
2024-11-25,739214.9730354024,0.9485177166283894,3.4515022148688352,0.5148061275680682,-0.002013181111143514,0.004103991431907902,0.003636174621624005,-0.0019028872258310516,2024-07-20,2024-11-08,739086.0,739197.0,1.0825689879738358,0.13480738746781415,0.5652189060489602,0.7813166549503189
2024-11-12,739201.5035207825,0.8025510948978622,7.686842754748618,0.6610021159224865,-0.015202057742727353,-0.0036436134177769055,-0.001352808049889139,-0.003383168502803111,2024-07-25,2024-11-08,739091.0,739197.0,3.9151067393036194,0.4356069293495456,0.5652189060489602,1.1194516082978825
2024-12-01,739220.2239455923,0.6875609085185962,9.758614820369662,0.8952388418977227,-0.03221625927295263,-0.0034206551414100953,-0.0031828533021554307,0.001253126670936977,2024-07-30,2024-11-08,739096.0,739197.0,2.6044499007217654,0.6635731726720125,0.5652189060489602,1.1185307236862432
2024-11-30,739219.1280402497,0.8746285960114455,11.136581930962867,0.8162262667227334,-0.01300204864273494,-0.0019025455187658255,-0.0011238867022410712,0.001535108508054598,2024-08-04,2024-11-08,739101.0,739197.0,2.9687049161932197,0.5367208743451078,0.5652189060489602,0.8447985859164391
2024-12-10,739229.6799248884,0.27554295677887547,2.385807768942938,-2.565958721223966,0.9290664556219791,-0.21331743975747317,-0.1237039251598496,0.17378627392498383,2024-08-09,2024-11-08,739106.0,739197.0,0.505373836310226,0.5030072946510235,0.5652189060489602,0.7737541790952874
2024-12-04,739223.9981157903,0.40595033906856626,3.7676762432668367,0.6295706267142417,-0.04636558133235756,0.034991727567338496,0.0007181768578720213,0.03498435679196713,2024-08-14,2024-11-08,739111.0,739197.0,0.8584532153690335,0.1427675992631224,0.5652189060489602,0.7125882237569244
2024-12-05,739224.2659774245,0.2880881192447245,5.351501064615978,1.413649622955867,-0.3144473076657487,-0.03938277209306562,-0.0192398006830681,0.0343632479170721,2024-08-19,2024-11-08,739116.0,739197.0,1.1744774130166087,0.42982466224479954,0.5652189060489602,0.6315784238425085
2024-11-25,739214.2176597153,0.8898062709171366,12.315022397963649,0.7695739906046604,-0.011815044577844602,0.002634443681819428,0.0025078875658568357,0.0008067177137629864,2024-08-24,2024-11-08,739121.0,739197.0,3.310437545420133,0.32404602751684153,0.5652189060489602,0.6976753765011161
2024-11-20,739209.3284009773,0.7778643303761468,13.759517792141493,0.7872704741621603,-0.021392633088205656,0.003970069405232907,0.0022485446073033685,-0.0032719257680047247,2024-08-29,2024-11-08,739126.0,739197.0,4.184635432307621,0.30462587254920587,0.5652189060489602,0.7882195390365524
2024-11-18,739207.6101444132,0.3155634651665314,8.22829624000579,1.1670314076579338,-0.245727222244904,0.018768964580543748,0.011527542757354224,0.014811812495541383,2024-09-03,2024-11-08,739131.0,739197.0,2.588921680486962,0.5020994595352475,0.5652189060489602,1.0739132018713256
2024-11-28,739217.3366704973,0.8387448975648388,6.127824050241238,0.7193428147920475,-0.010744170501110617,-0.003751664320058797,-0.0012153498004860077,-0.003549353466881096,2024-09-08,2024-11-08,739136.0,739197.0,1.3518961007921224,0.39198777520537276,0.5652189060489602,0.6227490340988237
2024-11-09,739198.0958286636,0.029679594656565795,4.48521447029433,2.608820149309311,-1.967530282204189,0.0724797398814413,0.0047903368147010645,0.07232126496738785,2024-09-13,2024-11-08,739141.0,739197.0,2.821982742583943,0.17963028129300526,0.5652189060489602,0.8832501965251833
2024-11-17,739206.7097205721,0.5024484063034241,3.500981315490334,0.6347529060938093,-0.02853949520467626,0.014710495383874997,0.008775609637530601,-0.011806241990095223,2024-09-18,2024-11-08,739146.0,739197.0,1.0213316241688306,0.278432975928992,0.5652189060489602,0.4167701620165889
2024-11-26,739215.2303006097,0.18072261765052547,4.445813822988137,1.5391290568207856,-0.557413919229492,-0.0517385596523767,-0.040919887230222336,-0.0316613547399417,2024-09-23,2024-11-08,739151.0,739197.0,0.8911106653734566,0.4379501825257352,0.5652189060489602,0.2461165961551491
2024-11-15,739204.2827669817,0.10088389441104488,6.050701413395002,0.33019620832275465,0.12660028053339817,0.08097652509072054,0.06683389090010129,0.045721205615353706,2024-09-28,2024-11-08,739156.0,739197.0,1.821574156317442,0.026067035815948165,0.5652189060489602,0.18552953742742195
2024-11-12,739201.0244426169,0.32859883701168574,11.40559244020363,0.5769114040803319,-0.02541021124565716,0.018709703854703632,0.016058390942439,-0.009601098826202395,2024-10-03,2024-11-08,739161.0,739197.0,4.169832613748347,0.03912816989021287,0.5652189060489602,0.31953755023962355
2024-11-08,739197.3912875041,0.9684654182509105,10.232899310303857,0.5013340690911307,0.00256554633638087,0.005444854267666304,0.005307372189708497,-0.0012158282921666175,2024-10-08,2024-11-08,739166.0,739197.0,7.141227807699198,0.044594265937696505,0.5652189060489602,0.15339114378977806
