tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-21,739240.6268901562,0.29906206183482437,9.583309646797968,0.07287094951342661,0.0745032166487219,0.027203818491645732,0.01467178497160023,-0.022908218312944633,2024-07-15,2024-11-08,739081.0,739197.0,1.9784770859015688,0.0854655235559556,0.40879289820083897,2.2920124540869726
2024-12-26,739245.4258273348,0.9193206765296926,11.31979470003468,0.29114457496112967,0.0009067865390846554,-0.0016451660791811063,-0.00005076557066425978,0.0016443826455309171,2024-07-20,2024-11-08,739086.0,739197.0,2.1466898772984315,0.044763475221644165,0.40879289820083897,1.8833422917530627
2024-12-28,739247.8236210064,0.6244342269199602,7.534489443484327,0.34676545981789786,0.00040920356038940965,-0.003957520524048175,-0.0023321299004911773,0.0031973643560747893,2024-07-25,2024-11-08,739091.0,739197.0,1.35115626571916,0.00856937403129874,0.40879289820083897,1.8912633314988154
2024-12-09,739228.0190855368,0.5128555877650999,2.6427750905260328,0.4539131861693531,-0.0195556501560357,0.011642713586855369,0.002120115397904477,-0.01144805181527036,2024-07-30,2024-11-08,739096.0,739197.0,0.6091889365353499,0.3259514612966411,0.40879289820083897,1.5940066658811947
2024-12-08,739227.9976723088,0.2925945226500338,9.165067980177113,0.5572665428496923,-0.0646061442183813,-0.02081474608522798,-0.020620815724236654,0.002834715763456333,2024-08-04,2024-11-08,739101.0,739197.0,2.057093237292875,0.09909077074500143,0.40879289820083897,1.4157611205215934
2024-11-27,739216.1012184675,0.790635963083276,11.596464076265423,0.4183971092955324,-0.0032505201694516357,-0.0014784309088930047,-0.00043091045200875015,-0.0014142397727117603,2024-08-09,2024-11-08,739106.0,739197.0,3.2329020904761827,0.14990040614348032,0.40879289820083897,1.3901934969738576
2024-11-16,739205.643615195,0.24757941978048886,7.455772905119028,0.25724203064922374,0.03795016121587718,-0.03686601214500688,-0.0007555956705768993,-0.03685826809086954,2024-08-14,2024-11-08,739111.0,739197.0,2.8399421257142574,0.034182933705386845,0.40879289820083897,1.0380071203745995
2024-11-30,739219.3026296063,0.8764912470115211,11.596311757254256,0.2776119826378631,0.002584700541399252,0.0034985731625947923,0.00021516411273553974,-0.003491950540689158,2024-08-19,2024-11-08,739116.0,739197.0,2.829243576520335,0.05584020118915147,0.40879289820083897,0.5203115877605259
2024-11-13,739202.4359620074,0.5398770886527403,4.690180614028698,0.36570545166380186,-0.003117960198194082,0.006180273189241799,0.005980594122792463,-0.0015582909330677768,2024-08-24,2024-11-08,739121.0,739197.0,2.0205180379788183,0.058072192648488744,0.40879289820083897,1.032093697021878
2024-11-25,739214.9236185676,0.9857098349770808,9.982847669432088,0.3050187121236663,0.0011265115836055818,-0.002365477131700861,-0.0020312774405521427,-0.0012121856376412278,2024-08-29,2024-11-08,739126.0,739197.0,2.5447462887593257,0.047023132152434206,0.40879289820083897,0.4457694307370278
2024-11-16,739205.0235661283,0.39653650138886676,10.560184774305915,0.26257904669360305,0.024406006293347212,-0.028633698782797378,-0.014154666139119313,-0.02489044259297214,2024-09-03,2024-11-08,739131.0,739197.0,3.7345287427602134,0.032005964574565164,0.40879289820083897,0.45990329451731654
2024-11-14,739203.5508189593,0.532526728189651,10.666375568078907,0.2606736676284017,0.01700066521584394,-0.01393536618435463,-0.007856419968764513,-0.01150960885375575,2024-09-08,2024-11-08,739136.0,739197.0,3.961008223012506,0.06090768162725312,0.40879289820083897,0.4990223190733989
2024-11-24,739213.2987332875,0.5993329758994158,6.4329501373799065,0.2402069949024074,0.014562407234362166,-0.006972213461354349,-0.00658927161395957,0.002278872560753988,2024-09-13,2024-11-08,739141.0,739197.0,1.5252278851200283,0.1945899853422164,0.40879289820083897,0.5710189936841135
2024-11-22,739211.8400809567,0.2335818419075147,10.644229181286423,0.054714786285565815,0.13110344793527187,0.036689163545869506,0.032648194071415074,-0.016738881252066323,2024-09-18,2024-11-08,739146.0,739197.0,2.5240073845419393,0.07841536436687108,0.40879289820083897,0.4987514797674176
2024-11-21,739210.1738849158,0.08895041248831473,10.920706654622366,-0.14811522876738797,0.37309623117511526,0.04824484977689956,0.04448185492397436,0.018679671103049533,2024-09-23,2024-11-08,739151.0,739197.0,2.611026682006208,0.06298935024079264,0.40879289820083897,0.5544471062601397
2024-11-20,739209.3170688517,0.5979830233115965,5.351758278456794,0.2414664832958286,0.015172277640409078,0.00973905533451042,0.0020831279656220113,-0.009513662632629953,2024-09-28,2024-11-08,739156.0,739197.0,1.2480570274365144,0.1740709554130832,0.40879289820083897,0.3871000209474404
2024-11-15,739204.3187408983,0.26448666120972925,6.8074541167335445,0.18981492631995467,0.06686883431488388,-0.03639593230481461,-0.030509013720922816,0.01984600640212512,2024-10-03,2024-11-08,739161.0,739197.0,1.9265155930209472,0.07138220436211433,0.40879289820083897,0.27496248101249776
2024-11-22,739211.4029546735,0.747899175018521,8.15721387822875,0.22417377535600683,0.010302949512483678,-0.007955923743198316,-0.007139631491512772,0.003510325451149195,2024-10-08,2024-11-08,739166.0,739197.0,1.4905902316843884,0.11873319777704029,0.40879289820083897,0.17838145545991416
