tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-30,739249.3567844124,0.9686222175350587,12.12056289438161,-0.09191260311129748,0.003225209758372762,0.0009406066417537791,0.0008378477043949361,0.0004274951213188963,2024-07-13,2024-11-08,739079.0,739197.0,2.275916170984478,0.274019557695152,0.07454818835589563,0.6508109673580368
2024-12-17,739236.2520417824,0.675600984082323,13.81620356808831,-0.12243102983874393,0.015185438458483719,0.004154863342287343,0.0023130655866097985,0.0034514659182910416,2024-07-18,2024-11-08,739084.0,739197.0,2.980706562101493,0.1787195828604754,0.07454818835589563,0.6248660517735433
2024-11-18,739207.3700038043,0.8487718374077211,13.017531942903819,0.04191282643069068,0.004455387257849122,0.002236498676308024,0.0022364135019579292,-0.000019518642058645307,2024-07-23,2024-11-08,739089.0,739197.0,5.04463267552565,0.12989101844688186,0.07454818835589563,0.5636514457797359
2024-12-22,739241.8124824153,0.4510650198839198,3.7906432262196907,0.487245782472451,-0.04666892739704127,0.018947755539259366,0.015553744862265765,-0.010821204218342586,2024-07-28,2024-11-08,739094.0,739197.0,0.7200125816930256,0.29308681723098345,0.07454818835589563,0.7078221213485226
2024-11-19,739208.3572884671,0.6640379003806088,6.060634871741936,0.050929666998753474,0.007476704181032228,0.006398295100100067,0.00395760967503671,0.005027475096708124,2024-08-02,2024-11-08,739099.0,739197.0,2.184542875612958,0.1280326335372405,0.07454818835589563,0.41590680809590647
2024-11-23,739212.2376620923,0.40341254257929904,12.333943500485198,-0.12417578343344625,0.05880828962379745,-0.013549909116023237,-0.011956759620994083,-0.006374632257491802,2024-08-07,2024-11-08,739104.0,739197.0,3.848593644717064,0.14195464517451115,0.07454818835589563,0.508487557550618
2024-12-06,739225.0009619435,0.866280370952663,13.851591282451931,-0.003034117555423855,0.004467170152979886,0.0017927818116920016,0.001762311928803505,-0.00032912503692445686,2024-08-12,2024-11-08,739109.0,739197.0,3.1334572426123946,0.15583459005852598,0.07454818835589563,0.44640660238960633
2024-12-09,739228.3465985152,0.325385310156918,4.0585726945814,-0.08511956343017098,0.06443256312741695,0.017042214226153738,0.01599081534954254,0.005893291965188179,2024-08-17,2024-11-08,739114.0,739197.0,0.8359317739404887,0.303112607747658,0.07454818835589563,0.4342526699026234
2024-12-04,739223.764558612,0.4174857116730385,3.2273052086108516,-0.49345917013959617,0.12880281023512458,-0.02080351425132157,-0.012027905593529911,-0.016973971021480842,2024-08-22,2024-11-08,739119.0,739197.0,0.7009342804489131,0.8009219784127851,0.07454818835589563,0.164542496036024
2024-12-14,739233.3213815198,0.24755022374869468,3.723211353366959,-1.9013188121079025,0.7508574116391767,0.062425247240482214,0.047564109873804314,0.040429777948289586,2024-08-27,2024-11-08,739124.0,739197.0,0.6529414716139249,0.7997289798303934,0.07454818835589563,0.12349368300512988
2024-11-27,739216.8547120445,0.4007268557807159,9.622794726174783,-0.14396256300808022,0.06053196432175457,-0.010494424155051989,-0.0018727837170891667,-0.010325968211027204,2024-09-01,2024-11-08,739129.0,739197.0,2.277735615607452,0.24020020933431735,0.07454818835589563,0.2023724158573893
2024-11-24,739213.9626672658,0.9198163349475093,5.826062105145541,0.048193444908440505,0.0026972000204065864,0.0018534044481039772,0.0013545699417597265,0.0012650092178054116,2024-09-06,2024-11-08,739134.0,739197.0,1.4377375346823784,0.2297571108219029,0.07454818835589563,0.09324659658581176
2024-11-19,739208.7186924211,0.5932522278444762,11.519483023111341,0.041685241692995006,0.009603593551832821,-0.005009339346789115,-0.0016558523203807755,-0.00472775145120587,2024-09-11,2024-11-08,739139.0,739197.0,3.26944060831877,0.0987324029659268,0.07454818835589563,0.11602295963500325
2024-11-08,739197.7840117572,0.6794470177636082,6.3043052768981305,0.10029522704120054,0.0016201607521327912,0.002142060469510985,0.0020492373602567595,0.0006237381633101589,2024-09-16,2024-11-08,739144.0,739197.0,4.242520317237013,0.08151635320058398,0.07454818835589563,0.07609811368611566
2024-11-18,739207.9348137106,0.8685576852667551,2.9391774395883745,0.011396776947787299,0.006150339121878483,-0.0031103678556008837,-0.0010326460697249967,0.0029339444936530013,2024-09-22,2024-11-08,739150.0,739197.0,0.7799685694445866,0.5843326719961016,0.07454818835589563,0.0625324052294729
2024-11-12,739201.5456607633,0.26294205890257044,10.056241385102696,0.10503180319251106,0.0020627072964560867,-0.009506928423788492,-0.005899440683483455,0.007455084686111741,2024-09-27,2024-11-08,739155.0,739197.0,3.7231814455481587,0.005673117132265363,0.07454818835589563,0.059089336315493
2024-11-14,739203.5397905057,0.21952683846657922,4.8584346822493085,0.09110126093361307,0.009920468806366935,-0.011859841383815826,-0.0056469552109770635,0.01042917707657174,2024-10-02,2024-11-08,739160.0,739197.0,1.4658926661852052,0.03779588942039431,0.07454818835589563,0.05029064092644466
2024-11-22,739211.3459427609,0.8098673346857157,13.45521726501701,0.11265637439624551,-0.000369617473280913,0.0014531906971435229,0.0008982606529777964,-0.0011423182575693957,2024-10-07,2024-11-08,739165.0,739197.0,2.5112236734573203,0.015309219589844767,0.07454818835589563,0.03566034268834777
