tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-21,739240.0470076969,0.41799469002490663,4.083050120749508,-0.12286044740346903,0.07188752856006628,-0.028157471937813115,-0.028156544936276125,-0.00022848015274061983,2024-07-15,2024-11-08,739081.0,739197.0,0.8492773751755609,0.26136410760054807,0.4556741625240641,1.1386669902018947
2024-12-04,739223.7886923958,0.5765713911457996,3.6463108590042377,0.18229176804686437,0.012966957130067248,0.013761606487331834,0.013247027002363129,0.0037280140438088185,2024-07-20,2024-11-08,739086.0,739197.0,0.9504278558187162,0.14899384864890036,0.4556741625240641,1.1551118811696084
2024-12-09,739228.2676256418,0.21738595215020423,14.00553493882807,0.4852416062126865,-0.07943012724072675,0.03153137274575622,0.0016890147282471529,-0.031486103227925506,2024-07-25,2024-11-08,739091.0,739197.0,3.2975436273660956,0.03909976563599627,0.4556741625240641,1.5873179744096753
2024-12-11,739230.2917566866,0.9219704569120544,3.4428789947229186,0.21674715888225524,0.0025752673919380454,0.0031992994160729,0.0030690602716822507,-0.0009035407032702339,2024-07-30,2024-11-08,739096.0,739197.0,0.7642302395317335,0.21555727664115554,0.4556741625240641,0.9794207861518939
2024-12-01,739220.3210581987,0.45646909135441927,12.504748724604475,0.5670864069204572,-0.04598154555219344,-0.01159894618444022,-0.006555113569935287,0.009569014509069917,2024-08-04,2024-11-08,739101.0,739197.0,3.248911935669245,0.14471096442468845,0.4556741625240641,0.578107949737705
2024-11-11,739200.4989547455,0.2934405386482571,12.78952502261129,0.5493531732938564,-0.095679186804914,0.016093430366166808,0.016092191028794927,-0.00019972191525209997,2024-08-09,2024-11-08,739106.0,739197.0,6.709314564214544,0.13640633662837065,0.4556741625240641,0.7162656761730751
2024-12-08,739227.1615684773,0.11616443303269322,14.913706894742498,1.5805785469818259,-0.8091045340266353,0.04765887380828952,0.008140970182551178,0.04695841625482357,2024-08-14,2024-11-08,739111.0,739197.0,3.200581047493421,0.1322356130102906,0.4556741625240641,0.4700769114613629
2024-11-25,739214.2821721929,0.7703486217000111,6.391712869666593,0.4720647517594972,-0.009349609496156073,-0.001824864945619635,-0.000739651143776064,-0.001668247060618454,2024-08-19,2024-11-08,739116.0,739197.0,1.768190025382302,0.6174940766983763,0.4556741625240641,0.6818264271563519
2024-11-17,739206.3106896075,0.4781934891823131,6.25961505613668,0.5638353971800364,-0.05039111241028679,0.0035253456475183615,0.0007050266181371071,0.0034541278786684804,2024-08-24,2024-11-08,739121.0,739197.0,2.206826913596249,1.0919638813275867,0.4556741625240641,0.5976955162628429
2024-12-12,739231.4005122503,0.5876909211890858,14.881075666835537,0.6412204648288276,-0.0312178506904115,-0.005180266781076414,-0.003655851656282028,0.0036701379525003876,2024-08-29,2024-11-08,739126.0,739197.0,2.6518844652422096,0.2379937376355937,0.4556741625240641,0.3538027463604305
2024-11-24,739213.9686398234,0.5775648828252286,9.770888156743673,0.6031927392990709,-0.03661051294949749,-0.007178346241691644,-0.00712681064060406,0.0008586179933947829,2024-09-03,2024-11-08,739131.0,739197.0,2.468069074845326,0.30147280979348073,0.4556741625240641,0.3409766175092986
2024-11-22,739211.8978857904,0.031199162190713954,8.343648401259578,5.531454546828697,-4.68086316220749,-0.04922978629452844,-0.04816077741421021,-0.01020349829538087,2024-09-08,2024-11-08,739136.0,739197.0,2.162099849299347,0.3555371050893234,0.4556741625240641,0.3411528805182283
2024-11-24,739213.4112510424,0.7479111684724568,5.6773506922439045,0.49989012628001034,-0.012044940102157127,0.001960842540794779,0.0019409662572507146,0.00027848421500091937,2024-09-13,2024-11-08,739141.0,739197.0,1.3412668912567332,0.8092192794109749,0.4556741625240641,0.3830711517872793
2024-12-01,739220.235324811,0.028557226557773603,7.60181634893768,5.590809513310104,-4.730453384302043,-0.04376900116496473,-0.03290093264117664,0.028866140966873996,2024-09-18,2024-11-08,739146.0,739197.0,1.4053404118039121,0.40600818129276023,0.4556741625240641,0.3164577002732891
2024-11-30,739219.5052203184,0.5025836702797991,3.904713484066043,0.12234959047255853,0.03402183706632158,0.01864541620020709,0.018321347480904866,0.0034611806891414756,2024-09-23,2024-11-08,739151.0,739197.0,0.691779888098784,0.23485774124236497,0.4556741625240641,0.3387695412312869
2024-11-18,739207.7915473643,0.8801977831902676,8.44707840883327,0.45127103763263565,-0.0064429661898051955,-0.0033077653405002515,-0.003234704146769911,-0.0006913758968059901,2024-09-28,2024-11-08,739156.0,739197.0,2.108633741524918,0.20296675346147458,0.4556741625240641,0.23285405820244634
2024-11-12,739201.1172305137,0.37750179750180834,11.953230670213916,0.5941990830150917,-0.08790873211293794,0.01793279738239886,0.004240907674353917,0.017424119032415312,2024-10-03,2024-11-08,739161.0,739197.0,4.331087628254737,0.15481666158602242,0.4556741625240641,0.22112346640439293
2024-11-18,739207.0218808705,0.07623119020967953,8.4677169594851,1.5878271749937911,-0.9817125308310297,-0.020675885166654234,-0.020001134258258016,0.005238974690510552,2024-10-08,2024-11-08,739166.0,739197.0,1.8993309486338532,0.4274512492139863,0.4556741625240641,0.23719746274019768
