tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-06,739225.1516081647,0.2904924021068865,3.103572860898912,-1.264595577902176,0.4359178093281903,0.04610006177542771,0.02758614259969107,-0.036935354772463756,2024-07-15,2024-11-08,739081.0,739197.0,0.8067476245467248,0.8850665701061053,0.056875797533653405,0.985533315994202
2024-11-23,739212.5173434068,0.8371918805086445,3.4404523409018744,-0.09010984954194796,0.010825062100982058,0.0037514140384885116,0.003695334536327618,0.0006462274775905411,2024-07-20,2024-11-08,739086.0,739197.0,1.1490219275151778,0.7021741848351075,0.056875797533653405,0.7140621489815554
2024-12-09,739228.077034885,0.018134096751761367,11.907126435049628,-8.486697608902848,8.042478976665235,-0.0410367347741611,-0.040626794266998265,0.005785947503377501,2024-07-25,2024-11-08,739091.0,739197.0,2.8124359338937346,0.2984737212798256,0.056875797533653405,0.73931286391145
2024-12-12,739231.6847840532,0.7470072421765587,4.8578639746577235,-0.07769254101869753,0.010842098502620334,-0.0034702572054066353,-0.0009735084802176989,0.0033309107329108794,2024-07-30,2024-11-08,739096.0,739197.0,1.0546065570993246,0.48043113681613514,0.056875797533653405,0.4449649462244406
2024-12-08,739227.2197483804,0.5434232598091954,2.215833305064083,0.3926344472721964,-0.03876233452496451,-0.029125139898958267,-0.02638735342496048,-0.012328071761638854,2024-08-04,2024-11-08,739101.0,739197.0,0.5041388011390128,0.32639465840615317,0.056875797533653405,0.36155631242657676
2024-11-10,739199.6018908494,0.30387305650578283,7.875591877014825,-0.10052309065353697,0.1002434144243515,0.015298756635333144,0.014064636737168715,0.006019796345278972,2024-08-09,2024-11-08,739106.0,739197.0,4.490837834445012,0.2528184163510202,0.056875797533653405,0.5063175313638146
2024-11-15,739204.2681484577,0.6958307996373964,5.843344729460826,0.012449620300304224,0.01353059319968328,-0.0038252213307731217,-0.0018762999970376984,-0.003333439147564873,2024-08-14,2024-11-08,739111.0,739197.0,2.373331537718754,0.421213622106117,0.056875797533653405,0.5049509687399165
2024-11-18,739207.75223192,0.5880871774575774,3.226996883771485,-0.04872914225668683,0.02502188872907655,0.007642629537057537,0.007368303623610881,-0.0020292579803926013,2024-08-19,2024-11-08,739116.0,739197.0,1.1011312683987704,0.5966510980973835,0.056875797533653405,0.3216472009405828
2024-11-24,739213.1286859913,0.5318991633113584,11.925390731972103,-0.1661593138092587,0.047094094283592264,0.004342846686011822,0.0031089704848384267,-0.00303226315853479,2024-08-24,2024-11-08,739121.0,739197.0,3.307403661034158,0.48366943197278117,0.056875797533653405,0.2633091034205934
2024-11-20,739209.0325729344,0.7369169297382859,11.126048868907903,-0.03561889722003628,0.014272952472620646,-0.0023884993354073045,-0.00020786261041400765,0.0023794373726646004,2024-08-29,2024-11-08,739126.0,739197.0,3.4204385870863785,0.3957913201261227,0.056875797533653405,0.19523194598097007
2024-12-07,739226.9875404538,0.593777303998897,3.8303282461086594,0.04455473507985903,0.008861051295107242,-0.0098636919909901,-0.00790191411337755,-0.005903572904430581,2024-09-03,2024-11-08,739131.0,739197.0,0.7092490767131713,0.13926223111615155,0.056875797533653405,0.12219599790597015
2024-12-04,739223.529946952,0.16201266967891528,9.587256283025472,-1.6253649252282467,0.9565729207692769,0.011483852724944022,0.009838621070763883,0.005922871671252483,2024-09-08,2024-11-08,739136.0,739197.0,1.8214285625395035,1.4076189658271248,0.056875797533653405,0.08904949646761741
2024-12-03,739222.1734033766,0.29626957760333333,12.816095565744067,-0.7218032176976081,0.2836472521429784,0.0015930018816163187,0.0005790982078689956,0.0014840149124843898,2024-09-13,2024-11-08,739141.0,739197.0,2.3881326516635606,4.116172937894713,0.056875797533653405,0.09296857936354505
2024-11-10,739199.7964119562,0.5843228263775638,5.0132565392254875,-0.07048991929689041,0.03697016181795831,-0.002906133301775514,-0.00008812973813843797,-0.002904796708367778,2024-09-18,2024-11-08,739146.0,739197.0,2.3592406145518625,1.4827527685003294,0.056875797533653405,0.07620537031769313
2024-11-15,739204.6553914516,0.5881502705970193,4.452100500276044,-0.1297724002981337,0.04027626936719894,-0.0029889181249146265,-0.002962730673080807,-0.0003947892048034191,2024-09-23,2024-11-08,739151.0,739197.0,1.3797149197283267,1.7801580392018899,0.056875797533653405,0.06792915929553281
2024-11-14,739203.5052011507,0.13354170209515462,9.017906760082608,-1.0372240932591792,0.7820312385807519,0.018441965454498294,0.012187722637821847,-0.013840719155030682,2024-09-28,2024-11-08,739156.0,739197.0,2.8536063366580544,0.6279543366829787,0.056875797533653405,0.06218424854645899
2024-11-21,739210.852594324,0.24463301065094872,6.315589668970612,-0.6132184474231208,0.32300031279978886,-0.01385852447720064,-0.006031080053288576,-0.01247737047923135,2024-10-03,2024-11-08,739161.0,739197.0,1.2872024532407988,0.9027907573155971,0.056875797533653405,0.033101792501558924
2024-11-15,739204.6075886607,0.7547264498459076,12.508471309395523,-0.09116928668338879,0.020576732084174248,0.0017752713637301445,0.0015288907683105413,-0.0009022646138772644,2024-10-08,2024-11-08,739166.0,739197.0,3.233637310537621,0.699353880345764,0.056875797533653405,0.03345967932798071
