tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-04,739254.8389201105,0.9075827256606863,14.38545882214014,0.6271397277084829,-0.002669507722898196,0.0015320684686696338,0.0005802658526827234,-0.0014179299464014818,2024-07-15,2024-11-08,739081.0,739197.0,2.519538268426239,0.10992981829489523,0.4932315417718018,1.3264599660864456
2024-11-24,739213.5402438198,0.34711770308676365,7.9641093297415955,0.6162365153835215,-0.039456654946945266,-0.032113588691358365,-0.01352665586994697,0.029125798866533582,2024-07-20,2024-11-08,739086.0,739197.0,2.589096425111681,0.05355141777680024,0.4932315417718018,1.121690984992268
2024-11-22,739211.2809136386,0.3825021346369023,3.3505143162157403,0.54638835476902,-0.02146745126832209,0.023405491515144265,0.02175333283835194,0.008637681603843081,2024-07-25,2024-11-08,739091.0,739197.0,1.1363075850309206,0.1047092635767556,0.4932315417718018,1.3251637781775414
2024-11-24,739213.5547860807,0.8188775038843876,2.4828521272262893,0.5264254185374684,-0.005041092343674273,-0.005577721501842372,-0.005164913040544964,-0.002105860972553339,2024-07-30,2024-11-08,739096.0,739197.0,0.7746006366299552,0.2980821106188022,0.4932315417718018,0.99188070613061
2024-12-24,739243.9065357692,0.9411144854194675,13.503568946592239,0.6600157992732916,-0.003108184198114608,0.0011217853788466417,0.0010697124946191451,-0.00033781298827870507,2024-08-04,2024-11-08,739101.0,739197.0,2.394236598704649,0.19310381986466862,0.4932315417718018,1.2234426532609197
2024-12-13,739232.5003123772,0.34667689782173144,9.341453357335276,0.6568371423877049,-0.04638756408577085,-0.02137892750635869,-0.016982230346082497,-0.012987008654603071,2024-08-09,2024-11-08,739106.0,739197.0,1.8892034624384164,0.08052414176115989,0.4932315417718018,0.9833609438924017
2024-11-21,739210.7218480668,0.23822139139043946,7.4495899668859895,0.5714313910323127,-0.04075318621984252,0.04196890862684155,0.03146236534342893,-0.027776048284894255,2024-08-14,2024-11-08,739111.0,739197.0,2.3515911657692405,0.031051478284598002,0.4932315417718018,0.6840480507450539
2024-12-11,739230.0917463508,0.945528585977268,7.765396925690754,0.4502316290848963,0.000541224253136876,-0.0013552215145631265,-0.0005801703792630957,0.0012247561735139326,2024-08-19,2024-11-08,739116.0,739197.0,1.52969855419407,0.048627054762328564,0.4932315417718018,0.5708052093382053
2024-12-02,739221.2840699726,0.4269465892690639,6.35267342302452,0.41808351440264846,0.011047466988852754,0.011393781032638101,0.004539934815847125,0.010450226700295205,2024-08-24,2024-11-08,739121.0,739197.0,1.4338705367594398,0.06516461929100706,0.4932315417718018,0.5962918096072387
2024-12-07,739226.2928886251,0.3532383138339475,13.524598934532321,0.24273941268495994,0.05821721919318016,-0.024583470111306852,-0.0043627985371414634,0.02419324268546558,2024-08-29,2024-11-08,739126.0,739197.0,2.64919774170236,0.06185170539415747,0.4932315417718018,0.31940771232313775
2024-12-06,739225.2568882817,0.05529635906950284,10.306925712509402,-0.022436411826968896,0.408124395161798,0.05846881483032559,0.0510473380647606,0.028509149130848257,2024-09-03,2024-11-08,739131.0,739197.0,1.9761657791398146,0.03744860591215288,0.4932315417718018,0.4590183034269444
2024-11-30,739219.1218165467,0.11664901527722885,10.586079401291096,-0.19793104226856179,0.43916466227490547,0.05223463406127065,0.04130043047883158,0.0319801725726747,2024-09-08,2024-11-08,739136.0,739197.0,2.2302776089709613,0.09264345868018047,0.4932315417718018,0.2751660679220139
2024-11-12,739201.8849796625,0.60689566944884,12.493359442475567,0.3557192363515573,0.018517876428954617,-0.006900658631837572,-0.001376531303417764,-0.006761970949646667,2024-09-13,2024-11-08,739141.0,739197.0,5.016327356636698,0.13035732540751405,0.4932315417718018,0.300797352912936
2024-11-30,739219.3386793857,0.41664555891491795,12.84956417923141,0.14530573055038723,0.07062948999460412,-0.01372642813356481,-0.011565870607061832,-0.007392257192943352,2024-09-18,2024-11-08,739146.0,739197.0,2.431116719925895,0.16684257683367323,0.4932315417718018,0.23358870633561574
2024-11-21,739210.7316175646,0.5146409561128055,5.132833238678691,0.2041496100995602,0.04840471164421421,-0.008515696905766191,-0.008176080455854292,-0.0023809246460720548,2024-09-23,2024-11-08,739151.0,739197.0,1.2009972838012,0.5699209640870193,0.4932315417718018,0.29193556513544244
2024-11-13,739202.7285418693,0.2488452894433995,14.950653032367004,0.3131781548066612,0.07256866808364545,-0.01073505511112972,-0.0013004635514013317,0.010655993749550952,2024-09-28,2024-11-08,739156.0,739197.0,4.994256307890281,0.11251596135944304,0.4932315417718018,0.21931076476223021
2024-11-13,739202.3897455143,0.24680298439340592,7.431087612591577,0.37744067460395364,0.04066236495559115,0.011186962508965302,0.007551645812424871,-0.008253531104968416,2024-10-03,2024-11-08,739161.0,739197.0,2.410963763701784,0.12071979148466497,0.4932315417718018,0.1393170014772562
2024-11-09,739198.3171795487,0.044611996590478105,13.361615318551086,0.11115743736220077,0.3142075833084771,0.006153047194086978,0.00597043688580161,0.0014879089909403786,2024-10-08,2024-11-08,739166.0,739197.0,6.805240682545161,0.17049793067184024,0.4932315417718018,0.13990899955120886
