tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-08,739197.5101487327,0.506823562950908,14.35167441974789,0.06396055519250228,0.04151324507089994,-0.0034357968498028007,-0.0017662692475141656,-0.002947031207571543,2024-07-15,2024-11-08,739081.0,739197.0,12.405235533964118,0.4266909486692393,0.18412674707424165,0.9918295409930852
2024-12-14,739233.883185547,0.27441103806980066,3.8853393401803977,-1.2100382675299586,0.4669682224949196,-0.02542501497186163,-0.022337833940349876,-0.012143004618822352,2024-07-20,2024-11-08,739086.0,739197.0,0.8587112889300204,1.2971754819355685,0.18412674707424165,0.63909287597102
2024-12-11,739230.1766181205,0.7941051800949246,6.962901202217973,-0.12844765114165815,0.015472838209062792,0.0034735043308826014,0.0003500229925621061,-0.003455823525780517,2024-07-25,2024-11-08,739091.0,739197.0,1.5890177431063577,0.508030674862739,0.18412674707424165,0.3844011860038349
2024-12-10,739229.9089539491,0.9599317211022322,2.3333506889943547,-0.12591600203185438,0.005396131971051784,-0.003326253621337462,-0.0032500667642121643,-0.0007078341483879181,2024-07-30,2024-11-08,739096.0,739197.0,0.521178351251281,0.6674020399018645,0.18412674707424165,0.39556799287580824
2024-11-18,739207.8971321343,0.5873482078768951,5.023427423013755,-0.0930730102875208,0.0434432279788735,0.009114676496890614,0.005448258816367314,0.007307106370708312,2024-08-04,2024-11-08,739101.0,739197.0,1.825559738265483,0.5572837046339482,0.18412674707424165,0.33878706286772686
2024-11-22,739211.7782410163,0.7476718313107059,14.66081105991842,0.02791145749263342,0.015114776411473485,-0.001114932256653536,-0.0004150115584700463,0.001034813675626105,2024-08-09,2024-11-08,739106.0,739197.0,4.592455062299983,0.6913632152733702,0.18412674707424165,0.6385631911895603
2024-11-16,739205.0969563972,0.583363560131065,8.671448115146214,-0.04450088879593166,0.04128137900402307,-0.005755685401680922,-0.005473313716745061,-0.0017806603834570008,2024-08-14,2024-11-08,739111.0,739197.0,3.3851703817282366,0.4825083307191308,0.18412674707424165,0.43729797890296795
2024-12-02,739221.3466315764,0.9306297651470246,2.243126439673081,0.3504264286164951,-0.006245438233826824,-0.008279415070914085,-0.007869402266532892,-0.002573173504442766,2024-08-19,2024-11-08,739116.0,739197.0,0.5229627970421594,0.3129582801613732,0.18412674707424165,0.21709883197214247
2024-11-18,739207.4638540689,0.3549221385430808,10.778378173884883,-0.37274791576142413,0.18571502341443125,0.014091688802086789,0.011972893553336481,-0.007431387034419073,2024-08-24,2024-11-08,739121.0,739197.0,3.6226489698731803,0.4339739549168475,0.18412674707424165,0.2726216933501698
2024-12-04,739223.9685880002,0.8004684573789125,2.4979726607572723,0.7338559927061032,-0.026524466555471964,0.018625892069013952,0.0004945933557600998,-0.018619324176215205,2024-08-29,2024-11-08,739126.0,739197.0,0.5128481678825254,0.4563374577140475,0.18412674707424165,0.15168477977564576
2024-11-13,739202.1118942343,0.34386599949312174,10.985523963984027,-0.3152595465994887,0.1894645158397148,0.013995024734557106,0.005571259883222577,-0.012838293525015691,2024-09-03,2024-11-08,739131.0,739197.0,4.602986889321427,0.4237626485894832,0.18412674707424165,0.2574635518531824
2024-11-12,739201.9019887813,0.2858291076198299,6.248512483842567,-0.4261037467905546,0.2728183507756103,0.020219906926522632,0.005271691482664959,-0.019520602066248772,2024-09-08,2024-11-08,739136.0,739197.0,2.5841880352300977,0.6171976142210911,0.18412674707424165,0.20837412178082776
2024-11-27,739216.3409341379,0.8930166801166095,13.247453950451233,-0.17018254576304273,0.015365627653142788,-0.0007991928574405323,-0.0007619614681461723,-0.0002410890798947405,2024-09-13,2024-11-08,739141.0,739197.0,2.8669989031958174,1.296062256613146,0.18412674707424165,0.11095992525456422
2024-11-10,739199.8990882285,0.6619933883749675,6.572888540812467,-0.05374560523409413,0.03828723255663481,0.002303492430536338,0.0022715677456440226,-0.0003821745078991243,2024-09-18,2024-11-08,739146.0,739197.0,3.0574770545135586,1.6740351429157871,0.18412674707424165,0.13780974868334742
2024-11-19,739208.900706079,0.49844731847263757,8.430255820292789,-0.3232871394022141,0.10190680536763436,-0.005767379434310769,-0.0037141981827996666,0.00441218737115713,2024-09-23,2024-11-08,739151.0,739197.0,2.122773013373816,1.0447278522301404,0.18412674707424165,0.11316164086593211
2024-11-20,739209.6958549574,0.7732205385701465,9.7507073059829,-0.14139646734363753,0.025685642355591586,0.0014821323467684568,0.001118544347608657,0.000972406723429089,2024-09-28,2024-11-08,739156.0,739197.0,2.237894751698983,1.3742656989984015,0.18412674707424165,0.09536132267127168
2024-11-14,739203.9305316395,0.894860137513142,11.278333584813797,-0.026227356182983688,0.013760568981757957,0.0010000506787069508,0.0005742199389211692,-0.0008187629826314826,2024-10-03,2024-11-08,739161.0,739197.0,3.2734505303170245,1.0917535417461912,0.18412674707424165,0.08530364689911371
2024-11-08,739197.891543999,0.12864270607107023,14.109557805030946,-0.3707638087296037,0.3998649530583875,-0.016844731985893036,-0.014811091460553117,-0.008023500820944586,2024-10-08,2024-11-08,739166.0,739197.0,8.032849690873078,0.2164317643549317,0.18412674707424165,0.14496772660298549
