tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-01,739251.6445118337,0.8278080165483548,8.586943393882928,0.07856487315752184,0.004561304375373467,0.0019211934320993386,0.0015868604043966137,0.001082985808078689,2024-07-15,2024-11-08,739081.0,739197.0,1.556255560167429,0.22888060259271034,0.2703362255788134,1.3822304491136503
2024-12-30,739249.3190652762,0.8228587096346724,14.762361905080729,0.12885702804416366,0.0032657600025691224,0.0013988030705453108,0.001275531715576504,-0.0005741679830201702,2024-07-20,2024-11-08,739086.0,739197.0,2.6745446123380545,0.1301358973378555,0.2703362255788134,1.4112837443100503
2024-12-06,739225.5348982889,0.024138364915101025,12.37559472594653,-1.7334375657202443,1.7998902353004562,-0.05060791823995475,-0.050572747239572106,0.0018864318763997402,2024-07-25,2024-11-08,739091.0,739197.0,3.0543079242584543,0.06936962035429285,0.2703362255788134,1.1649902372888248
2024-11-11,739200.8441900084,0.5837531392171492,5.171101013717968,0.19323602480050467,0.007642496523183302,0.0035436145422268516,0.0023074369266988175,0.0026894123620576182,2024-07-30,2024-11-08,739096.0,739197.0,2.720786710796056,0.24346412845507232,0.2703362255788134,1.066113740272454
2024-12-03,739222.3093121274,0.44950262780315675,3.277808803487156,0.10640338944214468,0.021415444109563926,0.008767017286824644,0.007976970524532964,0.0036371050793473692,2024-08-04,2024-11-08,739101.0,739197.0,0.817561039385815,0.3349838270530865,0.2703362255788134,0.9288280894061395
2024-12-15,739234.4493669982,0.21736558373626297,11.855561545358185,0.027112149808610375,0.09081460890688033,-0.014293299256553166,-0.011455596180389225,0.008547965827565944,2024-08-09,2024-11-08,739106.0,739197.0,2.3256536695811434,0.1164908684107331,0.2703362255788134,0.8886814019771687
2024-11-20,739209.0493204987,0.4140595649074198,5.676924542534922,0.17982383411161254,0.015265771653464537,-0.0009173869222128393,-0.0008474363860603841,-0.00035135500085819424,2024-08-14,2024-11-08,739111.0,739197.0,1.8941759648328649,1.2137127575647404,0.2703362255788134,0.9377907943495328
2024-12-04,739223.2338190799,0.30921388163044955,5.8568261402712345,-0.04234348935996269,0.08881648666816123,-0.014040020462071982,-0.008989827274007631,-0.010784487941432752,2024-08-19,2024-11-08,739116.0,739197.0,1.312421957258451,0.33398156801709716,0.2703362255788134,0.7609876110774615
2024-11-12,739201.9623383426,0.7346928882039035,11.569021207103846,0.20053251834064317,0.004072332286202255,0.005124492384167157,0.0008640667356772777,0.005051119764139752,2024-08-24,2024-11-08,739121.0,739197.0,5.141014266823394,0.05046631268114566,0.2703362255788134,0.5623282484532469
2024-12-07,739226.0162796014,0.7056183970559017,14.524808367751966,0.1426259693419981,0.006221362947196539,0.0045761717625893384,0.003918727478284693,-0.0023632441582825295,2024-08-29,2024-11-08,739126.0,739197.0,2.860666982508787,0.06604541986311478,0.2703362255788134,0.47270388978164457
2024-11-17,739206.2106661655,0.5685867825030607,11.041590545520956,0.16409891276206273,0.01189098344397322,0.009914643336252627,0.009868878083313215,-0.000951523968063186,2024-09-03,2024-11-08,739131.0,739197.0,3.6902583349066544,0.0617597885262363,0.2703362255788134,0.45761564653486775
2024-12-08,739227.3716196752,0.8154711801824599,11.30757639878354,0.21473914427177623,0.0012821511133659163,0.0025413718076922904,0.001057562569362413,-0.0023108725790957738,2024-09-08,2024-11-08,739136.0,739197.0,1.9821892222308295,0.036383970626413804,0.2703362255788134,0.4451958416248788
2024-11-18,739207.5313645633,0.2552716491850973,14.336736419524788,-0.027432134382671516,0.11743356178623202,0.013904561589898518,0.009386307041905287,0.010258366006453483,2024-09-13,2024-11-08,739141.0,739197.0,4.206008304659664,0.1503790083184297,0.2703362255788134,0.48635029210782227
2024-11-24,739213.8357348572,0.5198488346663245,4.550862274109328,-0.09773867617815715,0.05558542954001438,-0.007114235926542357,-0.005581581002913146,0.004411157028085157,2024-09-18,2024-11-08,739146.0,739197.0,1.0093630839122,0.8925161534146363,0.2703362255788134,0.4303315704141603
2024-11-23,739212.8327533741,0.41685420410459983,7.618214679908687,-0.11885156450979815,0.0886517247351853,0.023051570782857203,0.008622585062167454,0.02137816508502922,2024-09-23,2024-11-08,739151.0,739197.0,1.651820327956438,0.21043483988308165,0.2703362255788134,0.23692933170732708
2024-11-14,739203.9707122899,0.8716791251627771,5.028612811545777,0.08304679106332732,0.011155715346840215,-0.00592478317727807,-0.005678641304362554,0.001689996637317593,2024-09-28,2024-11-08,739156.0,739197.0,1.5437324011272482,0.32638741955407385,0.2703362255788134,0.23133042536466342
2024-11-09,739198.8178955499,0.40227602484381564,3.1884902321083586,0.10505792133544303,0.03691248285162629,-0.03357852675894653,-0.03255166130450122,0.008240558574412655,2024-10-03,2024-11-08,739161.0,739197.0,1.5402053900530175,0.13869176642117817,0.2703362255788134,0.14991938554805084
2024-11-10,739199.5142515359,0.6054594115270319,10.66202650211549,0.1334115709384868,0.02058515358178108,0.005005951086804302,0.00341175146721632,0.0036632633278846412,2024-10-08,2024-11-08,739166.0,739197.0,4.395000380263567,0.23351392649500352,0.2703362255788134,0.23839512470030236
