tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-16,739235.3181716786,0.8340499123257961,6.819660701732804,0.5018784415955421,-0.0058006566205210264,-0.003423599636333847,-0.003096093182716222,0.001461246547932067,2024-07-15,2024-11-08,739081.0,739197.0,1.5120382763648892,0.20721608260433197,0.43340299825658885,1.2689015530217953
2024-12-17,739236.9680058417,0.6593583183861397,6.109239342463622,0.4677446654539549,-0.010273891906646748,0.007595187169042217,0.007234739232889105,-0.0023120156497910384,2024-07-20,2024-11-08,739086.0,739197.0,1.2921964519760112,0.14599260607706444,0.43340299825658885,1.2401139293813854
2024-12-01,739220.8458023065,0.5268565016555496,2.1200723345169967,-1.122288304042689,0.1828712004613316,0.07275420558443277,0.06291072737469686,0.03654332786444709,2024-07-25,2024-11-08,739091.0,739197.0,0.5718389585552077,0.624638685741561,0.43340299825658885,1.3361811199825082
2024-12-16,739235.2969951378,0.8089990100103441,3.237906203503864,-0.2864195204840317,0.019724796995738633,0.01075318448110341,0.009913926535380844,-0.004164737342944305,2024-07-30,2024-11-08,739096.0,739197.0,0.665411518895212,0.45830982965594963,0.43340299825658885,1.3352781966632732
2024-12-07,739226.9652395052,0.5537502568331018,4.80113488850127,0.39628986098721836,-0.009986723098313713,0.0137119864815832,0.012441362773189179,-0.005764639244308606,2024-08-04,2024-11-08,739101.0,739197.0,1.097258087995466,0.08400258773900002,0.43340299825658885,1.1995658231865196
2024-11-10,739199.5228460407,0.8504694237798731,2.406111806334583,0.2815755541259485,0.005338183703513867,0.01075811984215095,0.010073139296753335,0.0037774339499567293,2024-08-09,2024-11-08,739106.0,739197.0,1.3835091388158274,0.1753880653454952,0.43340299825658885,0.9150659195137166
2024-12-04,739223.1941048842,0.3360918239426863,5.100613551928832,0.48829524948241754,-0.04700898934230851,0.04066097050743958,0.03647072392892085,0.017977786813379196,2024-08-14,2024-11-08,739111.0,739197.0,1.1809046086474697,0.07617960230985327,0.43340299825658885,0.9121039401286801
2024-12-15,739234.6512604306,0.5102853795944574,5.020294036860278,0.00781083225141863,0.033981269322327784,0.024991382619082254,0.014214354832802152,0.020555323444318763,2024-08-19,2024-11-08,739116.0,739197.0,0.9171152110168598,0.13820803255122804,0.43340299825658885,0.9584586712281127
2024-12-15,739234.2291940345,0.826156350492135,2.7808835741864315,-1.5465000812454135,0.06180892515736646,-0.026480351192649954,-0.022256158962756952,-0.014348253813986257,2024-08-24,2024-11-08,739121.0,739197.0,0.49230357941730135,0.6934368063278437,0.43340299825658885,0.9918382932860478
2024-12-09,739228.6051318324,0.9283175255972025,9.246006862188802,0.64702236419599,-0.00780459535649298,0.0016819336995900949,0.0012257961914951807,-0.0011516616980401554,2024-08-29,2024-11-08,739126.0,739197.0,1.7328481279447514,0.4658905023585897,0.43340299825658885,1.1204005210135943
2024-11-27,739216.23261916,0.6101230587017087,9.922834233809947,0.7136053912645415,-0.0416914885803613,-0.003953826629764946,-0.0008734243341842564,-0.003856147682687118,2024-09-03,2024-11-08,739131.0,739197.0,2.351177201687477,0.6483529364216764,0.43340299825658885,1.334044858256675
2024-11-28,739217.6465542481,0.24903689326205775,11.810333224382896,1.2095316429616898,-0.3571063192874945,0.0236833628267067,0.020904147129789916,-0.011131860022365027,2024-09-08,2024-11-08,739136.0,739197.0,2.584270513958523,0.3179477131874527,0.43340299825658885,1.326977344881961
2024-11-18,739207.2132249401,0.4704727691326188,5.843621278461363,0.4152263037792627,-0.014724468220383546,0.0286438100012645,0.011337957775456797,0.026304344980829675,2024-09-13,2024-11-08,739141.0,739197.0,1.7384300315890386,0.04138674436385194,0.43340299825658885,0.9094426939210327
2024-11-21,739210.1374251688,0.9316858249025279,13.258525202683508,0.5128698480968182,-0.006903400371523842,-0.0037222922096745875,-0.003722088639559123,0.00003892882568277852,2024-09-18,2024-11-08,739146.0,739197.0,3.34579136093776,0.1303247401537924,0.43340299825658885,0.8827873704936672
2024-11-23,739212.6144561133,0.849757061862046,9.844471473540224,0.3497955815221786,0.0006838655826857471,-0.0075783733050520845,-0.0045135581727642525,-0.006087654274989594,2024-09-23,2024-11-08,739151.0,739197.0,2.1507402760323777,0.0077892766775902065,0.43340299825658885,0.597918166037888
2024-11-22,739211.3395773555,0.8985111324723074,9.080795918068805,0.23725721013482642,0.006161532116966577,0.008519749028405391,0.006464455651960666,0.005549498772938723,2024-09-28,2024-11-08,739156.0,739197.0,1.9517643101768758,0.07155853846507922,0.43340299825658885,0.4173569595869032
2024-11-10,739199.996786677,0.8870466830144812,14.331683807218807,0.3655646819488103,0.00005910906723675301,-0.004577972709519257,-0.004170726454716863,-0.0018875579379261447,2024-10-03,2024-11-08,739161.0,739197.0,5.852799097980928,0.0007991534247259284,0.43340299825658885,0.9819859439884329
2024-11-17,739206.212733012,0.3989066894597265,10.815951040306155,0.05016185208651944,0.10049032218668572,0.04868329490824088,0.03246583044447067,-0.03627716990992591,2024-10-08,2024-11-08,739166.0,739197.0,2.536667901070118,0.07612913256912687,0.43340299825658885,0.27644559962045123
