tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-15,739234.7116428163,0.16462216004551225,2.9049495551913402,-5.480917912766536,2.8424219202550387,-0.1923107894740943,-0.01924825660700112,-0.19134509234819821,2024-07-15,2024-11-08,739081.0,739197.0,0.6496342356166058,0.837595997960492,0.12185144745981477,1.4336753384279421
2025-01-01,739251.7831804283,0.48341551027763197,5.412657893745638,-0.8603818826793911,0.12703670618355314,-0.017263205949426184,-0.007574616130337283,-0.015512687392271457,2024-07-20,2024-11-08,739086.0,739197.0,0.9538828877715968,0.6572305995068949,0.12185144745981477,1.3561085764114675
2024-12-18,739237.7828191291,0.11813123289292718,14.142079029322979,-1.0877501389728514,0.813225932570179,0.05164581384807235,0.04162396275917253,0.030573449466044223,2024-07-25,2024-11-08,739091.0,739197.0,2.8825608803832408,0.1315308329394295,0.12185144745981477,1.2798482222671996
2024-12-07,739226.4614738546,0.36635592373342113,4.410897199072233,-0.33453604567179007,0.1308777578542718,0.015727210268649726,0.00005336537727063151,-0.015727119729017035,2024-07-30,2024-11-08,739096.0,739197.0,1.044596102318894,0.6911788415744222,0.12185144745981477,1.1887872031019986
2024-11-18,739207.9985234273,0.5087233771320067,8.866550470108406,0.1075915060425097,0.021329972905315287,-0.008162972235283728,-0.0032668365080027527,-0.007480768339147617,2024-08-04,2024-11-08,739101.0,739197.0,3.210454597286722,0.14992325027423245,0.12185144745981477,0.927815951148478
2024-11-28,739217.7099038762,0.07710219821441534,7.088834188767619,-1.22750490842344,1.0937999409898662,-0.017275271067358367,-0.015151406874343588,-0.008298786669074161,2024-08-09,2024-11-08,739106.0,739197.0,1.9013867033877618,0.6886601724466158,0.12185144745981477,1.0186140273973296
2024-12-01,739220.616125189,0.4190243390098888,7.155049934099895,-0.05956156179655433,0.05887568331469004,-0.007016712442986417,-0.004987656884042358,-0.004935335076225857,2024-08-14,2024-11-08,739111.0,739197.0,1.7480613403713483,0.4913928834329347,0.12185144745981477,0.996999772391075
2024-11-15,739204.0789065638,0.7191265268619437,9.960897428232492,0.12270428001167166,0.010063356090059065,-0.008421121816866254,-0.0003431286490483027,0.008414128319957024,2024-08-19,2024-11-08,739116.0,739197.0,3.996787134492928,0.08627395981082377,0.12185144745981477,0.37919444087612497
2024-12-05,739224.968753416,0.9785514655565686,10.931355713932685,0.10016763175008017,0.002874302258018067,-0.0015308071924792414,-0.0013993738072497648,0.0006205832805751981,2024-08-24,2024-11-08,739121.0,739197.0,2.2843345109766378,0.16808214700373186,0.12185144745981477,0.6944329088358414
2024-12-13,739232.1780066702,0.6233461542975499,3.0688199708220942,0.5007753331436594,-0.027689156497317628,0.015936379181655976,0.010654785733292737,0.011850895426048598,2024-08-29,2024-11-08,739126.0,739197.0,0.5395532243836788,0.35292135994315643,0.12185144745981477,0.7640546040873094
2024-11-24,739213.5439592224,0.18121156090184323,11.946727039284294,-0.3472516470511367,0.3042276757657384,0.061659611109938506,0.029747036115522187,-0.05400945736230525,2024-09-03,2024-11-08,739131.0,739197.0,3.056108070131146,0.07484019295433916,0.12185144745981477,0.39759411052021837
2024-11-21,739210.3329850156,0.5826580680989099,9.834462973704788,0.06493193145464905,0.02055218970834738,-0.0131502401173938,-0.009069234832307335,0.009522488892173971,2024-09-08,2024-11-08,739136.0,739197.0,2.6895105238306853,0.09259499916453291,0.12185144745981477,0.418923372892394
2024-12-04,739223.6542928457,0.6197781703398811,9.370128141724354,-0.04619352038967655,0.02624143570783016,-0.003770797345236888,-0.003736712382141236,-0.0005058588656907491,2024-09-13,2024-11-08,739141.0,739197.0,1.687731382898761,0.46030441985169657,0.12185144745981477,0.5658619593861111
2024-11-20,739209.7925886408,0.4584254334525836,14.664949822418134,-0.15323050629845603,0.08024883672305415,-0.011112459860689768,-0.007828729003328658,0.007886556051146909,2024-09-18,2024-11-08,739146.0,739197.0,3.750202379765294,0.22574423245971428,0.12185144745981477,0.4104937491036465
2024-11-11,739200.7493798268,0.5749367026245805,14.666616730921,0.06317434071639233,0.02859473610030134,0.00991761752219127,0.009905035811062193,-0.0004994025410936672,2024-09-23,2024-11-08,739151.0,739197.0,6.035025196466023,0.11302351980741103,0.12185144745981477,0.3523760005811542
2024-11-11,739200.5186280226,0.3433935153804271,6.0507444558453525,-0.08135336451772517,0.11416881320835591,0.028001278727422824,0.026632835356886878,-0.008646599980557576,2024-09-28,2024-11-08,739156.0,739197.0,2.443951555395232,0.2313944297226237,0.12185144745981477,0.26704454352138
2024-11-14,739203.0709973328,0.6650983031418317,12.481938790904252,0.09685109603070569,0.014695990833267144,-0.004699225777482838,-0.004067903861629484,-0.0023526327975906297,2024-10-03,2024-11-08,739161.0,739197.0,3.845658153134769,0.16663888543956354,0.12185144745981477,0.2843210400968258
2024-11-09,739198.637403499,0.9047128054970659,5.222924111426911,0.11123298283485042,0.007739786688957835,-0.0066812326567997765,-0.00667664219970193,-0.0002476262333581989,2024-10-08,2024-11-08,739166.0,739197.0,2.487401165734764,0.20066397829610727,0.12185144745981477,0.15256450301490512
