tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-24,739243.2522275016,0.5518861402665641,4.164562354454551,-0.5809230789070083,0.07362402952180622,-0.01905946274710671,-0.014794827548332081,-0.012015664693368512,2024-07-15,2024-11-08,739081.0,739197.0,0.8318555515696114,0.511904617825565,0.4148242790568896,0.9634690547585463
2024-12-06,739225.7965233646,0.8315412953356773,9.02718871407942,0.09667771603517566,0.003797313886301305,0.002551345876107699,0.0024594930317547725,0.0006784245030078734,2024-07-20,2024-11-08,739086.0,739197.0,2.2699244626674218,0.13710031713310902,0.4148242790568896,1.4556280992604935
2024-12-05,739224.5447398963,0.13029456472465786,3.125045502188004,-2.1199704372523485,1.39026702394999,-0.11663327562791113,-0.02174814834072816,-0.11458769143082502,2024-07-25,2024-11-08,739091.0,739197.0,0.7851550769513851,0.49698777152683793,0.4148242790568896,0.9858354970705203
2024-11-11,739200.2198451827,0.05322244733320437,14.114123550104237,0.05736135522821251,0.13678825305686423,-0.0211867930665457,-0.015089229311191483,-0.014872637938136889,2024-07-30,2024-11-08,739096.0,739197.0,7.810878479739995,0.024345825476188784,0.4148242790568896,1.1590798274117367
2024-11-09,739198.7850041869,0.28309777474016246,14.077187431885406,0.2520436899104641,-0.015110046039123949,-0.010030141173829792,-0.0014143154674419597,-0.009929926672715668,2024-08-04,2024-11-08,739101.0,739197.0,8.969322439036251,0.030295582306373102,0.4148242790568896,0.6573581038589821
2024-12-13,739232.8648659498,0.7052625563816416,10.676600858896883,0.24805393143093302,-0.002084082373682802,0.002152795636776352,0.0010841202367075533,0.001859895794415498,2024-08-09,2024-11-08,739106.0,739197.0,2.1467513575712913,0.0639484313762028,0.4148242790568896,0.5583654653000582
2024-12-15,739234.73528238,0.9674464429557865,13.301293174255134,0.24962645615939535,-0.0006802332011880552,0.0007255976269063755,0.0002552576838238912,0.0006792167776351128,2024-08-14,2024-11-08,739111.0,739197.0,2.5140013819688574,0.0681859723474289,0.4148242790568896,0.513924843029477
2024-11-28,739217.144954461,0.4642046061140789,6.35317814014048,0.28621323207957494,-0.011966864039757283,0.006886612278041131,0.002073647317361895,-0.006566994401647124,2024-08-19,2024-11-08,739116.0,739197.0,1.6315758602493629,0.126967666202983,0.4148242790568896,0.5314901529795163
2024-12-06,739225.9227468029,0.8243748612719459,6.19905449321875,0.2678590681610687,-0.002061327176362373,0.000898541368767798,0.00025511499294219686,-0.0008615642354248526,2024-08-24,2024-11-08,739121.0,739197.0,1.2713418752950112,0.30507606634644846,0.4148242790568896,0.5154524916048467
2024-12-12,739231.0470069242,0.3151860343444349,11.471863973027169,0.5766221599328971,-0.10276929864656488,0.003808142225978904,0.003620171344782634,0.0011816541997125287,2024-08-29,2024-11-08,739126.0,739197.0,2.0570707797957186,0.7414522884449379,0.4148242790568896,0.4156675983029988
2024-12-06,739225.0287704273,0.37586999103737295,6.671346000227377,0.5304400873454748,-0.07383278450386137,-0.006211996629655725,-0.004828213972774715,0.003908612536432472,2024-09-03,2024-11-08,739131.0,739197.0,1.285143129324229,0.6696412900829891,0.4148242790568896,0.3715673711018099
2024-11-27,739216.4105425262,0.3987082075437848,3.838684023167028,0.6644846049397206,-0.10523149949343398,-0.014610718090068886,-0.014604776458218666,0.0004166385879008735,2024-09-08,2024-11-08,739136.0,739197.0,0.8683545764609426,0.7480782161560662,0.4148242790568896,0.3339681980144123
2024-11-10,739199.7090622297,0.7474936649159113,7.760221977579345,0.2939010269661993,-0.008100680289918684,0.0053046470819029775,0.000529473197483564,-0.005278156761284032,2024-09-13,2024-11-08,739141.0,739197.0,3.7990885451891936,0.1470951551525779,0.4148242790568896,0.2355158697789307
2024-11-26,739215.0259053215,0.343967169566835,8.678695212655732,0.34695930746743003,-0.03578780503894853,0.015225224901161913,0.012299414667887103,-0.008973955210403289,2024-09-18,2024-11-08,739146.0,739197.0,1.8545753772941937,0.093160948646749,0.4148242790568896,0.2282327237069221
2024-11-23,739212.3302751505,0.6066982983651764,10.26629653891791,0.2810369313134364,-0.007131782569359486,0.0063302361369119795,0.00016038465591053697,-0.006328204035207382,2024-09-23,2024-11-08,739151.0,739197.0,2.2653549404252535,0.06657898278778317,0.4148242790568896,0.21140336290187317
2024-11-09,739198.3256722724,0.003574723067535813,10.429059015563833,10.31948585719043,-10.008578877566185,0.04023390514811192,0.007753270810921468,0.0394797912253824,2024-09-28,2024-11-08,739156.0,739197.0,5.748800023796226,0.08526631735414701,0.4148242790568896,0.1998442269049563
2024-11-18,739207.0697474014,0.16968323900302343,10.111039634856574,0.6411497977665033,-0.24404074601147513,-0.030850109484867654,-0.023515889205078057,-0.0199682800992678,2024-10-03,2024-11-08,739161.0,739197.0,2.4470164691125564,0.13275435197240326,0.4148242790568896,0.14170249574859264
2024-11-11,739200.3939089427,0.398646664969731,8.755216663989454,0.31032473423315865,-0.02656235549620669,-0.016469388343270757,-0.01380757500888583,0.008977283819477589,2024-10-08,2024-11-08,739166.0,739197.0,3.2270544778450585,0.07343622635001228,0.4148242790568896,0.139421903548725
