tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-19,739208.9983766578,0.692058792896095,13.32000988713189,-0.18105691325962575,0.02209671943891094,0.00515266383522929,0.0012480820989327025,-0.004999223507026221,2024-07-15,2024-11-08,739081.0,739197.0,5.018432770247137,0.22280987532054586,0.0071803281138960685,0.6505464814679485
2024-12-13,739232.8097929909,0.6212934158535824,2.5534753995324575,0.6128512818644021,-0.03287664015498014,0.023527893769865898,0.023404552062166493,0.0024059775592122183,2024-07-20,2024-11-08,739086.0,739197.0,0.5733939386369433,0.3399925889993682,0.0071803281138960685,0.8523273810256287
2024-11-23,739212.4057699939,0.174023946278048,9.814766653082938,-1.2763172304614472,0.7262979542749165,-0.022850291736496456,-0.0023034474219899184,0.022733894572138893,2024-07-25,2024-11-08,739091.0,739197.0,3.224728683922202,0.5635755010274497,0.0071803281138960685,1.0822402166108505
2024-12-24,739243.9963328369,0.27043110990743197,9.043825245943237,-1.4475937916119266,0.48378260491841585,0.012929317953337524,0.012872376559827635,0.0012120991875651352,2024-07-30,2024-11-08,739096.0,739197.0,1.6511265402048436,1.1188686922535411,0.0071803281138960685,0.8316623950408341
2024-11-18,739207.2950518705,0.41825737261555707,8.571953041289866,-0.4142221377683862,0.11553890398159303,-0.01012068084449309,-0.003709752927635898,0.009416257960144583,2024-08-04,2024-11-08,739101.0,739197.0,3.1849607979349788,0.5570348097827541,0.0071803281138960685,0.8518674156222451
2024-11-11,739200.745115096,0.39653924529427054,13.193832210616698,-0.27795367982239894,0.10202102868808123,-0.015317395719556723,-0.015316303955024257,0.00018287915901736513,2024-08-09,2024-11-08,739106.0,739197.0,6.784109042740251,0.2001796773193302,0.0071803281138960685,0.6228482682505436
2024-12-05,739224.2800820437,0.7681102649090616,8.641715976897114,-0.23641108000676503,0.015252179370122932,-0.0008697782987352403,-0.0008697601259013888,5.622485461887466e-6,2024-08-14,2024-11-08,739111.0,739197.0,1.9581258111765978,1.5586439456686518,0.0071803281138960685,0.4331125315725549
2024-11-20,739209.5807737875,0.3763242709568638,11.949815402083209,-0.3318987201782692,0.10829816700610355,0.004530270605917194,0.0029364516318647403,0.0034497251450740602,2024-08-19,2024-11-08,739116.0,739197.0,3.8164017116317734,0.7528318667479019,0.0071803281138960685,0.29555059286188984
2024-12-04,739223.1997258033,0.8541151680728105,5.847970819592877,-0.07964046097065189,0.0053032512636645894,0.001609504747743091,0.0008158049731269536,0.0013874320807985095,2024-08-24,2024-11-08,739121.0,739197.0,1.2668958213554062,0.4812394032665486,0.0071803281138960685,0.10423286409942993
2024-12-02,739221.6476939961,0.9452061770809026,2.104581978013037,0.05767565293141181,0.0017960393357995782,-0.0028114191838332996,-0.0009614658860792295,-0.002641904838772922,2024-08-29,2024-11-08,739126.0,739197.0,0.4541945325460586,0.28691347412196117,0.0071803281138960685,0.10727902726573565
2024-11-30,739219.5470770696,0.6928138911254774,4.08569278937194,-0.16249459158055732,0.017580711924457714,0.004096500666392614,0.0038604174435516244,0.0013705819462102484,2024-09-03,2024-11-08,739131.0,739197.0,0.889507000116969,0.7277367493531272,0.0071803281138960685,0.0809992260011642
2024-11-14,739203.4138236139,0.7768351950817745,2.232647173208971,-0.05581968340771217,0.011838099434631202,-0.005639006255852928,-0.00033649869442791086,-0.005628957290848525,2024-09-08,2024-11-08,739136.0,739197.0,0.8358924114433656,0.7304461491776626,0.0071803281138960685,0.07690579489899137
2024-11-27,739216.9840069409,0.6822160042206794,8.132378189071094,-0.09155542096342802,0.012335618520913505,-0.00141188802996705,-0.0013207293663527228,-0.0004991009417119672,2024-09-13,2024-11-08,739141.0,739197.0,1.728665826524119,0.732934239533669,0.0071803281138960685,0.13245116473878454
2024-11-23,739212.452768064,0.22955427963094827,14.561358132304925,-0.23325584569924337,0.1288432145179186,0.0096320914136112,0.004706263142174852,-0.008404062841076875,2024-09-18,2024-11-08,739146.0,739197.0,3.380562562627532,0.21087469448248752,0.0071803281138960685,0.0632633815885649
2024-11-17,739206.2897288931,0.9624456129627055,13.887760296732775,0.00756802132327642,0.0017110611655557072,0.00036034502297556625,0.00018432408519912004,0.0003096339244959584,2024-09-23,2024-11-08,739151.0,739197.0,3.9424731795564245,0.32907204632008646,0.0071803281138960685,0.04855253557218272
2024-11-22,739211.0910416833,0.016900102038306167,3.118561274931515,-8.163261791971639,7.7665565493007485,-0.05799565316149911,-0.036893388370646325,0.04474789023140153,2024-09-28,2024-11-08,739156.0,739197.0,0.6767261361938981,0.7257183590595417,0.0071803281138960685,0.03584117530279225
2024-11-11,739200.2567831,0.31999469962369426,5.8973258759364615,-0.000018278692383297042,0.017579895991270206,-0.008257649330191562,-0.0061071720206923325,0.0055579872588992045,2024-10-03,2024-11-08,739161.0,739197.0,2.336507652807696,0.11551743128623866,0.0071803281138960685,0.03204847570908327
2024-11-20,739209.3519840938,0.2636871011375011,10.841121274196103,-0.000010083795898123233,0.01674176110375007,-0.0028010207449605017,-0.002606461314617017,0.0010257078673306618,2024-10-08,2024-11-08,739166.0,739197.0,2.1663240595133897,0.14537827061208425,0.0071803281138960685,0.028447481084684163
