tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-23,739242.8100676219,0.6938611648530834,6.917501076387892,-0.4934069511959678,0.028945174863371,-0.00782576699336412,-0.007244679726092666,0.0029592642161133872,2024-07-15,2024-11-08,739081.0,739197.0,1.389315764996037,0.3709988898797587,0.08398822024984813,0.895405586212944
2024-11-10,739199.0880494495,0.7603171204082351,13.196187978732627,-0.21381620407537005,0.0230179716383524,0.0017446834510167208,0.000030172938329814658,0.0017444225227977832,2024-07-20,2024-11-08,739086.0,739197.0,8.38401862276864,0.7601454238715256,0.08398822024984813,2.785012571077849
2024-12-02,739221.9337787904,0.6249319357746087,13.899795546714184,-0.5288027161754675,0.05156195950978304,-0.006074699883426354,-0.004582850060300033,0.003987413196360285,2024-07-25,2024-11-08,739091.0,739197.0,3.66889852223918,0.38161803713820325,0.08398822024984813,2.372513691674717
2024-12-24,739243.315152907,0.6448875606833256,12.703867276924385,-0.6157173337030243,0.04321408729517107,0.007330015510795582,0.0048604461591305395,-0.005486819709330441,2024-07-30,2024-11-08,739096.0,739197.0,2.3395312554574748,0.2992736657622776,0.08398822024984813,1.6744724905387478
2024-11-19,739208.2220828242,0.8979424200149437,11.666784779057542,-0.14480861396186148,0.008396641990951362,-0.0037164107779899666,-0.0033040568204621675,0.0017014457375765534,2024-08-04,2024-11-08,739101.0,739197.0,4.190892071289616,0.17389185001803753,0.08398822024984813,1.4166991001574183
2024-12-15,739234.5283280562,0.007085946275342982,5.632846845488841,-68.72169425666536,66.80343289017866,-0.20315479106576848,-0.18081158181762075,0.09262311273967141,2024-08-09,2024-11-08,739106.0,739197.0,1.1036336165649132,0.4136581866157028,0.08398822024984813,0.968842593292819
2024-11-16,739205.2208472333,0.11873724151360612,2.78541211903773,-1.730579737280357,1.2307960805114753,0.14757954566978412,0.06768318769417675,0.13114384622869174,2024-08-14,2024-11-08,739111.0,739197.0,1.081224128728799,0.3555145911995346,0.08398822024984813,1.2151359751317237
2024-11-09,739198.2706108913,0.42607412161744895,9.380140926890098,-0.10455987326327863,0.04864026765046294,-0.027561139751826325,-0.027051615806757898,-0.005275083569315992,2024-08-19,2024-11-08,739116.0,739197.0,6.226146017603596,0.08016311354333262,0.08398822024984813,1.4413606976159388
2024-11-18,739207.6800198723,0.9420505123121199,5.676504562274133,-0.026329911558720758,0.0033153097084474103,0.0027814796028702085,0.002124732070679102,0.001795032704161879,2024-08-24,2024-11-08,739121.0,739197.0,1.8916745541612943,0.19780689450139086,0.08398822024984813,0.8058996181959064
2024-11-30,739219.3945131087,0.993869794155519,2.356661681183727,-0.005542456435253819,0.0025323240142417214,0.0020000626383429956,0.0019707348024986878,0.00034125488350498785,2024-08-29,2024-11-08,739126.0,739197.0,0.5356124133797995,0.5339590203444722,0.08398822024984813,0.026423991636774453
2024-12-07,739226.3814705085,0.8565542170676441,10.884749167098876,0.0711332440045161,-0.0006554659047414737,-0.0006579762010336882,-0.00016132653718967563,-0.0006378921770370857,2024-09-03,2024-11-08,739131.0,739197.0,2.0398906608859995,0.07839283176933425,0.08398822024984813,0.033850347573719464
2024-11-19,739208.237091052,0.999440357724356,5.421951365869786,0.08106267171915923,-0.0009048513723092189,-0.0006673754424722526,-0.00038056094141225734,-0.0005482365831340073,2024-09-08,2024-11-08,739136.0,739197.0,1.6056835455444802,0.24992418945250985,0.08398822024984813,0.015760986111487775
2024-11-13,739202.0932284493,0.6017972529549994,3.534669550303108,0.08535352042377468,-0.004472878234101539,-0.0032215606440895283,-0.00283065384469747,0.0015381325674485818,2024-09-13,2024-11-08,739141.0,739197.0,1.397674530891988,0.23638621492605938,0.08398822024984813,0.016631839564556244
2024-11-10,739199.2730354177,0.13558981995026056,2.1411525142492294,0.12925547176985672,-0.049036317461987375,-0.012893280361133514,-0.009649994575225796,-0.0085506890464397,2024-09-18,2024-11-08,739146.0,739197.0,1.0749114334630812,0.2408429302490127,0.08398822024984813,0.019317426872685787
2024-11-28,739217.4647269107,0.9348854965816606,3.652713451894978,0.010889269362437122,0.0018765701039918084,0.0016639667098967172,0.0003894823246479815,-0.0016177418614943817,2024-09-23,2024-11-08,739151.0,739197.0,0.6848089957251297,0.2886442950423476,0.08398822024984813,0.012529418636141276
2024-11-23,739212.579931487,0.7150014604436062,8.24544960944148,0.12478392704643472,-0.006253663262961719,-0.0008158245421584087,-0.0008121418305116609,-0.00007742952099261477,2024-09-28,2024-11-08,739156.0,739197.0,1.69244011579381,0.6647070934887407,0.08398822024984813,0.006984152398524873
2024-11-18,739207.6436931862,0.602748703981541,12.161519100864004,0.12904905876854172,-0.011016747082307718,-0.0018959122245381281,-0.0005652089457074473,-0.0018097021884402387,2024-10-03,2024-11-08,739161.0,739197.0,2.859934457683989,0.2879941137213398,0.08398822024984813,0.003014075623772511
2024-11-20,739209.0885118551,0.43539333933138546,4.981275465303482,0.2119211537206011,-0.03950592706512694,-0.003523220036857987,-0.0008886053631620305,-0.003409319570922805,2024-10-08,2024-11-08,739166.0,739197.0,1.007642625001309,0.980084932157815,0.08398822024984813,0.0047477370446755
