tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-20,739239.904729906,0.5682596800643077,14.40149996963152,0.2501329301763198,0.009764001987090671,-0.006947898820569389,-0.0015514575030078168,-0.006772464664893443,2024-07-14,2024-11-07,739080.0,739196.0,2.962629039428938,0.05545152423593428,0.3744381990819654,1.6051169951894926
2024-11-24,739213.1768857498,0.613164977317875,10.432847767437893,0.26433266183936915,0.009734881540448699,-0.008747896785936713,-0.0007618838322196981,0.008714656115051482,2024-07-19,2024-11-07,739085.0,739196.0,3.3372282695933495,0.06540357555053244,0.3744381990819654,1.4039104237269988
2024-11-27,739216.4389528427,0.08680525533903839,13.79242849842617,-0.39407785059294476,0.5363205153291447,0.05589754299596826,0.034064124409087466,-0.044318965931397045,2024-07-24,2024-11-07,739090.0,739196.0,4.000228656539098,0.06038609820218989,0.3744381990819654,1.7197185782481486
2024-11-13,739202.5713213198,0.23767675700391339,8.175478912470496,0.11031122551698695,0.10940917971222955,-0.0467070135186339,-0.04454894302176244,0.014033416813934272,2024-07-29,2024-11-07,739095.0,739196.0,3.63733564236633,0.06809969601380124,0.3744381990819654,1.300234076804688
2024-11-09,739198.3399208058,0.9736596467574459,7.668254385606886,0.30502678787754334,0.001957789342953726,0.0028028162383366404,0.002716383944917199,0.0006906787456405697,2024-08-03,2024-11-07,739100.0,739196.0,4.562388889950591,0.08869149889904432,0.3744381990819654,1.0611956638161915
2024-12-01,739220.6436040788,0.7626765112790721,4.231557033409388,0.37658959708801887,-0.001538219087847417,0.0067458189631810096,0.005692533239120373,-0.0036195495307458103,2024-08-08,2024-11-07,739105.0,739196.0,1.041186690717569,0.04109828381186236,0.3744381990819654,0.8274937875273782
2024-11-25,739214.108155647,0.5556862475409746,11.326039634345317,0.13241696840572517,0.028402628654395367,0.005670577750863814,0.003286939748472888,-0.004620766074851735,2024-08-13,2024-11-07,739110.0,739196.0,3.1528613749519,0.24574392915432922,0.3744381990819654,0.916072046047118
2024-12-14,739233.0169716921,0.9490903726270283,10.24942016269341,0.1280030892947861,0.004515556614532227,-0.0008665599140369987,-0.0006488010042387171,0.0005744417651204016,2024-08-18,2024-11-07,739115.0,739196.0,1.8913512036048223,0.48252627569607465,0.3744381990819654,0.5324896033167453
2024-11-20,739209.2412040763,0.5797088120654589,8.947791010851008,0.024614541490002553,0.04161323991072759,0.0015187023629772405,0.00007561471411055396,-0.0015168188033917035,2024-08-23,2024-11-07,739120.0,739196.0,2.717167851137009,1.775223064151069,0.3744381990819654,0.3114315059543124
2024-12-01,739220.1804505456,0.4903215398455697,14.371005492740556,-0.138319850012634,0.07498669535165477,-0.0037123503316392656,-0.002149537135986381,-0.0030267201862474217,2024-08-28,2024-11-07,739125.0,739196.0,3.134012957705682,0.6891743068204742,0.3744381990819654,0.27968716640599006
2024-11-24,739213.0562595822,0.35010743360334434,6.882326180049893,-0.07697417763706989,0.1189567894969952,-0.008633982463228156,-0.004063522248739803,-0.007617968240241484,2024-09-02,2024-11-07,739130.0,739196.0,1.7339499410674277,0.7008807832405728,0.3744381990819654,0.21563004457659582
2024-11-07,739196.0180204844,0.3384642745699468,4.07571677709001,0.16906835823506777,0.06922295087778679,-0.015611030069950613,-0.012095405332266542,-0.009869418913648379,2024-09-07,2024-11-07,739135.0,739196.0,5.2720143724402915,0.3682369682783157,0.3744381990819654,0.2360432806875784
2024-11-16,739205.3961151196,0.9937894271666821,13.67522020689999,0.19374135308648793,0.004892891036978152,-0.00039550029315039623,-0.00011387622401945832,-0.00037875148512595886,2024-09-12,2024-11-07,739140.0,739196.0,4.222731516404837,0.8990395103370253,0.3744381990819654,0.17197764737310967
2024-11-18,739207.8645127716,0.684222677192026,8.168713451682592,0.14501509267941523,0.017820872492717292,-0.0035830594156841394,-0.0015547461051961982,0.0032281696555013983,2024-09-17,2024-11-07,739145.0,739196.0,2.1678109371800423,0.416599510276588,0.3744381990819654,0.13042991991641772
2024-11-21,739210.0668528322,0.01787268471543713,9.050529318047701,-7.393091623430399,7.261958239614629,0.03943402078992674,0.030532882252955522,-0.024955662623691813,2024-09-22,2024-11-07,739150.0,739196.0,2.090990872609114,0.36366248390720757,0.3744381990819654,0.13907355440026375
2024-11-08,739197.2447615815,0.5764414413015101,5.349220233498073,0.20989336734627417,0.022451279021763172,-0.0049703862486508545,-0.004666440043037885,0.0017114545817841895,2024-09-27,2024-11-07,739155.0,739196.0,3.00063108605932,0.48676087703388815,0.3744381990819654,0.1293160974259265
2024-11-11,739200.0941654303,0.6561324496046316,11.849406520858363,0.23569797103046453,0.010635392172203767,0.0018592911527123934,0.0013846423562411045,-0.001240858225526858,2024-10-02,2024-11-07,739160.0,739196.0,4.302978427739593,0.3167386224633527,0.3744381990819654,0.12646205658518356
2024-11-19,739208.1475144188,0.055427009411448416,10.152036642037226,-1.0307791790636802,1.120013188018404,0.014655736823805521,0.004781575378714337,-0.013853777778870355,2024-10-07,2024-11-07,739165.0,739196.0,2.047959471853215,0.4172378980549902,0.3744381990819654,0.11598910281299597
