tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-24,739243.3564101803,0.8964848605584022,9.404230243117205,0.11008715924942852,0.0025803219737447233,-0.0012822297496446788,-0.001202826895989973,0.0004442078220348922,2024-07-15,2024-11-08,739081.0,739197.0,1.8760525293846837,0.19183496105854206,0.53944624722452,1.9622436726271821
2024-12-05,739224.211485427,0.6669195401123414,9.217586041387376,0.07236445171759641,0.010717633497554072,0.00455099655028389,0.0035794296603508416,0.00281056095954109,2024-07-20,2024-11-08,739086.0,739197.0,2.38412861925298,0.1703917789950409,0.53944624722452,1.9250672507035866
2024-12-20,739239.6284733166,0.33061702997437875,7.412057507262848,-0.10542278441769921,0.08233337517937034,0.021165138916365216,0.009008515983603183,-0.01915227780506025,2024-07-25,2024-11-08,739091.0,739197.0,1.473316569062367,0.17351668260135983,0.53944624722452,1.8698567626645597
2024-12-08,739227.2714578644,0.4504947636905384,5.266742514916425,0.09160738682433858,0.02228049177192533,0.01394971546336803,0.011243492982464324,0.008257022893404417,2024-07-30,2024-11-08,739096.0,739197.0,1.2297326782376,0.13661773588613788,0.53944624722452,1.4362003517738757
2024-12-08,739227.2118987612,0.6687899214701417,12.808821000720696,0.23035677282939312,0.00009993936146687448,-0.006160400270123,-0.0025322603555953966,-0.00561588719434529,2024-08-04,2024-11-08,739101.0,739197.0,2.914621875953205,0.0008470483528449352,0.53944624722452,1.0210689252209364
2024-12-11,739230.801096341,0.7901125235710496,2.8232019928130785,-0.05463095840748433,0.014168392917013963,-0.007488640845781228,-0.007480827515377868,0.00034199620212567786,2024-08-09,2024-11-08,739106.0,739197.0,0.5869229251882927,0.529498316289035,0.53944624722452,1.1390339936963065
2024-11-27,739216.1393451063,0.7879066485279227,7.377070735067416,0.2313082404639762,-0.0001838865565570661,-0.001744878798321532,-0.0016244023198997224,0.0006371178257876585,2024-08-14,2024-11-08,739111.0,739197.0,2.000122134752319,0.01125577834436476,0.53944624722452,1.3154740625681838
2024-11-17,739206.9605717328,0.7056071111478129,4.196776036075261,0.26106757776196027,-0.002086987668128853,0.004687822174830058,0.0038822948359543983,0.0026274442999900532,2024-08-19,2024-11-08,739116.0,739197.0,1.4773389277198854,0.07485070744663741,0.53944624722452,1.183922331745356
2024-11-27,739216.7649236631,0.5591812538617874,12.350639923113798,0.2447721413751157,-0.002684917222797909,0.01096536788556587,0.010402862503954861,0.0034669503298445634,2024-08-24,2024-11-08,739121.0,739197.0,3.101795700434389,0.011085896952119017,0.53944624722452,0.8366913712268284
2024-11-29,739218.8530910185,0.8762891980887668,6.583547296355464,0.34045557409718574,-0.004242444655358098,-0.0007830650010054156,-0.0007224490714659699,-0.0003020896140842473,2024-08-29,2024-11-08,739126.0,739197.0,1.51583324774495,0.7211172260792843,0.53944624722452,0.9087989010191171
2024-11-20,739209.3291034754,0.2612419863571554,6.791069863002167,0.7300081524732336,-0.20552190528580647,-0.03238317050106962,-0.030097607275097804,0.011950053054916764,2024-09-03,2024-11-08,739131.0,739197.0,1.9984121079813344,0.24414258011483025,0.53944624722452,0.6669189543323053
2024-11-26,739215.5253878548,0.7502481619388113,2.663177242811935,0.6209687919757921,-0.025779595288387653,0.007081783296095647,0.002888225075721682,-0.006466050615702898,2024-09-08,2024-11-08,739136.0,739197.0,0.6175329605273171,1.0255062960127457,0.53944624722452,0.8186225083017858
2024-12-01,739220.25682194,0.21011061981111118,11.182525140735954,0.9090468706924416,-0.312147394301992,-0.051572029020136,-0.05111394513681084,0.006858483054206749,2024-09-13,2024-11-08,739141.0,739197.0,2.182147639980488,0.11372439005619683,0.53944624722452,0.4758172854639111
2024-11-19,739208.7665646394,0.3872673503988925,12.233158238381998,0.4296193331699899,-0.05401970870470816,0.028177193740248057,0.011419834486185648,-0.025759301764286997,2024-09-18,2024-11-08,739146.0,739197.0,3.2595362895189295,0.06069134897677649,0.53944624722452,0.4485788063106555
2024-11-21,739210.4997701304,0.16113038511091518,4.4861641080503745,0.1914918725220916,0.030557089390635245,0.04003848727090087,0.02387687000941246,0.03213993686203679,2024-09-23,2024-11-08,739151.0,739197.0,1.0590689212151578,0.027411740553488405,0.53944624722452,0.6896144867022969
2024-11-09,739198.3918894924,0.7877981178747215,7.860742560529088,0.30906467230792206,-0.0075981677835778765,0.007403371828466053,0.0021168204262741524,-0.007094292474477867,2024-09-28,2024-11-08,739156.0,739197.0,4.274044661546845,0.10285624917154984,0.53944624722452,0.4922342978557483
2024-11-13,739202.6672062435,0.7795013639904178,14.870020758202962,0.38410067389557856,-0.015169174050921854,0.003209989560775651,0.0023905504957267647,-0.0021422654615311284,2024-10-03,2024-11-08,739161.0,739197.0,4.7214843311914745,0.24772145323521527,0.53944624722452,0.4568233063043364
2024-11-19,739208.7509236155,0.9721778577125932,11.807906594815805,0.39393733731615377,-0.006853211224657542,-0.002765472211123365,-0.0020482410512652656,-0.0018581025661699392,2024-10-08,2024-11-08,739166.0,739197.0,2.4270216444521844,0.20403169384555722,0.53944624722452,0.3949207689463621
