tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-26,739215.8339073673,0.6324706956187499,3.751833359074139,0.0698978345780671,0.021515994034189342,0.011198336757068399,0.006317483976968752,0.009246196100313485,2024-07-15,2024-11-08,739081.0,739197.0,1.175367537646734,0.32389538437572823,0.1943169687950088,3.273608031547932
2024-12-19,739238.438398533,0.7242581014473736,8.155495234337012,0.28379268657710616,0.0013558157115108153,-0.0035221553704209135,-0.0034223257383086524,0.0008326253625100652,2024-07-20,2024-11-08,739086.0,739197.0,1.6906968606445074,0.034184967874226535,0.1943169687950088,3.3443518312781775
2024-12-14,739233.7158240414,0.14085250214717918,4.045611111229407,-3.136765777299527,1.8888815747651588,-0.13627718292624832,-0.13371540370759868,-0.026299456223048603,2024-07-25,2024-11-08,739091.0,739197.0,0.8741607704843252,0.4825718847704425,0.1943169687950088,2.847355281740084
2024-11-27,739216.2262902491,0.5274503719448854,5.137560018860882,0.2382974755905272,0.010463694955910161,0.012274684437520654,0.0116699112495615,0.003805397412632449,2024-07-30,2024-11-08,739096.0,739197.0,1.498864966477296,0.08751841198873107,0.1943169687950088,2.9477485401856214
2024-11-19,739208.9783697743,0.3668203513829141,3.052423960445928,-0.1292700559034353,0.11727332686000198,-0.04181030327231425,-0.030400860780596256,-0.028703468841268922,2024-08-04,2024-11-08,739101.0,739197.0,1.0682092337339275,0.3370734114325447,0.1943169687950088,2.660218187677871
2024-11-24,739213.1886935561,0.4231230236421081,9.637017383768308,0.32141133340494266,-0.004476104387355245,-0.0031742356681472676,-0.00015536702653428487,0.0031704310691141415,2024-08-09,2024-11-08,739106.0,739197.0,2.899268156085367,0.06191345698792783,0.1943169687950088,3.13884682275636
2024-11-18,739207.5067466683,0.30608150552858554,7.308703294898826,0.23139221158799542,0.023535080778186446,-0.008786161540433846,-0.006888474954236443,-0.005453947874655211,2024-08-14,2024-11-08,739111.0,739197.0,2.579542937974563,0.1121794397471283,0.1943169687950088,2.9551679941777147
2024-11-20,739209.9048402581,0.18118493261875826,8.468468937712561,0.18969106572119543,0.05684377265418756,-0.018500921487291155,-0.015905066091364165,0.009450553873093867,2024-08-19,2024-11-08,739116.0,739197.0,2.674948402901903,0.06573652063953248,0.1943169687950088,2.8769852604288504
2024-12-13,739232.171762358,0.9845564386042851,7.265799250926522,0.2263249129364818,0.001639050973091605,-0.0017359921184217466,-0.0006980830237321206,-0.0015894491898766198,2024-08-24,2024-11-08,739121.0,739197.0,1.330809154299763,0.12793869987687412,0.1943169687950088,2.4228495339130722
2024-11-21,739210.8146667026,0.024542105098847473,8.46193205135281,-0.9919313058109521,1.1837224729695102,-0.03597847037610204,-0.03200394766604463,0.01643769036066589,2024-08-29,2024-11-08,739126.0,739197.0,2.444013020592862,0.09542221101646492,0.1943169687950088,2.635464019373806
2024-12-07,739226.4444296516,0.5596005886007734,8.500675367792393,0.290326703324389,0.0027118651565130373,-0.008360821581231337,-0.0022377257695839446,0.008055800450192621,2024-09-03,2024-11-08,739131.0,739197.0,1.5910925811313357,0.02135226086742888,0.1943169687950088,2.4356474990891277
2024-11-20,739209.9877347079,0.9599776402794664,5.8832826135614225,0.21671255537043302,0.003549173965196859,-0.0031948406825808746,-0.0005784862486186703,0.0031420312931657655,2024-09-08,2024-11-08,739136.0,739197.0,1.6291557634360565,0.18126730909638025,0.1943169687950088,2.149805128306578
2024-11-09,739198.5220499159,0.7284547285684658,9.165257903720788,0.254987349510387,0.00555714592759418,-0.004130777059393818,-0.001713843628039015,0.0037584649969162006,2024-09-13,2024-11-08,739141.0,739197.0,5.298145123813429,0.10692467068427831,0.1943169687950088,2.228234010641503
2024-11-09,739198.4675560271,0.3349260743148064,10.39052099793052,0.17213941351079834,0.048094693224139,0.019410336548783037,0.01665084242970707,0.009975500554763619,2024-09-18,2024-11-08,739146.0,739197.0,5.914627646866644,0.07986853678769319,0.1943169687950088,2.033872626813728
2024-11-12,739201.4983401193,0.029831874749926664,11.943516430471584,-2.949793000139535,2.9852347472859435,0.019495323028546275,0.016409268172745444,0.010526325950790717,2024-09-23,2024-11-08,739151.0,739197.0,4.5967438836055905,0.3824691300516893,0.1943169687950088,1.6067642779139608
2024-11-16,739205.2847235674,0.21385416576410626,10.826579313209525,-0.39257410405499327,0.36025634182068783,0.02057925930466225,0.015575500610263178,-0.013450267442256272,2024-09-28,2024-11-08,739156.0,739197.0,3.0726398839867666,0.3457867501595431,0.1943169687950088,1.3704144005646068
2024-11-19,739208.2976513441,0.10962083076089482,6.940621240387109,-2.1492251126441038,1.7374935830131477,-0.10439712407152316,-0.07196040439365944,-0.07563372074614601,2024-10-03,2024-11-08,739161.0,739197.0,1.5816878811513324,0.2628629748061073,0.1943169687950088,0.9165036592767346
2024-11-17,739206.707335909,0.0439839582615913,8.557416532482694,-7.417295130512821,6.758243445187815,-0.07797177670848428,-0.046974799068655385,0.062233160096022644,2024-10-08,2024-11-08,739166.0,739197.0,1.9523987060397785,0.4455003402121647,0.1943169687950088,0.75127991030233
