tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-30,739219.5491332423,0.5991155108668603,2.2855486305978103,-0.4722225016859673,0.0767477265934917,0.0316154287860153,0.01589123193939278,0.02733137546432722,2024-07-15,2024-11-08,739081.0,739197.0,0.6604100017038528,0.636336068599749,0.4614631381945149,1.6751444530988837
2024-12-21,739240.309301008,0.6483834342518536,8.919735102286229,0.2529454860589192,0.002439669153192444,0.005532980670826659,0.0008053986652848055,0.005474048601693164,2024-07-20,2024-11-08,739086.0,739197.0,1.803757190599591,0.032051749179607444,0.4614631381945149,1.6389514783965924
2024-12-20,739239.9392044984,0.2416418914184118,14.685668964339296,0.5094718941893502,-0.07899524864792033,-0.01688967622743161,-0.01419574186870217,-0.009151069656856766,2024-07-25,2024-11-08,739091.0,739197.0,2.907019760102375,0.07695877359353892,0.4614631381945149,1.5548002871434727
2024-12-20,739239.1923522266,0.9592061269697949,5.44983636176438,0.3104526341992078,-0.00041219680623513804,-0.0005814954963868438,-0.0005026880716358521,-0.0002923041480260076,2024-07-30,2024-11-08,739096.0,739197.0,1.0598806979751982,0.12476326998989795,0.4614631381945149,1.1754697067774786
2024-12-09,739228.5288891845,0.5898987170424111,10.051735541899824,0.47142099684493877,-0.016606240566419975,0.00101801419233684,0.001000213398409046,-0.00018954169315023019,2024-08-04,2024-11-08,739101.0,739197.0,2.235599197419439,0.957312853636703,0.4614631381945149,0.8629159759465621
2024-12-10,739229.8014691914,0.545094030355962,9.455899632247352,0.4460037481398235,-0.017067265936506912,-0.0021947355830188066,-0.0021917869299271473,0.00011372920983384219,2024-08-09,2024-11-08,739106.0,739197.0,1.9988877081145762,0.4482809903478281,0.4614631381945149,0.7745218947860901
2024-12-19,739238.8789207998,0.8714240067317971,4.334695456594613,0.4630039301082639,-0.004414884875584922,0.0006994994015317732,0.00043354392919257476,0.0005489435983810838,2024-08-14,2024-11-08,739111.0,739197.0,0.7701230822981152,1.2688286179940724,0.4614631381945149,0.7657034041465595
2024-12-11,739230.7382535448,0.6993208217127781,13.989827464096892,0.3889134591004272,-0.005370991144267847,-0.003982551584521467,-0.002283876008433533,-0.003262610534752218,2024-08-19,2024-11-08,739116.0,739197.0,2.7253445610789493,0.06741509135145028,0.4614631381945149,0.4778300911966482
2024-11-14,739203.9106942463,0.36395301396034646,10.711645696522952,0.37327075078642347,-0.02318340212044493,-0.02510840809232713,-0.014889461963117653,-0.020217222345804853,2024-08-24,2024-11-08,739121.0,739197.0,4.235934480401049,0.0313723542532309,0.4614631381945149,0.3287051605763798
2024-11-17,739206.8480547522,0.8882463673996337,9.447783011334565,0.32789405186270754,-0.0013975846036724895,0.002475200523301921,0.002297125273955988,-0.000921863930472785,2024-08-29,2024-11-08,739126.0,739197.0,3.165654633920815,0.05308493003751064,0.4614631381945149,0.3789598474232594
2024-11-18,739207.7229067353,0.6459999517971212,6.282741927344533,0.4208709359287731,-0.01384281380537122,0.006079754417283016,0.006054043807794521,-0.000558540372557947,2024-09-03,2024-11-08,739131.0,739197.0,1.967679186643641,0.23411088420222295,0.4614631381945149,0.4407423044358554
2024-11-15,739204.069123151,0.02762752823075611,13.80209675523875,1.166637364279621,-0.7943887946280741,-0.034212692643843516,-0.03033614636526199,-0.01581855118673977,2024-09-08,2024-11-08,739136.0,739197.0,4.9749945815081915,0.046477506200606526,0.4614631381945149,0.4183225306961702
2024-11-17,739206.0113011962,0.042326800255724016,9.216189381813901,0.9641298772034965,-0.5749415650489236,0.027193799320445546,0.011049940435025449,-0.02484756603498729,2024-09-13,2024-11-08,739141.0,739197.0,2.898520694421244,0.09709969524331218,0.4614631381945149,0.38854708067057797
2024-12-01,739220.0696660021,0.7012924991063357,7.9239003515317545,0.33191233008659315,-0.001969569230019578,-0.002118253307036108,-0.0016570739978124546,0.0013195085594808606,2024-09-18,2024-11-08,739146.0,739197.0,1.4710899275954612,0.08229122855820348,0.4614631381945149,0.3591714890731325
2024-11-12,739201.887738168,0.30539667270292653,14.763237497630648,0.3317432797884712,-0.009854601514697536,0.01615750842481612,0.014275200645351663,0.007568601260005404,2024-09-23,2024-11-08,739151.0,739197.0,5.50495876773972,0.012616746331428955,0.4614631381945149,0.33113261783151365
2024-11-26,739215.5873200891,0.11496802137072606,6.804025562997372,0.5977208618411959,-0.19615219429038738,-0.009421678283814348,-0.0012693561003560326,-0.009335778316465516,2024-09-28,2024-11-08,739156.0,739197.0,1.2615319765237873,0.35178394973017607,0.4614631381945149,0.29454859562360797
2024-11-23,739212.6811228769,0.33650604129156153,9.523513271599406,0.4511903588924593,-0.049079968816091495,0.012188637725437787,0.0027541307392148027,0.01187340109123234,2024-10-03,2024-11-08,739161.0,739197.0,1.8076937630506171,0.14228030362279903,0.4614631381945149,0.16723103529869898
2024-11-12,739201.4847233656,0.8621328637293459,4.469983538640804,0.35070908061282124,-0.005055908669626029,0.003869520034123359,0.0019728475004217793,0.0033288223194639843,2024-10-08,2024-11-08,739166.0,739197.0,1.4715191922484825,0.2520057192815982,0.4614631381945149,0.15059979594172662
