tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-26,739215.9056932016,0.9459915366340521,14.50450506019224,0.5198996449090265,-0.0013563665065243443,-0.001341307338726254,-0.0003963731252139089,0.0012814030289214496,2024-07-15,2024-11-08,739081.0,739197.0,4.536391662007523,0.0659527780160331,0.6000174458719489,1.813077374781838
2024-12-01,739220.2916517494,0.34350762828998455,3.6586794866101178,0.4230547556581176,0.012376219107096043,0.033202391923838705,0.028078142809516603,0.01772051708705422,2024-07-20,2024-11-08,739086.0,739197.0,1.0201370113127788,0.0349969855533997,0.6000174458719489,1.38903287526842
2024-11-16,739205.894147812,0.7896306319756239,13.23930644930702,0.5648884172807622,-0.005417410475478765,0.00192893752757495,0.0013295465345845785,0.0013975356874373903,2024-07-25,2024-11-08,739091.0,739197.0,5.391266162438139,0.16750675808907897,0.6000174458719489,1.4266155714477677
2024-11-24,739213.2433901252,0.09634880600572251,11.09868360118968,2.0299922943216004,-1.091360790019606,0.015463002170463978,0.0008581008902890601,0.015439174167871151,2024-07-30,2024-11-08,739096.0,739197.0,3.4914265953550703,0.612702138282013,0.6000174458719489,1.1216253878931013
2024-12-24,739243.2702250206,0.6113814994598007,13.333867870973588,0.9111006631227632,-0.03142919960268491,0.0003609059249478007,0.00036081464935757974,8.11637058015018e-6,2024-08-04,2024-11-08,739101.0,739197.0,2.383662748352336,3.992964552067242,0.6000174458719489,0.8504046141402991
2024-11-08,739197.5339835641,0.5850826355953355,6.153823907523282,0.6133296716946284,-0.020888999112425016,-0.0012020080685563367,-0.0007735822200363489,-0.0009199967096235554,2024-08-09,2024-11-08,739106.0,739197.0,5.038191182084908,1.6522752326833359,0.6000174458719489,0.6838550697091469
2024-12-02,739221.8765339729,0.2788999747636208,10.226623456875748,1.0207495418236656,-0.1814481314615256,0.011589147876889166,0.007795455081077174,-0.008575501652458167,2024-08-14,2024-11-08,739111.0,739197.0,2.4324621260111186,0.4269895094723883,0.6000174458719489,0.5814326008704009
2024-11-14,739203.8990280118,0.5157641279675212,9.292576307083259,0.670112809786002,-0.03198964480392685,0.008608518030977716,0.0023679189965082007,-0.008276445028854117,2024-08-19,2024-11-08,739116.0,739197.0,3.763668163403868,0.20625098037871065,0.6000174458719489,0.45543202705012875
2024-12-14,739233.5515670746,0.5853272125308592,8.794338823400565,0.8962880636041077,-0.03706385911697547,-0.001846302117085329,-0.001341438994337249,-0.0012686106305818336,2024-08-24,2024-11-08,739121.0,739197.0,1.5741828150686878,1.3361136175074433,0.6000174458719489,0.5285289231947526
2024-11-11,739200.7656771513,0.5975218170732598,5.730435756643775,0.6526294867630509,-0.02409401527736991,-0.0012055737281146048,-0.0010221598106349929,-0.0006392161883453694,2024-08-29,2024-11-08,739126.0,739197.0,2.7255304872940282,2.083922315034283,0.6000174458719489,0.5258781154713509
2024-11-08,739197.2110766069,0.4425025638528103,9.890573402966389,0.6346939911467068,-0.03844559940196549,0.015397150228402032,0.010798679555798626,-0.010975461494040127,2024-09-03,2024-11-08,739131.0,739197.0,9.048721388612348,0.11171220139937714,0.6000174458719489,0.39616029092496363
2024-11-25,739214.5625896283,0.6419770808184276,10.556002207961583,0.7404140660977019,-0.024114069583146675,0.004933113797357278,0.004575151794880604,-0.001844884221699979,2024-09-08,2024-11-08,739136.0,739197.0,2.516909110053227,0.29728255651969926,0.6000174458719489,0.38541955795263905
2024-11-10,739199.2145016125,0.05729287057330669,2.8203586829247818,0.938064328279343,-0.36233684734507166,0.06597972022785037,0.0034367921018166213,0.06589015056436213,2024-09-13,2024-11-08,739141.0,739197.0,1.4674172732319344,0.11155737080537934,0.6000174458719489,0.3214537232743923
2024-11-20,739209.1748991717,0.8364425154272044,13.772769895854973,0.6251251859259773,-0.006800493219723584,-0.0030004595021929383,-0.00021615973754842706,-0.002992663060246324,2024-09-18,2024-11-08,739146.0,739197.0,3.6092024879815017,0.13764722180494873,0.6000174458719489,0.30398205413894475
2024-11-20,739209.475342752,0.8424692960144395,12.567304951405195,0.6531868953558927,-0.008163100644800103,0.003570640435070145,0.0034796087796932526,0.0008011216242491199,2024-09-23,2024-11-08,739151.0,739197.0,3.089931841285968,0.15325722605554987,0.6000174458719489,0.25551137043970207
2024-11-28,739217.4027702376,0.7726814033213485,8.97066855929081,0.5964199851324249,-0.004189303036613505,0.005702485145901316,0.003397640989467652,0.004579778656869175,2024-09-28,2024-11-08,739156.0,739197.0,1.573046309591749,0.06327807555814875,0.6000174458719489,0.19944129270844152
2024-11-14,739203.6963401096,0.10498781419209151,7.964273938264459,1.0779876225870473,-0.4041803379056731,0.04123767372438694,0.016694931416853274,0.037707094812323566,2024-10-03,2024-11-08,739161.0,739197.0,2.348208994113685,0.12920333651358964,0.6000174458719489,0.26787934496129945
2024-11-12,739201.2043374502,0.6336432232925803,4.643839738382972,0.5210289756676076,0.0011051560288314968,0.01301357088001079,0.006319151064840171,0.011376350771174127,2024-10-08,2024-11-08,739166.0,739197.0,1.5706052156494676,0.011587631782704477,0.6000174458719489,0.1736755560277411
