tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-17,739206.5681442581,0.39453560310174385,9.518427302577598,0.08941265069484358,0.035094443574296585,-0.015860349132803694,-0.002371306278801254,0.01568207834269885,2024-07-15,2024-11-08,739081.0,739197.0,3.899984920548281,0.09171631998147874,0.23948364387628593,1.5800818715348495
2024-11-29,739218.0378606127,0.17820407927289564,4.488566345824134,-0.22721440025711745,0.23188582553873432,-0.021822861397995445,-0.010471889379533297,-0.019146195768844982,2024-07-20,2024-11-08,739086.0,739197.0,1.3121436304652263,0.4218640331805827,0.23948364387628593,1.4931745188421814
2024-12-18,739237.1783925324,0.049043418134466346,2.029715056956195,-10.34147245770055,8.558741827061922,0.22846093800723613,0.14064108530069297,0.1800402325053747,2024-07-25,2024-11-08,739091.0,739197.0,0.4172045867214066,0.9051980888074085,0.23948364387628593,1.096614592605291
2024-11-08,739197.1971492687,0.6831980708013455,14.835240799779568,0.22123838056480166,0.0008187912321870875,0.0030495376991147988,0.0014761565326026993,0.0026684531229865653,2024-07-30,2024-11-08,739096.0,739197.0,14.735317569413652,0.01236491707812246,0.23948364387628593,0.6766180685641677
2024-12-12,739231.2937287072,0.15696583378071585,14.060683772353094,0.4527844591341042,-0.11715918378523614,-0.01625978568346305,-0.00856854080369319,-0.01381885447378309,2024-08-04,2024-11-08,739101.0,739197.0,2.98711648091979,0.08043780495962041,0.23948364387628593,0.6628761690012654
2024-12-11,739230.8958946005,0.2677152040174913,3.7450381707863487,0.4829692877138339,-0.0845339331516226,-0.017048969986535073,-0.005992208189031776,-0.01596122860625316,2024-08-09,2024-11-08,739106.0,739197.0,0.7773491504886028,0.35444570450610274,0.23948364387628593,0.5089176527094181
2024-12-16,739235.7432296906,0.17832195861327185,14.535537578928869,0.0879722133594978,0.06914776730551386,0.021498413596251913,0.0003776916569008623,0.021495095630580864,2024-08-14,2024-11-08,739111.0,739197.0,2.705065055486076,0.03945894553869425,0.23948364387628593,0.40416106790688444
2024-11-15,739204.7563288154,0.7166896969837274,8.77934563495536,0.17526848900581127,0.004748696836589616,-0.0036998215363656193,-0.0036894873663909267,0.0002763374281500661,2024-08-19,2024-11-08,739116.0,739197.0,3.4057010298835437,0.10477620940100126,0.23948364387628593,0.3451624192474099
2024-11-14,739203.2995006936,0.08607224980740093,5.443947299355678,0.07610194083804127,0.11503955565382887,-0.02410246155129482,-0.022415901635506757,0.008857539539789289,2024-08-24,2024-11-08,739121.0,739197.0,2.226636720046942,0.07546316907768953,0.23948364387628593,0.39662176039575625
2024-11-30,739219.1757609168,0.5353476222109522,14.882297328502268,0.18928612549153073,0.005649600087635005,0.006261967343587755,0.006244039102031916,0.0004735089275356393,2024-08-29,2024-11-08,739126.0,739197.0,3.4000836775315997,0.0324543420961443,0.23948364387628593,0.2737597581613638
2024-11-22,739211.4656558405,0.6092835920852692,12.413126893908515,0.1832363873666561,0.005461403802886404,0.0057079396123759715,0.004707840130390766,0.003227509244791254,2024-09-03,2024-11-08,739131.0,739197.0,3.3902526897867915,0.046963797455791004,0.23948364387628593,0.22207882249050148
2024-12-07,739226.6789977506,0.9849614760258685,7.896325894599014,0.1880366439805543,0.000746421571235799,-0.0006570563490177328,-0.0006245476966287959,0.00020411570351195002,2024-09-08,2024-11-08,739136.0,739197.0,1.403634683559989,0.14170192372469892,0.23948364387628593,0.21826997613551152
2024-11-08,739197.2128822767,0.8353752350662975,13.508130146407733,0.18217845337281344,0.0040482761701484205,0.0020262564219671255,0.001926675178898573,0.0006274056443634934,2024-09-13,2024-11-08,739141.0,739197.0,11.98811066616881,0.12355550150813999,0.23948364387628593,0.1906344079005957
2024-11-30,739219.2956166766,0.3844839533217007,7.602299951386276,0.07375385239242714,0.03724096012715711,0.00833157078592779,0.0030869334266920697,0.007738598954597437,2024-09-18,2024-11-08,739146.0,739197.0,1.4399668557797265,0.22606180912432286,0.23948364387628593,0.18462529074817227
2024-11-08,739197.8221316255,0.14630935299350825,14.961310916376915,0.16052708882753997,0.0475515045337982,0.022710312992545837,0.02026858327863329,-0.01024416165903796,2024-09-23,2024-11-08,739151.0,739197.0,9.625177195370046,0.020475927560690645,0.23948364387628593,0.20162414308646953
2024-11-14,739203.9212840315,0.6319332873503735,13.36310703283218,0.21062121051322033,0.0010123812276451678,0.00337266966059027,0.0014227392008304605,0.0030578936877998877,2024-09-28,2024-11-08,739156.0,739197.0,4.11527839929706,0.014194956413429797,0.23948364387628593,0.14391946428057706
2024-11-08,739197.2825095234,0.37864321991936445,11.658375480499748,0.24244721130291905,-0.012104096150904133,-0.0018040293883392667,-0.0018031992152209456,0.00005472315979834721,2024-10-03,2024-11-08,739161.0,739197.0,9.009097538450346,0.2179118777188084,0.23948364387628593,0.07597105763449695
2024-11-22,739211.4432390361,0.12318501797110651,7.151555825617392,0.42365385725565485,-0.140784453614617,0.021740948802186907,0.01902882013819712,-0.010515362997417444,2024-10-08,2024-11-08,739166.0,739197.0,1.3046539353348134,0.11154075104660913,0.23948364387628593,0.05286718206674325
