tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-25,739244.1956028533,0.6969686500453173,7.720648945384302,-0.31439929525867166,0.025548141999808857,-0.0071148131419555664,-0.002442849918769495,-0.006682293791753811,2024-07-15,2024-11-08,739081.0,739197.0,1.524483705839724,0.3241568928383267,0.12639954840232492,1.0231439639292021
2024-11-30,739219.1745551737,0.8317333398425863,13.49939491738842,-0.02343127340810076,0.00917915324098325,-0.003135667491838343,-0.00003963278868129888,-0.003135417015555178,2024-07-20,2024-11-08,739086.0,739197.0,3.8516405097245885,0.18036091275889518,0.12639954840232492,2.142802940543469
2024-12-16,739235.3902035658,0.6274163065772859,8.058860170495478,-0.3558194147345109,0.039628395565126096,0.010910499004869212,0.006576542155213176,-0.008705635061036965,2024-07-25,2024-11-08,739091.0,739197.0,1.699091959352862,0.2827769831578347,0.12639954840232492,1.0184932483735205
2024-11-22,739211.1655988122,0.6820621474532605,5.810475080759025,-0.07398909172853764,0.021918491745466624,0.010658128647233183,0.010157179013925228,-0.0032291517059515155,2024-07-30,2024-11-08,739096.0,739197.0,1.9378973607726377,0.24140263887966468,0.12639954840232492,1.0463765546162802
2024-12-18,739237.66516085,0.55163324206055,8.242573671525815,-0.4693993781507418,0.06459735492633085,0.01462119126079788,0.01453623947988196,0.0015738410556194555,2024-08-04,2024-11-08,739101.0,739197.0,1.5901704524735247,0.295678379223181,0.12639954840232492,1.007834602633356
2024-12-23,739242.1832692251,0.6093175419954419,2.81238473990071,3.4118749312479175,-0.2345448937305846,0.07884750641070562,0.03368335448570791,0.07129067889827115,2024-08-09,2024-11-08,739106.0,739197.0,0.49383118857536396,0.6444763248231166,0.12639954840232492,0.6289292237574543
2024-11-25,739214.8442412117,0.1350075539010396,11.235194080303769,-2.2739478080659214,1.5080710645201718,0.01931731592445862,0.0013423335934429688,-0.019270621034342874,2024-08-14,2024-11-08,739111.0,739197.0,3.1492864470512307,0.9381072976053452,0.12639954840232492,0.9814701318971317
2024-12-07,739226.5520857082,0.2843527496352923,8.623955134176306,-1.3702062357221012,0.5083481123637764,0.010697691371702013,0.007240151854636187,0.007875328679235929,2024-08-19,2024-11-08,739116.0,739197.0,1.8108432745855692,1.5668307801122656,0.12639954840232492,0.6114827591989909
2024-12-10,739229.8832162195,0.7719630475848469,11.100258810496165,-0.39141011334576,0.025711455299066564,0.0012997688322982956,0.0012956075404202943,0.00010392361916402912,2024-08-24,2024-11-08,739121.0,739197.0,2.1152471622335955,1.375700665851743,0.12639954840232492,0.43479231817526226
2024-11-27,739216.2787177466,0.7116557385712888,14.210740683270831,-0.3025531391067042,0.033950171428423916,-0.0023542318091474552,-0.0009509519886919234,-0.0021536243234149665,2024-08-29,2024-11-08,739126.0,739197.0,3.4918534188979002,0.7221808853701425,0.12639954840232492,0.39977851813296056
2024-11-08,739197.4432405846,0.6085547806095183,6.409049844568185,-0.034396157900826424,0.033251603272472945,0.011666064286537511,0.00919255937154346,0.007182889957271687,2024-09-03,2024-11-08,739131.0,739197.0,5.110350582654447,0.27064141424418126,0.12639954840232492,0.32296092518349256
2024-11-20,739209.7704455621,0.39980710380609097,4.186864557288548,-0.3434419412146065,0.126825454512516,0.0247419470181416,0.015730876891972934,-0.019097210646011057,2024-09-08,2024-11-08,739136.0,739197.0,1.1686789102934083,0.4894790960416512,0.12639954840232492,0.19730565101860537
2024-11-13,739202.6966303962,0.641419645935769,3.3042196672418047,-0.030822117601662712,0.02456594310377269,0.011667932082978798,0.0031065521324642412,0.011246776113237418,2024-09-13,2024-11-08,739141.0,739197.0,1.2528394638379299,0.4087077707539927,0.12639954840232492,0.19844579122219358
2024-11-24,739213.2876487895,0.30181534493592116,14.447992886469674,-0.5172168948193285,0.2274948889018477,-0.021495887651206833,-0.0204504057667963,-0.0066222420589020356,2024-09-18,2024-11-08,739146.0,739197.0,3.261957548766896,0.2210803062943789,0.12639954840232492,0.26872642535937974
2024-11-14,739203.6058957566,0.4019369931442808,5.116483212865646,-0.03226109710279407,0.04612865249268437,0.010390058137389987,0.008226268850169836,0.006346795167883501,2024-09-23,2024-11-08,739151.0,739197.0,1.6895913084390033,0.3487700762382535,0.12639954840232492,0.17710916244958155
2024-11-21,739210.8387157205,0.1517209612624271,12.49943555162186,-0.47811944490379005,0.36144897781310825,0.012690670040270325,0.003954119016016424,0.012058940620062446,2024-09-28,2024-11-08,739156.0,739197.0,2.739184110085585,0.3457145296135926,0.12639954840232492,0.1344221661185039
2024-11-13,739202.6166027117,0.2635596643743772,13.259565582232062,0.0042194426212266,0.05035963454669323,-0.010524590053769073,-0.0044264929003165285,-0.009548463562445129,2024-10-03,2024-11-08,739161.0,739197.0,4.226501076233176,0.09511018610214765,0.12639954840232492,0.10791334594649574
2024-11-11,739200.1578906567,0.037935909169543265,12.72430187820287,-0.22765021466329613,0.30352850502623363,0.013873424034293454,0.006882658553586389,0.01204578373000509,2024-10-08,2024-11-08,739166.0,739197.0,4.822028623281486,0.06522774357204168,0.12639954840232492,0.09200649149327693
