tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-06,739225.4718301131,0.43769077552227376,5.3941506460956745,0.7329320839998664,-0.06529955676566393,0.02194023316281594,0.0019375500541644515,0.021854512829764357,2024-07-15,2024-11-08,739081.0,739197.0,1.3943587167151024,0.2414978771578809,0.6931471805599453,1.47073706858647
2024-12-14,739233.7650099566,0.7953649703815251,6.018795880107813,0.583536236073177,-0.008325092997494763,0.004405175313127354,0.0007582164190422259,-0.004339432843273583,2024-07-20,2024-11-08,739086.0,739197.0,1.3325417109698177,0.24973691445017782,0.6931471805599453,1.3742023679752924
2024-11-13,739202.5982956764,0.5696022998730524,14.772662561189108,0.5147222204963069,-0.022748421338946886,0.005384412495077883,0.004871640163539105,0.002293255335575068,2024-07-25,2024-11-08,739091.0,739197.0,7.035660566203064,0.16290180503873417,0.6931471805599453,2.0161732755616986
2024-12-08,739227.8755550666,0.7741950467812859,12.469995211800132,0.6644902562037136,-0.013245544525688132,-0.0032110834777741115,-0.0031726500299185173,-0.0004953270524531372,2024-07-30,2024-11-08,739096.0,739197.0,2.8815178292915236,0.25609572132505193,0.6931471805599453,1.1716373243277787
2024-12-09,739228.93878273,0.34731138423849944,13.018781288935875,1.2652835538227192,-0.22109090774102333,0.02055034119942215,0.0165261904116015,-0.012214808794744111,2024-08-04,2024-11-08,739101.0,739197.0,2.875383050761591,0.2870123163865132,0.6931471805599453,0.6890085487113574
2024-11-20,739209.2458040637,0.2586971003317918,11.163912350874957,1.2216413267863993,-0.340817873226092,0.02822672795949694,0.024310385295600888,0.014344104645424141,2024-08-09,2024-11-08,739106.0,739197.0,3.7879944653005864,0.2797930787111897,0.6931471805599453,0.6271287060786387
2024-12-10,739229.8367034186,0.09739299650749869,10.82852422922146,3.7496237430682124,-2.2880509309436214,-0.023091873603803253,-0.004101440444384675,0.022724718101996152,2024-08-14,2024-11-08,739111.0,739197.0,2.216659887067521,0.8911790555611507,0.6931471805599453,0.7642067531107886
2024-12-03,739222.7725324017,0.45595215708610415,14.477709947414231,1.0384494261333739,-0.11451571810208945,-0.01352727322719238,-0.005409178250082906,-0.012398706046275387,2024-08-19,2024-11-08,739116.0,739197.0,3.275168827728997,0.266608653700229,0.6931471805599453,0.4498931406695425
2024-11-22,739211.4704074482,0.4013624888040078,3.0088539233883345,0.8436495564612468,-0.10885292354701713,-0.017760773349272348,-0.015856887651421587,0.008000261494127333,2024-08-24,2024-11-08,739121.0,739197.0,0.8777363018948712,0.8175492093920251,0.6931471805599453,0.585401328913241
2024-12-05,739224.7827161697,0.8175063981888042,9.871224584646942,0.8505535065970744,-0.019226278570878386,0.0010721694356817478,0.0006246325318864386,-0.0008714249818081043,2024-08-29,2024-11-08,739126.0,739197.0,1.99289566098692,1.485087133264923,0.6931471805599453,0.38516947742649993
2024-11-09,739198.2824486294,0.7946797901874867,9.603831277201241,0.5952319515999348,-0.017925522182466094,0.0025980189651471502,0.00045257403927174327,-0.0025582961678119937,2024-09-03,2024-11-08,739131.0,739197.0,6.053044896269349,0.5709224825590993,0.6931471805599453,0.29562500719355345
2024-11-21,739210.2497901387,0.29641671410981535,7.365429413607388,1.4749202416871279,-0.389042533611098,0.023377730656525417,0.010455573586403541,-0.020909310644503527,2024-09-08,2024-11-08,739136.0,739197.0,2.0203085772913316,0.6697293797910371,0.6931471805599453,0.21650786930647148
2024-11-28,739217.2713575091,0.15363470979776153,5.245760548838948,2.5006798807323913,-1.2011811389590723,0.009752415112494217,0.0023870933524521793,-0.00945575940118424,2024-09-13,2024-11-08,739141.0,739197.0,1.1063014815282284,3.607258016559783,0.6931471805599453,0.33076567583895833
2024-11-11,739200.8782770418,0.953968140036348,5.758335779967629,0.6329082224605067,-0.011807446288501841,-0.0030885269106138654,-0.00257884234739807,-0.0016995795435496511,2024-09-18,2024-11-08,739146.0,739197.0,2.428388581438112,0.6333466441826326,0.6931471805599453,0.1879807098387498
2024-11-19,739208.4252333309,0.7273891810291778,13.607993349836926,0.7666507375388408,-0.031074352014639418,-0.004642754977668992,-0.0038227597884158125,-0.0026347070772177483,2024-09-23,2024-11-08,739151.0,739197.0,3.4969961915992913,0.35776600028714517,0.6931471805599453,0.21869188306514398
2024-11-23,739212.1404753252,0.4881999086952967,12.140495993561936,1.059461259501966,-0.12029964029174552,-0.003738310820702893,-0.00001193479801573818,-0.0037382917693488797,2024-09-28,2024-11-08,739156.0,739197.0,2.532146022738516,1.294047400911752,0.6931471805599453,0.23906478519274463
2024-11-10,739199.8675662796,0.7655538184741775,12.201152503253326,0.691315421778466,-0.029896227784973757,0.0009186352967737984,0.000559465202003849,0.0007286216413375855,2024-10-03,2024-11-08,739161.0,739197.0,5.061875359089899,2.041964262940624,0.6931471805599453,0.16707523311368136
2024-11-16,739205.7973892489,0.34861539387220614,10.155366565457678,1.1589625228367886,-0.24648909098920468,-0.0034243603086598746,-0.0033424040063611445,0.0007447005987550461,2024-10-08,2024-11-08,739166.0,739197.0,2.439521409125939,2.470979855585323,0.6931471805599453,0.17556597512024893
