tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-20,739239.8218833248,0.4671518983600188,13.06105789953811,-0.05085250446202245,0.03896123687059556,-0.006226241478148867,-0.004902961566567011,0.0038375839822716775,2024-07-15,2024-11-08,739081.0,739197.0,2.7246647776124657,0.22381363391253392,0.3197329604675906,0.7570594909077395
2024-11-12,739201.0374808044,0.203869124179416,4.625287831504847,0.0343892691861906,0.10716908281636035,-0.028420916360948633,-0.02808529040783251,-0.0043548765199198135,2024-07-20,2024-11-08,739086.0,739197.0,2.4657931894758245,0.1662050175438064,0.3197329604675906,0.6273260176177776
2024-12-09,739228.8006763412,0.32092959023070927,7.8981394133877245,0.022144515833510965,0.058570805320223907,0.012690571607737622,0.0024025762859671263,0.012461068771226038,2024-07-25,2024-11-08,739091.0,739197.0,1.8432060833316426,0.18753614208136632,0.3197329604675906,0.437955738112156
2024-11-16,739205.8837340975,0.41963937033706855,7.632124076130575,0.17551205978650689,0.013328607102102864,-0.007778040633300102,-0.002651921416154887,-0.007311992129085375,2024-07-30,2024-11-08,739096.0,739197.0,3.055190030202412,0.09422049099595112,0.3197329604675906,0.31654774495811216
2024-12-13,739232.6475028838,0.6628708112414093,7.497597785502928,0.19045445162713331,0.002881013034871815,0.0011071461969234947,0.0009616440406726373,-0.0005486469177904499,2024-08-04,2024-11-08,739101.0,739197.0,1.5589589184788932,0.23006312137361437,0.3197329604675906,0.28393282151506427
2024-12-01,739220.1616836253,0.7134280869518789,8.489479134099895,0.190124703122827,0.002624601923812005,-0.0017106724093839283,-0.0016919440396800515,0.0002524390200000044,2024-08-09,2024-11-08,739106.0,739197.0,2.1552296366626464,0.12893349337258878,0.3197329604675906,0.22106064561341113
2024-11-20,739209.0994889893,0.16954585330420005,10.493226151772355,0.193787868897434,0.02250744386598812,-0.02010719165738788,-0.006078178991828263,-0.019166504545436207,2024-08-14,2024-11-08,739111.0,739197.0,3.4951097792104027,0.018086431904671053,0.3197329604675906,0.1805091268345239
2024-11-08,739197.7457224838,0.2690152291968671,2.1068173008115094,0.24409171633022658,-0.0062858116610266385,-0.003384016303181262,-0.00042343198579983536,0.0033574203927417496,2024-08-19,2024-11-08,739116.0,739197.0,1.574957999960748,0.23718046058167488,0.3197329604675906,0.22628092856867948
2024-11-11,739200.7831502605,0.6953901546333588,14.631974394815868,0.24334413167101743,-0.0012631857017201037,0.0024415708971611827,0.0017507601460936086,0.0017017953333802367,2024-08-24,2024-11-08,739121.0,739197.0,7.09979203748271,0.024588014845748307,0.3197329604675906,0.16588975293634473
2024-11-28,739217.5374962575,0.42461327246675273,13.255766219680273,0.2375992765129476,-0.001108952752340116,0.0074279545645238145,0.002385172956225552,-0.007034590178647257,2024-08-29,2024-11-08,739126.0,739197.0,3.152969981355418,0.004782252837112744,0.3197329604675906,0.12879797033348456
2024-11-30,739219.0357730992,0.9462376804365904,13.16402264729201,0.22859771840139445,0.00005843433199776102,0.0009799406570208304,0.0002545492697718107,-0.0009463024677876812,2024-09-03,2024-11-08,739131.0,739197.0,2.9018995544689146,0.004286273947552693,0.3197329604675906,0.11229913391838782
2024-11-26,739215.6203877135,0.18694500954566154,9.933065572925344,0.27573643452245744,-0.023339030924968605,-0.016496510130936403,-0.01450983757884486,-0.007848532342777782,2024-09-08,2024-11-08,739136.0,739197.0,2.2970632929013144,0.026626943402954097,0.3197329604675906,0.11913878373422429
2024-11-18,739207.8484370536,0.7335366313498125,13.830326629770504,0.21485210359838264,0.0015270057924044998,0.0022769898608144025,0.00005993422209911988,-0.002276200939124877,2024-09-13,2024-11-08,739141.0,739197.0,4.002613356173007,0.0355687790215858,0.3197329604675906,0.10183880444900141
2024-11-26,739215.7461023844,0.7221484254290903,4.208225800315283,0.2244651499733316,0.0010059151305466694,0.0018580398479572217,0.0015635256695797962,-0.001003842396575252,2024-09-18,2024-11-08,739146.0,739197.0,0.8799812945882545,0.0929038583615693,0.3197329604675906,0.10025501075048585
2024-11-24,739213.9102540445,0.022605777918106366,10.053988580789968,-0.8414068154327932,0.9911152168717352,-0.029759264639772347,-0.014560694545701289,-0.025953805236357725,2024-09-23,2024-11-08,739151.0,739197.0,2.1022489093865806,0.0748829625272784,0.3197329604675906,0.08455165384445926
2024-11-18,739207.8075058812,0.11300629390562647,12.580635717078524,0.28705140210125096,-0.04139510146255337,0.025670777062254322,0.023620603654107605,-0.010052655270898386,2024-09-28,2024-11-08,739156.0,739197.0,3.1381466409186918,0.014484715898328464,0.3197329604675906,0.05189168331664769
2024-11-10,739199.7662803031,0.0423075552963439,9.83259576586397,0.617101591715797,-0.3466493357986732,0.015163500179457867,0.014280689809069182,-0.005098395460295949,2024-10-03,2024-11-08,739161.0,739197.0,4.1314263419177,0.09836501384905257,0.3197329604675906,0.05241506906623693
2024-11-08,739197.7202306767,0.05673731339801891,9.319533208903357,0.38475436399395063,-0.13581578689365623,-0.019469309448338502,-0.01810541131969745,-0.007158777223781604,2024-10-08,2024-11-08,739166.0,739197.0,5.61430569407765,0.04246922281320777,0.3197329604675906,0.04473728292981985
