tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-11,739230.0999994257,0.7590070059583744,10.978995690274429,0.1459838704821683,0.007121189285408255,0.0058803700179669675,0.0031616491737459576,-0.00495809701905442,2024-07-15,2024-11-08,739081.0,739197.0,2.629925654645056,0.08372035190631986,0.2320314477620653,1.1598682184548246
2024-11-29,739218.8136479706,0.683535483418931,7.067363313579531,0.019921372556597476,0.018792090228776617,0.009215840836439688,0.0014410113627427057,-0.009102483648710155,2024-07-20,2024-11-08,739086.0,739197.0,2.031861777658587,0.1972167374721457,0.2320314477620653,1.5478462150496464
2024-12-21,739240.2068467791,0.3085104172351643,13.924032992651563,-0.09513306605458349,0.10759208932759684,0.03696862852029404,0.005090085777587753,0.03661653344390065,2024-07-25,2024-11-08,739091.0,739197.0,2.746462990873781,0.06448397358164573,0.2320314477620653,1.5905568256449456
2024-12-06,739225.0949527832,0.17421293086444847,5.265435495334323,-0.012595460787923368,0.15610862419000696,-0.06480748678638909,-0.04627370676703811,-0.04537349893501897,2024-07-30,2024-11-08,739096.0,739197.0,1.2779456512279044,0.07969807039612929,0.2320314477620653,1.5225146920828019
2024-12-22,739241.1206558517,0.5575150583476917,8.394877206022752,0.08286829788541032,0.018903919448659053,0.013039442150208363,0.010758348967234915,0.007367834083896431,2024-08-04,2024-11-08,739101.0,739197.0,1.5439489101066621,0.09627978243330974,0.2320314477620653,1.1313745436878817
2024-12-03,739222.0754938311,0.769120889526612,3.912265520344536,0.4734225681152575,-0.009575868630217893,-0.009999146179808831,-0.0029160261396184487,-0.009564502908057871,2024-08-09,2024-11-08,739106.0,739197.0,0.9541273796663751,0.1882701839350753,0.2320314477620653,0.8288072699113482
2024-11-16,739205.6548300576,0.1335561030378887,4.361553549555058,-0.22163335911584167,0.3187248380489085,0.07202547301734982,0.02951738784824753,-0.06569925858020863,2024-08-14,2024-11-08,739111.0,739197.0,1.6605202852476548,0.1355040636604857,0.2320314477620653,1.2154960669341186
2024-12-03,739222.0547166129,0.6992897048566727,14.592186033118272,0.052944467739667295,0.016056236036011445,-0.0035165040826092477,-0.0016134023917558941,0.003124537355399015,2024-08-19,2024-11-08,739116.0,739197.0,3.3510015849715167,0.21881112280242224,0.2320314477620653,1.0122483478523565
2024-11-09,739198.3482297403,0.46107563278042785,11.565917152412108,0.0499230431837336,0.06012975762408785,-0.006032444188284947,-0.005435410000629733,-0.002616620150084287,2024-08-24,2024-11-08,739121.0,739197.0,7.454256304181993,0.39736373998257857,0.2320314477620653,0.577331020888925
2024-12-12,739231.3824923686,0.9270067451192836,3.499820638347356,0.1061762599604355,0.004839542900494664,-0.0015655452042740972,-0.0009965396578835335,-0.001207410657933329,2024-08-29,2024-11-08,739126.0,739197.0,0.6238827119465677,0.8187962372988667,0.2320314477620653,0.301327255649574
2024-12-08,739227.7212837297,0.9602091560392436,10.632535086539198,0.01668966057738821,0.005953179647227734,-0.0009635565983429741,-0.0009601302274908161,0.00008118660276620287,2024-09-03,2024-11-08,739131.0,739197.0,1.9407701150862398,0.557957059575775,0.2320314477620653,0.2129038265592783
2024-11-28,739217.4837711401,0.20736028920310084,2.125748055037996,-2.1940185080980705,1.2004176491164327,0.10699042916162778,0.08455969694397167,-0.06554852847267406,2024-09-08,2024-11-08,739136.0,739197.0,0.46714699996614695,1.0944633976222462,0.2320314477620653,0.22187889505675976
2024-11-17,739206.2334636699,0.03265605656550586,9.05141238507806,-3.542706416449382,3.434445779966139,-0.04686480658841836,-0.0035347932581338264,-0.046731309987973875,2024-09-13,2024-11-08,739141.0,739197.0,2.8165273744389103,0.26439742621649476,0.2320314477620653,0.21285349718593488
2024-11-30,739219.153559598,0.3039395651365227,4.215240305119063,-0.7212818436033575,0.3269768143826756,0.023067309970701024,0.015940153078406915,0.016673701122467004,2024-09-18,2024-11-08,739146.0,739197.0,0.8014037741815397,1.0220800381534552,0.2320314477620653,0.17540832375036822
2024-11-26,739215.8041531686,0.38028102856515444,14.093747080361435,-0.1172848296838692,0.09780747323181722,0.010067099166194396,0.003840053130585603,0.009305937759101535,2024-09-23,2024-11-08,739151.0,739197.0,2.7753565652500685,0.26214759580641084,0.2320314477620653,0.17942604943851895
2024-11-20,739209.0260235533,0.40382407739081494,5.42889171993024,-0.021089333835954117,0.07264832615891362,-0.005450587792530774,-0.0004368585817561264,-0.00543305272049071,2024-09-28,2024-11-08,739156.0,739197.0,1.2819771894203726,0.9914328464397626,0.2320314477620653,0.15316136983991385
2024-11-21,739210.8322408962,0.8927493319032878,14.380114860375217,0.18188620853743268,0.0028541508541918286,0.0009474482685814508,0.0009264631314995692,-0.0001983035239475105,2024-10-03,2024-11-08,739161.0,739197.0,2.933292171085813,0.18702023404186577,0.2320314477620653,0.09184784750681253
2024-11-22,739211.8130020022,0.6381290922375714,14.687862281845325,0.11812933173527666,0.014738817131595354,0.003734758348303695,0.0010147037917909135,0.0035942726851408047,2024-10-08,2024-11-08,739166.0,739197.0,2.63934860829054,0.1714549691601949,0.2320314477620653,0.07757981233530356
