tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-03,739253.9541020812,0.14006072428987573,8.968084749994757,-3.085522653923672,1.7782415975693666,0.024566837043348812,0.015698746697560863,0.01889652969304886,2024-07-15,2024-11-08,739081.0,739197.0,1.585433741606836,1.1304677682030952,0.016206433755836042,0.43226272623162876
2024-11-29,739218.2325842262,0.6514872526310401,7.015806980831015,-0.14069385335689058,0.0290498854264098,0.003876917873254263,0.0015169125821399918,0.003567838058839517,2024-07-20,2024-11-08,739086.0,739197.0,2.042290399492613,0.6958027052353859,0.016206433755836042,0.32653513484389163
2024-11-10,739199.3841941116,0.35015600343552605,4.928262562531287,-0.21177950446976476,0.14027284497608628,-0.01643566610376516,-0.015800885678081578,-0.004523619354305966,2024-07-25,2024-11-08,739091.0,739197.0,2.993751673841043,0.6063927979458095,0.016206433755836042,0.27700648472394096
2024-12-23,739242.3311738094,0.29991494392940027,14.845161051661503,-1.3201561264167065,0.42646649364365397,-0.00858968844452542,-0.0012490247120552495,0.008498393074145764,2024-07-30,2024-11-08,739096.0,739197.0,2.7687722062129616,1.0030456436280217,0.016206433755836042,0.3545810757761835
2024-11-13,739202.5993123401,0.5187559599404944,4.8280138525136165,-0.12438951122697986,0.05844136891103225,-0.006347157132105002,-0.006080297710536793,-0.0018210940148362562,2024-08-04,2024-11-08,739101.0,739197.0,2.2271317396558317,0.9893175697790366,0.016206433755836042,0.25347832796671627
2024-12-10,739229.3498526559,0.7390223506847112,2.0794225239579043,-1.180617911923284,0.06964500804752262,0.01915333962574637,0.01526955666073638,0.011562484949341438,2024-08-09,2024-11-08,739106.0,739197.0,0.44294900440098456,1.2922909788526145,0.016206433755836042,0.30046636146868066
2024-11-19,739208.3194892582,0.8764663635108167,9.915125241800158,-0.012416868664834964,0.009131259531451575,0.0017300280703643697,0.001699936122081256,-0.0003212698322158592,2024-08-14,2024-11-08,739111.0,739197.0,3.395113520558124,0.4665676102209945,0.016206433755836042,0.24127623530839018
2024-11-28,739217.0600358206,0.9188447823450074,10.336808849329016,-0.03961104246066114,0.0073159367939336925,-0.0013135498285900388,-0.0012821416510326077,0.0002855274748186227,2024-08-19,2024-11-08,739116.0,739197.0,2.6601900093406097,0.49508419352733757,0.016206433755836042,0.23525369200539104
2024-11-09,739198.7394304655,0.7725656677759032,2.688589997044934,-0.06789053427337505,0.02425165039937812,0.006926602297777663,0.0018209301627511324,0.006682965863593944,2024-08-24,2024-11-08,739121.0,739197.0,1.6259455727064112,1.0060785098234626,0.016206433755836042,0.20794417705632548
2024-12-08,739227.1959111769,0.4118124505054591,11.871265943207208,-0.5708310134949659,0.14943733124922265,0.010202910785290504,0.0013348802218746574,-0.010115210491425537,2024-08-29,2024-11-08,739126.0,739197.0,2.2849138578944297,0.5080862619719909,0.016206433755836042,0.2327578906767143
2024-11-18,739207.4304635541,0.5048527842558578,7.2676117159736195,-0.20362854830080426,0.07001718821081869,0.010370691074982986,0.0016199406001178266,0.010243389371922824,2024-09-03,2024-11-08,739131.0,739197.0,2.303695153362422,0.46899693869668224,0.016206433755836042,0.1812413362244147
2024-12-07,739226.0444372937,0.5841620286316848,8.543199895728986,-0.3507706950200687,0.05508230565450697,-0.007250325021237477,-0.006485671320748523,0.0032408764914452297,2024-09-08,2024-11-08,739136.0,739197.0,1.5384598565723657,0.5194782760736915,0.016206433755836042,0.1522605898508945
2024-12-03,739222.0485494065,0.9728926036710395,2.139857752710975,0.09361494623364101,-0.003859780382233439,-0.007840650783831537,-0.005180420309767293,0.005885494892372997,2024-09-13,2024-11-08,739141.0,739197.0,0.39990709353533616,0.22381566533922984,0.016206433755836042,0.10293522469313063
2024-11-17,739206.0461515547,0.6310902396948718,13.26397162960241,-0.10446602495831112,0.034471148694285435,0.005367631165563475,0.005205007532112163,0.001311244035328268,2024-09-18,2024-11-08,739146.0,739197.0,3.9956964288852337,0.30555610772096,0.016206433755836042,0.1754088034766975
2024-11-23,739212.038130484,0.7742341015449226,11.24070832290905,-0.15485752364921077,0.02193342365851069,0.002058267714721026,0.0006453133091288984,-0.0019544914219622516,2024-09-23,2024-11-08,739151.0,739197.0,2.5062475682135417,0.7339782368279184,0.016206433755836042,0.13522088485460218
2024-11-12,739201.8446314888,0.15961025656265318,9.086993122771318,-1.0002431006338508,0.7341054050183337,-0.00783895598917887,-0.0036488284054220685,-0.006937959517615272,2024-09-28,2024-11-08,739156.0,739197.0,3.2502605758480154,1.644904890590375,0.016206433755836042,0.045093138365235305
2024-11-21,739210.0681652536,0.9465567840646409,3.9754137322036063,-0.0812632399533742,0.00933369283562835,0.0020835402151046256,0.00017564361805583634,0.0020761235867342975,2024-10-03,2024-11-08,739161.0,739197.0,0.8370908415515453,1.0666353089027563,0.016206433755836042,0.014869253698676099
2024-11-17,739206.9248548127,0.3522385165514233,14.203259930226443,-0.5452404239671073,0.2309825829861354,0.003111053115737453,0.00005274562976805973,-0.003110605951817136,2024-10-08,2024-11-08,739166.0,739197.0,3.2024668549593214,1.841283307474782,0.016206433755836042,0.015238493131276133
