tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-01,739251.5112020944,0.23243160023420978,11.082823359319159,-0.42380244204930234,0.22944641723026354,0.033725931956045396,0.033333901056022554,0.005127331342043589,2024-07-15,2024-11-08,739081.0,739197.0,2.0115265116149628,0.14267966533821935,0.19047060755833695,1.8108457475961177
2024-11-23,739212.5559994996,0.7520693128938607,14.805306312757372,0.1343041144450178,0.004678024006752727,-0.003289681920017162,-0.0031097055142756957,0.0010731909193480583,2024-07-20,2024-11-08,739086.0,739197.0,4.9394457947701165,0.07223522159544182,0.19047060755833695,1.5252935082340344
2024-11-27,739216.6396271094,0.5738570414137506,7.248482360717662,0.14131236301027564,0.008276173831929188,-0.00640190760364701,-0.0024948419380546915,-0.005895776850403765,2024-07-25,2024-11-08,739091.0,739197.0,2.1409887872229616,0.10234740382330658,0.19047060755833695,1.1575098511090438
2024-11-14,739203.1405305949,0.27963175305366234,4.233823904502867,0.09785141450841119,0.04572233880326887,-0.021804743948757425,-0.018230557856556615,0.011962174505900484,2024-07-30,2024-11-08,739096.0,739197.0,1.9266465220628581,0.1384940581096813,0.19047060755833695,0.9071956300374169
2024-12-11,739230.176075065,0.7534499012221545,10.224557818493405,0.24626155849136533,-0.0012774452459280285,0.000879767918275053,0.0007745911891770093,0.00041713316779580956,2024-08-04,2024-11-08,739101.0,739197.0,2.2120509774663586,0.1070000593652429,0.19047060755833695,0.8888569828139384
2024-11-29,739218.8665536405,0.8062935778642386,14.35192635544703,0.2677291074665104,-0.0021101517162007196,-0.0020662478148716643,-0.0019604058496410044,-0.0006528314768416575,2024-08-09,2024-11-08,739106.0,739197.0,3.748905759096926,0.057373887511572345,0.19047060755833695,0.6992082384319611
2024-11-22,739211.5079622653,0.2861979484643378,6.5168724612329285,0.13548559755601378,0.028201727179851664,0.012585548801510171,0.010581739759536081,0.0068134295546844375,2024-08-14,2024-11-08,739111.0,739197.0,2.007526810589783,0.0984080992645035,0.19047060755833695,0.8048240045056452
2024-12-05,739224.3169050752,0.17030742671407054,14.2898152008885,0.04377895668668573,0.08624194248865881,-0.03581121024069288,-0.010777618440227042,-0.03415092560473267,2024-08-19,2024-11-08,739116.0,739197.0,3.132967190416282,0.028701626339289646,0.19047060755833695,0.6013314020846967
2024-11-18,739207.594112698,0.9959853460868868,3.6818804602606052,0.11883771237553009,0.0030231733678069473,0.002363001465514545,0.0022279967510177895,0.0007872778438887126,2024-08-24,2024-11-08,739121.0,739197.0,1.2311248542316948,0.3460846414998755,0.19047060755833695,0.5377859674319929
2024-11-13,739202.227488791,0.8416234526131077,8.772019856070767,0.18310258650645864,0.002294937523259162,-0.004434701559663468,-0.0036226735945093006,0.0025578924822843227,2024-08-29,2024-11-08,739126.0,739197.0,3.7412840614712137,0.04965062174156329,0.19047060755833695,0.35839283521439963
2024-11-18,739207.2578475496,0.7320246512286029,3.897188635775658,0.14104645566868473,0.005754814627216678,0.0060605411856535195,0.0004231960808743553,0.006045747641122245,2024-09-03,2024-11-08,739131.0,739197.0,1.2442831589660808,0.17835866406570192,0.19047060755833695,0.4224687299250427
2024-11-27,739216.4092956808,0.9170581767554065,6.740668994349866,0.12759275014496307,0.003170513190480006,0.0011961454299154615,0.0006307991887120409,0.0010162953670207668,2024-09-08,2024-11-08,739136.0,739197.0,1.5248693091612109,0.36061141104593186,0.19047060755833695,0.4857240118568204
2024-11-20,739209.9967717475,0.7684391202518011,12.479930790751308,0.11844239311958735,0.007297808120524075,0.004381454844704713,0.004123715549550689,-0.0014805798264802415,2024-09-13,2024-11-08,739141.0,739197.0,3.3157515246888916,0.10255843601995335,0.19047060755833695,0.272516966162443
2024-11-24,739213.6012856356,0.053561312959981025,11.465444916087081,-2.3870116991871693,2.161266634437933,-0.028435171162916592,-0.025685987892763017,0.012197909043651499,2024-09-18,2024-11-08,739146.0,739197.0,2.5622622444108534,0.35506903869913137,0.19047060755833695,0.2846350020902399
2024-11-29,739218.1694299869,0.614971394858351,5.830232680132378,-0.1855501831053284,0.044072166900346016,-0.0047655680738275495,-0.00006724707792327954,0.004765093587411994,2024-09-23,2024-11-08,739151.0,739197.0,1.0714210337374726,0.9754808637895588,0.19047060755833695,0.2523534163065837
2024-11-17,739206.3719162692,0.3313906595845824,6.962706964564115,-0.2798843464595262,0.17371176564190377,-0.025746378244064276,-0.02148656179186888,-0.014184627420225976,2024-09-28,2024-11-08,739156.0,739197.0,1.8635925315143138,0.32112582654269417,0.19047060755833695,0.1537805856234578
2024-11-15,739204.9843809169,0.21250276762295922,12.663321638831462,-0.21595246467260534,0.2214653616202498,-0.010777901885588826,-0.0023743586557942627,-0.010513115143906399,2024-10-03,2024-11-08,739161.0,739197.0,3.439024027797278,0.3448168951350606,0.19047060755833695,0.18625955857680784
2024-11-18,739207.7989337798,0.6803356271271898,6.91546384739903,-0.04322328182260843,0.028685988017650984,-0.007965999661931933,-0.005371948248239774,-0.005882118889663255,2024-10-08,2024-11-08,739166.0,739197.0,1.4896187710167357,0.354267594149023,0.19047060755833695,0.09276425120109129
