tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-13,739232.4789364203,0.8238381521931832,5.769495426999817,0.6190643262839706,-0.009031027030832483,-0.004546675250435675,-0.0036235967179216464,-0.002746234268738153,2024-07-15,2024-11-08,739081.0,739197.0,1.3328375507979044,0.28362680554806846,0.4084844583731082,1.097309822503207
2024-12-24,739243.8451085767,0.6804533126002487,4.450035434861335,0.22190461285052832,0.005823487185189347,0.011285922036185808,0.005330869000032033,-0.009947556077316774,2024-07-20,2024-11-08,739086.0,739197.0,0.8603532654705748,0.07890071553688399,0.4084844583731082,1.2944672299486693
2024-11-21,739210.3861430387,0.31809847993653634,9.449175506875228,0.8072379230559055,-0.14806939767743316,0.008069155169390345,0.0011870840263036283,0.007981359324212494,2024-07-25,2024-11-08,739091.0,739197.0,3.29071114122031,0.6177388581450741,0.4084844583731082,2.420179180701781
2024-12-26,739245.782715546,0.22375950960024432,8.593042122334575,2.2507171321501946,-0.7272922643355734,0.05998233607868893,0.004233738764180506,-0.059832734331078774,2024-07-30,2024-11-08,739096.0,739197.0,1.5342150278975903,0.3157331288380935,0.4084844583731082,0.8375352521490264
2024-12-09,739228.2727499201,0.8429400060352734,4.012663282248842,0.3552745184099935,-0.00006929727858978564,-0.006061128774216706,-0.004132063885989901,0.004434335357157344,2024-08-04,2024-11-08,739101.0,739197.0,0.8963789812890927,0.0024017434582806418,0.4084844583731082,1.2175155968030689
2024-12-04,739223.9170309145,0.33843760225885805,5.669298916255697,1.0797084300482767,-0.19125053774493056,-0.04161574023732984,-0.035908291748195494,0.021034838226793886,2024-08-09,2024-11-08,739106.0,739197.0,1.3328929390254316,0.27434325966559275,0.4084844583731082,0.7781894034467753
2024-12-01,739220.2246286309,0.9886221673519029,4.3944294739136645,0.44967857632889796,-0.0016577901752653885,-0.003658242187224857,-0.0036339142902267105,-0.0004211921552899677,2024-08-14,2024-11-08,739111.0,739197.0,1.0827989068543302,0.10194946546303706,0.4084844583731082,0.9021423460581912
2024-11-19,739208.4409953875,0.8143914308158569,3.043698296088686,0.3106616948055824,0.005170274539537073,-0.013400740013011373,-0.013371716814811065,-0.0008814886957999338,2024-08-19,2024-11-08,739116.0,739197.0,1.0121306593057608,0.10323249341030116,0.4084844583731082,0.7953378694763409
2024-11-25,739214.9548076034,0.09446390170470646,4.360041294995776,1.8386256479486593,-1.0439528471392043,-0.13492960044308192,-0.12563873048003513,0.049202708046354744,2024-08-24,2024-11-08,739121.0,739197.0,1.148410572093767,0.16762891180249478,0.4084844583731082,0.7564651750237931
2024-12-07,739226.0363432077,0.9348773746742751,8.668486183740766,0.8455788713905761,-0.011690338628606911,-0.0028662865652811014,-0.0021047520970718376,0.0019456662828405684,2024-08-29,2024-11-08,739126.0,739197.0,1.706585019264639,0.4398644578685067,0.4084844583731082,0.7685522325181076
2024-11-19,739208.1857970267,0.8328040814375062,2.57602230592889,0.14558097854636273,0.01475947802431834,0.017087062303469177,0.003681285102268415,0.016685797498425248,2024-09-03,2024-11-08,739131.0,739197.0,0.7919182295061151,0.27925234026281115,0.4084844583731082,0.8188943827506274
2024-11-15,739204.2254568451,0.3237525782832316,4.1007403089983825,0.6846944196554535,-0.09969260890424728,0.06925532381843118,0.05721698491644468,0.03901943764673069,2024-09-08,2024-11-08,739136.0,739197.0,1.465341482905221,0.11364773002494832,0.4084844583731082,0.6022282271736066
2024-12-02,739221.7736411797,0.7464071002228215,11.3239934736612,0.8812506288889832,-0.02954951512736143,0.005206380643412814,0.005172833463051294,-0.000590079119813928,2024-09-13,2024-11-08,739141.0,739197.0,2.130049121182176,0.3741024858331005,0.4084844583731082,1.1362043010423961
2024-11-28,739217.3725943215,0.2598533352793824,4.463635407200361,1.0901365209607206,-0.2806874258531104,-0.07184744831054768,-0.06509007925797393,-0.03041935914721894,2024-09-18,2024-11-08,739146.0,739197.0,0.8906571744780135,0.227431801075341,0.4084844583731082,0.7103888008040254
2024-11-22,739211.9421892408,0.8796875064906766,10.163898988800918,0.6174517094516898,-0.008808489594228466,0.007834438368229306,0.006238119528452162,-0.0047396507565776675,2024-09-23,2024-11-08,739151.0,739197.0,2.273969030446146,0.09731093848868745,0.4084844583731082,0.6427381586393232
2024-11-08,739197.3587099082,0.9915474035499332,5.912428883261347,0.4430737533152275,0.0005928489415599099,0.010742904649986446,0.008473849553174477,-0.006603322956577629,2024-09-28,2024-11-08,739156.0,739197.0,4.467383736661864,0.00925486055284247,0.4084844583731082,0.3054288254091334
2024-11-15,739204.8842372051,0.4085776817436194,4.214964216490216,0.7427502975137428,-0.09576227042877836,0.06345084338900736,0.022304757920694564,0.05940123989341935,2024-10-03,2024-11-08,739161.0,739197.0,1.151611066750596,0.14629779586303968,0.4084844583731082,0.4643788979605446
2024-11-18,739207.3560988939,0.7947852782592015,7.513170708211389,0.31198663385802516,0.01252448671463934,0.006958385492952717,0.006304451443056454,0.0029449992649707435,2024-10-08,2024-11-08,739166.0,739197.0,1.6556998465498642,0.1904048510666837,0.4084844583731082,0.2847324073127649
