tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-04,739223.5232808543,0.6734739018569252,8.243106386314183,0.013175803175550794,0.013966958006092307,-0.00504090931626512,-0.00503247639934508,-0.0002914584444535038,2024-07-15,2024-11-08,739081.0,739197.0,2.205989220370094,0.22637205246355857,0.2280697048871219,1.7185240888033073
2024-11-24,739213.9361068715,0.413938575477356,7.253815779291031,-0.03469656935708188,0.054371553397669824,-0.014376608298111685,-0.0086519141584134,-0.0114817789367667,2024-07-20,2024-11-08,739086.0,739197.0,2.3344558212244553,0.21581651717892913,0.2280697048871219,1.7378646458366092
2024-11-13,739202.7646241245,0.751478598910718,2.08272253527987,-0.005747925839980219,0.019342868853323723,0.010125314782554885,0.009030748043432445,-0.004579038023631768,2024-07-25,2024-11-08,739091.0,739197.0,0.9827108007228044,0.6892829791403421,0.2280697048871219,1.404742606836656
2024-11-10,739199.9062346126,0.33324201812300275,8.753168241127733,0.1579498041629869,0.021398414421490923,-0.017515933604775356,-0.011310710342372268,0.01337444434725614,2024-07-30,2024-11-08,739096.0,739197.0,4.982639840168051,0.046509619216209365,0.2280697048871219,1.0690405409792478
2024-12-10,739229.2908559988,0.4035053962932661,4.982010916089983,0.0063128621710159235,0.0414615376856335,0.009846603355378606,0.0007410552435495495,0.009818677852142882,2024-08-04,2024-11-08,739101.0,739197.0,1.0938342511032915,0.3410386757340883,0.2280697048871219,0.9524496580974926
2024-12-09,739228.96900635,0.4905342610493014,5.346485245197961,0.0021715133615114904,0.030198064999355734,-0.0076294086148733335,-0.00709042983894547,0.0028166789862700274,2024-08-09,2024-11-08,739106.0,739197.0,1.1463294343673167,0.36315264639132994,0.2280697048871219,0.8720415795947143
2024-12-08,739227.5795708667,0.24406858251662672,14.49882426553826,0.04199930531426645,0.06567402652526486,0.02648353089947639,0.024909713499769552,-0.008993530022350467,2024-08-14,2024-11-08,739111.0,739197.0,3.088072841564209,0.04174426803233101,0.2280697048871219,0.7232334140748975
2024-12-08,739227.6824653809,0.3859352721617809,10.86814296979037,0.010178554519102616,0.04536799874442326,-0.008180486247929213,-0.007424831036433017,0.0034339830129137185,2024-08-19,2024-11-08,739116.0,739197.0,2.234741840685356,0.19693804970642353,0.2280697048871219,0.8818153575474549
2024-11-23,739212.4745583852,0.7722813359679679,7.122283321995936,0.1497194272798464,0.004139915703626743,-0.0016347998385992264,-0.0015957571213812852,0.00035514746492826255,2024-08-24,2024-11-08,739121.0,739197.0,2.014157689387158,0.27458904423752495,0.2280697048871219,0.8596125807150822
2024-12-03,739222.7399680075,0.9819015437669452,14.595146843490893,0.15988905592509814,0.001324150544059193,0.0017187258650726894,0.001307769727797504,-0.0011152385118557854,2024-08-29,2024-11-08,739126.0,739197.0,3.0754634879386735,0.05183107597868344,0.2280697048871219,0.45839042503532357
2024-11-08,739197.6111896181,0.7097782010036372,10.468851387467495,0.1656578221891941,0.006295955846357005,-0.006981931481027296,-0.002853261077832515,0.006372304797126864,2024-09-03,2024-11-08,739131.0,739197.0,7.816368437038262,0.061137786846154285,0.2280697048871219,0.4923749507563814
2024-11-24,739213.213779163,0.13757221452584048,4.229342673407979,-0.16084364772364695,0.23303972566658712,-0.03404345310007288,-0.032485727265365784,-0.010180089538758097,2024-09-08,2024-11-08,739136.0,739197.0,1.050550714793313,0.22266615470529605,0.2280697048871219,0.5261484468796676
2024-11-29,739218.8292537511,0.9028207151583629,10.946564834008202,0.14791293391141844,0.0022983923964714375,-0.0020454747576231723,-0.0008155732771529664,0.0018758483983700672,2024-09-13,2024-11-08,739141.0,739197.0,2.214800176932635,0.09267310485932924,0.2280697048871219,0.4555405223159099
2024-11-13,739202.2593548782,0.5198130400688373,8.656080074287482,0.09368395158107712,0.02470487456762287,-0.012915157643075527,-0.01196194048252036,0.004869627997920661,2024-09-18,2024-11-08,739146.0,739197.0,3.264999652252264,0.11487058860194611,0.2280697048871219,0.30114284867999824
2024-11-10,739199.4013915777,0.4224946104402286,5.982617506507735,0.004822070043734668,0.0673434684065324,0.02257422799727929,0.017023528282282204,-0.014825493398045344,2024-09-23,2024-11-08,739151.0,739197.0,2.8598031374795703,0.21067476050630746,0.2280697048871219,0.3033656734222399
2024-11-21,739210.8080625862,0.4952332815192201,3.0444765658643957,0.33086715767173147,-0.02952808118776337,0.020274149706574644,0.005805076598358971,-0.019425298762484607,2024-09-28,2024-11-08,739156.0,739197.0,0.6679842208296894,0.23691347608311442,0.2280697048871219,0.34456502487896173
2024-11-17,739206.3037311658,0.7336427291685458,12.703824451948966,0.08584354869980815,0.011969044852509386,0.005403428123071443,0.0045932059831034575,-0.002845961046462509,2024-10-03,2024-11-08,739161.0,739197.0,3.2005776099286924,0.12792052984955754,0.2280697048871219,0.24587538930779734
2024-11-19,739208.8709467078,0.6590552366731292,6.110455539589661,0.07398684683826358,0.013821914431207286,-0.01285148257137195,-0.0055812955836601315,0.011576257767089197,2024-10-08,2024-11-08,739166.0,739197.0,1.248799459191011,0.11600139050045989,0.2280697048871219,0.11611500669192357
