tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-23,739242.8117822707,0.7144818151098787,3.1826527860697924,-0.9836079607303989,0.06133510948480841,0.02586832843033838,0.02586832834363826,-2.1179174606249277e-6,2024-07-15,2024-11-08,739081.0,739197.0,0.6391926249851243,0.5322831235802057,0.5354337348644003,1.0666594134404617
2024-11-20,739209.2452327386,0.12591911656908164,4.454483866170671,1.3311312957717631,-0.5480234731081972,-0.11253457356857902,-0.08195218164299148,-0.07712243624404026,2024-07-20,2024-11-08,739086.0,739197.0,1.637000726387915,0.13765990607974063,0.5354337348644003,0.9805986583085978
2024-12-23,739242.6183031126,0.7438094221966883,6.996388968647423,0.7534165678183519,-0.01149349520398358,0.005686016814229872,0.0017510166687952147,-0.005409688330884336,2024-07-25,2024-11-08,739091.0,739197.0,1.3373890448523023,0.21489767084654815,0.5354337348644003,0.7920344805173886
2024-12-11,739230.6125643266,0.9092814146560857,8.296424637003765,0.8051511632352195,-0.007850828607264103,-0.001586460885866759,-0.0015264040534492564,-0.0004323757717527908,2024-07-30,2024-11-08,739096.0,739197.0,1.8320796618783333,0.5423672645747686,0.5354337348644003,1.160954999529532
2024-12-17,739236.0504129516,0.6453368000835139,4.982379044997785,0.5826671015977879,-0.00931025903196824,-0.010286678476229234,-0.002333021752563809,0.010018620841981293,2024-08-04,2024-11-08,739101.0,739197.0,0.9839132771920449,0.11722932532328618,0.5354337348644003,0.7632906799651669
2024-12-11,739230.6704387767,0.9857328706909683,7.111168802826781,0.6700057683764944,-0.003199528846792318,-0.0021493051013408574,-0.0005709163943462804,-0.002072092394010575,2024-08-09,2024-11-08,739106.0,739197.0,1.4815575162996022,0.2063508260124879,0.5354337348644003,0.612420140898187
2024-12-11,739230.504402723,0.6615200342864253,5.111914258339899,0.5891786820212953,-0.008533625862373648,-0.010042787189573535,-0.0033563911473156807,0.009465316318078504,2024-08-14,2024-11-08,739111.0,739197.0,1.0346186198125438,0.10996102487082411,0.5354337348644003,0.6183636585401204
2024-12-07,739226.5134410356,0.9841119955304949,8.865571300549625,0.6656035721513225,-0.0035650826048061832,0.001857156925515174,0.0011395428583870259,-0.0014664494262974434,2024-08-19,2024-11-08,739116.0,739197.0,1.8629304489153982,0.21308790204001865,0.5354337348644003,0.916058554474865
2024-11-25,739214.456660599,0.9761053784562943,5.509002260172212,0.5151012946451626,-0.0004570731982439749,-0.003830301600801272,-0.0018190788059004159,0.003370780718323976,2024-08-24,2024-11-08,739121.0,739197.0,1.471049199545204,0.021143483405818495,0.5354337348644003,0.4197052567780898
2024-11-21,739210.8904717321,0.4452191437809069,4.107458987135621,0.7171850625004363,-0.048567033124384686,-0.033196224981820364,-0.03012289828252343,0.013949923014281518,2024-08-29,2024-11-08,739126.0,739197.0,1.1833413180298524,0.15858184602524034,0.5354337348644003,0.3586223563583627
2024-11-28,739217.5339202129,0.4068156161482691,11.384331588307525,0.8077466769688529,-0.0703074946770918,-0.02072374256717436,-0.018019545368762168,0.010235696883634078,2024-09-03,2024-11-08,739131.0,739197.0,2.6063032734711347,0.12123374262918767,0.5354337348644003,1.0563724735694529
2024-11-22,739211.4190890942,0.43767981350719076,12.98369358209254,0.6794760866134556,-0.037118040975363815,-0.021034259244933847,-0.006668527117288381,0.01994920570020457,2024-09-08,2024-11-08,739136.0,739197.0,3.418905659846691,0.059486180400313324,0.5354337348644003,0.7642150835527612
2024-11-10,739199.7277073037,0.5095434939939526,7.356555848822376,0.5187103014561144,-0.003131226158789762,0.013545249222009068,0.0005117838064755801,0.013535577336108266,2024-09-13,2024-11-08,739141.0,739197.0,3.5938112030726588,0.01601157893744367,0.5354337348644003,0.7466828536212736
2024-11-09,739198.8317563569,0.4466234346322647,8.133303985582799,0.44830583719888295,0.01817556352022916,-0.00687173383688378,-0.0028254192978743784,-0.006264002850907122,2024-09-18,2024-11-08,739146.0,739197.0,4.351748753672356,0.14524328324510266,0.5354337348644003,0.4389698397159945
2024-11-25,739214.9599150309,0.04816081096465387,7.814008831009093,-2.982180819707804,2.961306367186466,-0.0468362703027554,-0.04401305292962459,-0.016015223622754447,2024-09-23,2024-11-08,739151.0,739197.0,1.5795624840009053,0.389691497496693,0.5354337348644003,0.16227551620073957
2024-11-27,739216.1777422524,0.9424762872260677,10.135365997526117,0.29691324649881146,0.007868619040268723,0.0018995980504808014,0.0017296163406135602,-0.000785429861714602,2024-09-28,2024-11-08,739156.0,739197.0,1.8446567415523334,0.3851836110104964,0.5354337348644003,0.1288599823892947
2024-11-08,739197.96707222,0.9363148153082568,8.63587837457884,0.42815403791055523,0.006998425575321589,-0.0026734108529057657,-0.0015484525857558857,0.0021793164474440702,2024-10-03,2024-11-08,739161.0,739197.0,5.007795393299399,0.28382459038732294,0.5354337348644003,0.14645481927011786
2024-11-08,739197.2133982767,0.8101772710164787,6.026755294440029,0.42607913505932954,0.010412803025065084,0.005910380497683292,0.005766745144265866,-0.0012950861239628257,2024-10-08,2024-11-08,739166.0,739197.0,4.781976053936601,0.23683654093004242,0.5354337348644003,0.10820212712468003
