tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-22,739211.2696119684,0.584322075421534,12.198581552402263,-0.2542336029435122,0.0429296596917884,-0.005494015546996412,-0.0032579573265679334,0.004423790330576327,2024-07-15,2024-11-08,739081.0,739197.0,4.293498384334562,0.37429198025840393,0.15730738127592,1.7573429882015585
2024-12-28,739247.8696088081,0.8943475912975214,12.924185370278424,-0.295249060841107,0.008188045624073123,0.0007763737049948708,0.00001994293077246444,0.0007761175228788908,2024-07-20,2024-11-08,739086.0,739197.0,2.3809696618258154,0.729814687514518,0.15730738127592,1.4493566944646965
2024-12-02,739221.2748174912,0.7928056111339443,9.448633304388292,-0.13277610150469168,0.010964139475495627,0.0026000793298276838,0.0020590328564037094,0.00158770155181859,2024-07-25,2024-11-08,739091.0,739197.0,2.5266892899517015,0.35382268470539885,0.15730738127592,1.1746565651304621
2024-12-26,739245.208726373,0.17374949654573027,2.010273991043061,-7.158798440345152,3.6027279023430685,0.3810033419980819,0.3640857019777288,0.11227265129626086,2024-07-30,2024-11-08,739096.0,739197.0,0.3614758685415587,0.8172802027961551,0.15730738127592,0.31014708727127316
2024-12-21,739240.4071919468,0.9459158318269649,13.820770340066039,-0.11506670219298694,0.004048943466003107,-0.000994984795497985,-0.0009189960798869107,-0.0003813672094250604,2024-08-04,2024-11-08,739101.0,739197.0,2.566487218761522,0.2785130264798076,0.15730738127592,0.8162760989575056
2024-11-18,739207.3582972592,0.7694020946511801,6.426988556002033,0.0600080942040618,0.003677681054336546,-0.005356835629344076,-0.00416328657019386,-0.003370865303487161,2024-08-09,2024-11-08,739106.0,739197.0,2.333076226278937,0.08218859941339875,0.15730738127592,0.35124711641138395
2024-12-05,739224.8808424175,0.4540436765645538,13.858183055220515,-0.09845302097404125,0.03589648088754042,0.011033347882871516,0.006480431304680076,0.008929657082429753,2024-08-14,2024-11-08,739111.0,739197.0,3.103746338472955,0.10659477096833475,0.15730738127592,0.6489329451539098
2024-11-28,739217.8661343596,0.09621151909092078,10.244980493676993,-0.3317844952780616,0.3145108275967788,-0.06833574546107152,-0.05180433519925995,0.044565513149554016,2024-08-19,2024-11-08,739116.0,739197.0,2.585272321687554,0.04322187479593944,0.15730738127592,0.45843999165787486
2024-11-24,739213.8117687126,0.28866790791875135,6.981356539655382,0.006257862883755901,0.03910023564136155,0.028140999962078164,0.02676893443754844,0.008679863359749181,2024-08-24,2024-11-08,739121.0,739197.0,1.8983377381660953,0.057451124783734674,0.15730738127592,0.44459813546284666
2024-11-10,739199.1435478718,0.5431904892593474,2.823132259720774,0.10738204257001427,0.004895977803346642,0.015295613243516042,0.012739782393095646,0.008464852572360225,2024-08-29,2024-11-08,739126.0,739197.0,1.586066290042452,0.06158762816022087,0.15730738127592,0.3449122567289213
2024-11-22,739211.7454049195,0.7915634768442925,14.750401958302952,0.15884997529745162,-0.003064661984121605,0.0025138730253994024,0.0006748949362022595,0.002421585103381521,2024-09-03,2024-11-08,739131.0,739197.0,3.9917865135032677,0.06542159608697572,0.15730738127592,0.19453798119118967
2024-11-27,739216.252917729,0.15268279905618057,14.109215278612792,0.5815000233375938,-0.27587567786785533,0.018950986001037475,0.007788497031694269,-0.017276550130127476,2024-09-08,2024-11-08,739136.0,739197.0,3.205570592149952,0.15753202495009255,0.15730738127592,0.12752664492867996
2024-11-15,739204.0449435244,0.3195763059030721,10.206249701193784,0.32050360828703567,-0.07802610269979758,0.007343349557095655,0.00512168363103895,-0.005262427149257709,2024-09-13,2024-11-08,739141.0,739197.0,3.5598793021535267,0.33270099217200927,0.15730738127592,0.05693506126771361
2024-12-02,739221.8637144146,0.19183703939633517,7.126272224142661,0.8143724596018684,-0.3463478627192975,-0.008607056940973292,-0.008054993956662567,-0.0030329031542873307,2024-09-18,2024-11-08,739146.0,739197.0,1.265212311439932,1.083247987491393,0.15730738127592,0.06109709109662058
2024-11-09,739198.3905282542,0.4825836244965368,6.844227460992065,0.19774209692206993,-0.02269225503682928,-0.007516104406052232,-0.0013038230041351084,-0.007402153133823017,2024-09-23,2024-11-08,739151.0,739197.0,3.843829032533887,0.21287908661382696,0.15730738127592,0.0379412657319595
2024-11-21,739210.9811225623,0.7141293707234732,9.402994124324888,0.24157063812470841,-0.01136762662659908,-0.0030081785874218605,-0.0011007460688149742,-0.00279955291177212,2024-09-28,2024-11-08,739156.0,739197.0,2.049175495865083,0.28699670815716133,0.15730738127592,0.03457098848834891
2024-11-08,739197.3350527239,0.23884127891330614,9.61491089025219,0.21155414490690186,-0.050253654611224996,-0.00810722680331544,-0.005681428816479347,-0.005783467216443298,2024-10-03,2024-11-08,739161.0,739197.0,7.171184159684074,0.15397827579046866,0.15730738127592,0.04535538840239487
2024-11-22,739211.4455397675,0.16247894283050582,2.7559444051447253,-1.5608204804593664,1.0003654323481408,0.09949681027595252,0.05202169861086908,0.0848136671104887,2024-10-08,2024-11-08,739166.0,739197.0,0.5027175862514276,0.5927562616369424,0.15730738127592,0.03537268306401551
