tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-19,739238.7690495284,0.002845476497826072,5.8485471336239865,-62.4654934069268,61.96459683436283,0.1033007823100784,0.05446903438180989,-0.08777343515772537,2024-07-15,2024-11-08,739081.0,739197.0,1.2370449176847045,0.291841485002833,0.34326389784844497,1.4612152461656935
2024-11-25,739214.0082505371,0.8599911629575845,2.269979312128229,-0.07162789354478667,0.013668200684388492,0.0072056058807488214,0.005081857044356627,0.005108374016201721,2024-07-20,2024-11-08,739086.0,739197.0,0.729202994828806,0.718642557000827,0.34326389784844497,1.2985508843218172
2024-12-28,739247.8397376807,0.055855372268761375,9.132381086814664,-0.18861239846003058,0.3601416962020206,-0.0701145493714033,-0.05577608527460222,0.04248621358741269,2024-07-25,2024-11-08,739091.0,739197.0,1.6373939131750468,0.03141565965100859,0.34326389784844497,1.0345652559962388
2024-12-26,739245.2570289309,0.38070014932437857,12.298486739545446,0.27625944367340893,-0.004440771097007853,-0.01080905447628401,-0.009931754283994888,-0.004265667065492171,2024-07-30,2024-11-08,739096.0,739197.0,2.2101162676981314,0.012717508952438273,0.34326389784844497,1.1118500960480675
2024-12-08,739227.7509914403,0.8011016633989378,4.8811353971657105,0.16390235918421386,0.0034778736079853823,0.0020814499445713846,0.0017442372997970635,0.0011358125345992919,2024-08-04,2024-11-08,739101.0,739197.0,1.1002640546023605,0.2742297719416521,0.34326389784844497,1.0885796053087033
2024-11-17,739206.4831588992,0.1973022415591042,3.5649527253128652,0.13481561691076496,0.061546894905521225,0.03051097510544212,0.029114585916403337,0.00912471856011335,2024-08-09,2024-11-08,739106.0,739197.0,1.3392846206520939,0.11164217890953157,0.34326389784844497,0.9760980806761735
2024-12-19,739238.0793297183,0.7295509732094391,8.485196780266687,0.23218936373806653,0.0015522430841405327,0.0033465254636806225,0.00003705822867622036,-0.0033463202725905134,2024-08-14,2024-11-08,739111.0,739197.0,1.5250843520868103,0.03988038316632245,0.34326389784844497,0.9007137703111874
2024-11-28,739217.7404956811,0.6864856685517297,9.466745376517288,0.28998189832774307,-0.0025709079485447535,0.0024450529000727525,0.002096402202976252,-0.0012583248735960424,2024-08-19,2024-11-08,739116.0,739197.0,2.3961283381569407,0.07624810350934265,0.34326389784844497,1.0535385991011104
2024-12-15,739234.560855034,0.2936929710229695,14.28245961469218,0.2712554740158439,-0.005054969865235141,-0.004334483973019103,-0.0026430929334011516,-0.003435376406998856,2024-08-24,2024-11-08,739121.0,739197.0,2.5149308963946773,0.023981244524840614,0.34326389784844497,1.0971432281381381
2024-11-16,739205.5572836068,0.6142060463743623,14.100419897494296,0.2878820274049655,-0.004238590961223194,-0.001057578573487662,-0.0010272921248128946,-0.0002512833647450756,2024-08-29,2024-11-08,739126.0,739197.0,5.003772330208596,0.1745785595905908,0.34326389784844497,0.9493961389103402
2024-11-28,739217.6478724183,0.42735142006222226,8.329084958849737,0.1361193240471498,0.024348971744741172,0.0173799383716092,0.009102746808481638,0.014805480685935565,2024-09-03,2024-11-08,739131.0,739197.0,1.9012503555159717,0.07188201669170272,0.34326389784844497,0.6941426943186584
2024-12-03,739222.6495576277,0.07187246787768364,5.915373191642324,0.9619064962019144,-0.5326620429465843,0.07833219469767591,0.03180714977417439,-0.07158378272624215,2024-09-08,2024-11-08,739136.0,739197.0,1.1460832510354357,0.08262126961831297,0.34326389784844497,0.5373445006154559
2024-11-09,739198.8841523173,0.21248406175555107,6.736077161100662,0.16315595331722427,0.0544453588500656,-0.030212610326085135,-0.015687673614827112,-0.025820509663260393,2024-09-13,2024-11-08,739141.0,739197.0,3.671837062410934,0.05684495427956366,0.34326389784844497,0.6871945794793016
2024-11-30,739219.8212377359,0.9292934290156358,13.957378851721002,0.18166907363987017,0.002485254515409424,0.0011320986061829112,0.0009563721293178369,-0.0006058049227146946,2024-09-18,2024-11-08,739146.0,739197.0,2.607806748781981,0.14616238305212276,0.34326389784844497,0.6432096046716892
2024-11-16,739205.4053075312,0.3829762693256594,11.345124838971286,0.10714055963067569,0.046424416527364655,-0.003457515430167558,-0.0017092693476436548,0.00300546356608304,2024-09-23,2024-11-08,739151.0,739197.0,3.3721966634928036,0.4532574094862896,0.34326389784844497,0.5914114548364454
2024-11-22,739211.2896400462,0.31567770713918947,5.605598025346394,0.18677589165087133,0.019872916655962178,-0.04012879175243823,-0.019863409304793207,0.0348678203835687,2024-09-28,2024-11-08,739156.0,739197.0,1.2071359077092034,0.02788864984350607,0.34326389784844497,0.29671878233669435
2024-11-21,739210.9217399731,0.6035320439972135,9.337971529198065,0.04727337615991263,0.02877242301875833,-0.0028473379940953253,-0.0009704610946120989,0.002676852427098491,2024-10-03,2024-11-08,739161.0,739197.0,1.8978647181126067,0.6531082978382474,0.34326389784844497,0.49380601540488317
2024-11-13,739202.8232992208,0.7991679009924957,6.515547811532117,0.20491578687315,0.004040644122763827,-0.004471380760692102,-0.004365657246210421,-0.0009665830102468785,2024-10-08,2024-11-08,739166.0,739197.0,1.9124677002683654,0.11083987924736816,0.34326389784844497,0.45228432795103873
