tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-29,739218.6276260607,0.41474945752288706,11.355819831717788,0.034919338654873386,0.0008583244687243451,0.004050813678798742,0.00384514887899403,0.0012743318087193607,2024-07-15,2024-11-08,739081.0,739197.0,3.344618094783716,0.007738852311999239,0.0007600818016020034,0.9834473489696768
2024-11-16,739205.8702056822,0.4084699166567566,5.54304624858954,0.019891319765180937,0.0043758968766082285,-0.0034196476869426938,-0.0032988631020275097,0.0009008288055418475,2024-07-20,2024-11-08,739086.0,739197.0,2.2970026910761163,0.09429687244350847,0.0007600818016020034,0.999456022872804
2024-11-14,739203.2719092654,0.9765063711051503,10.022131865959533,0.03639451355282664,0.00011953721509660247,-0.0004431711697604095,-0.00011730811669491765,-0.0004273634184909855,2024-07-25,2024-11-08,739091.0,739197.0,4.601531593034509,0.026281285390502895,0.0007600818016020034,0.9817540284933628
2024-12-05,739224.8661082303,0.6103228603878553,12.00370088485597,0.010957017328139869,0.002320897562517684,-0.0019296156022415687,-0.0015410424525231507,-0.0011612943347556312,2024-07-30,2024-11-08,739096.0,739197.0,2.9255894159901765,0.06115467222352386,0.0007600818016020034,0.9734363371454234
2024-12-18,739237.1387666515,0.2987977397520943,4.535943581406409,-0.09212779268145395,0.03488239335981623,0.011578600548500203,0.009239793662424478,0.00697783660868823,2024-08-04,2024-11-08,739101.0,739197.0,0.8817014287989289,0.19845400490890294,0.0007600818016020034,0.9340435788490064
2024-11-14,739203.0728773095,0.14696383375896052,13.462218862588864,-0.05805001058791312,0.05811550641699538,0.007215878115641492,0.005846276976588886,0.004229650398413624,2024-08-09,2024-11-08,739106.0,739197.0,5.93843425597104,0.08792181878798935,0.0007600818016020034,0.9924229313438707
2024-12-16,739235.9534794574,0.2759742124143039,6.9705136711114575,-0.11236750655021337,0.0493820277765379,0.011888375722606464,0.0005046410296990441,-0.011877660323186668,2024-08-14,2024-11-08,739111.0,739197.0,1.2930774678639179,0.1644561490776267,0.0007600818016020034,0.931583625825998
2024-12-02,739221.6846715788,0.8632769862988949,10.90642840854051,0.02103557251444805,0.0005776063043124323,-0.0004905279813421902,-0.00001207033552341479,-0.000490379452546694,2024-08-19,2024-11-08,739116.0,739197.0,2.5243521465005343,0.09320425709701714,0.0007600818016020034,0.9828813594472889
2024-11-11,739200.367817259,0.5943347710745689,4.212980954932201,-0.03340099138757579,0.01079261859605527,-0.004868702683622377,-0.002244752395446375,0.004320341711560499,2024-08-24,2024-11-08,739121.0,739197.0,2.1187176663763805,0.3127196839273668,0.0007600818016020034,0.9221027475535003
2024-11-25,739214.8450292649,0.5983911976808179,13.64233814470609,-0.03134976321471895,0.007526343776588748,-0.0018549451398824483,-0.0007485667139708243,0.0016971945518143867,2024-08-29,2024-11-08,739126.0,739197.0,3.4852152051161647,0.17797105221394788,0.0007600818016020034,0.9478674170685973
2024-11-09,739198.0617534922,0.6249866141039645,12.018974398347526,-0.01596647384259537,0.008010897435920716,0.0017116285824095821,0.0005999509250080569,0.001603038144182293,2024-09-03,2024-11-08,739131.0,739197.0,7.930208149418477,0.24337442979753812,0.0007600818016020034,0.9276847940618944
2024-11-09,739198.0034765856,0.31027823043087116,14.33587321979816,-0.06363580612526167,0.040857654353471,-0.007634877993362892,-0.007631858994291919,-0.00021468643362475954,2024-09-08,2024-11-08,739136.0,739197.0,9.408782776099667,0.11582397966226365,0.0007600818016020034,0.8819177256266694
2024-12-01,739220.8736225116,0.5869808765097974,4.427009954400492,0.09740444487711325,-0.007826242745676119,0.007335194631080294,0.004437716061168325,-0.005840527068362739,2024-09-13,2024-11-08,739141.0,739197.0,0.8509017948713319,0.14146699429045004,0.0007600818016020034,0.7857563327226456
2024-11-23,739212.3393584576,0.7503390246320332,7.255063596677102,-0.08821928981331854,0.008684458354443026,-0.002977591022890379,-0.0013900597242708014,0.002633207599593613,2024-09-18,2024-11-08,739146.0,739197.0,1.690867687230945,0.301643520698012,0.0007600818016020034,0.7600601572573535
2024-11-09,739198.350680325,0.6632097872088231,13.03560811710298,-0.032597924037499414,0.010357069424749525,0.0019141850627104162,0.0017754400542061126,0.0007154838001130955,2024-09-23,2024-11-08,739151.0,739197.0,7.379585504057936,0.27527869139374894,0.0007600818016020034,0.7826770342734015
2024-11-14,739203.4627000685,0.5482667792497905,5.2432364436875805,-0.04892951117983582,0.013449817162274412,0.009173802405816481,0.00836199643094421,-0.003773018191029637,2024-09-28,2024-11-08,739156.0,739197.0,1.6638810740089074,0.15330611849229897,0.0007600818016020034,0.6188031791938529
2024-11-08,739197.2809447796,0.10187353826144445,13.010794800205352,-0.35477564300306014,0.3065247420083957,-0.019020617604250122,-0.00543617035880424,-0.018227230888897203,2024-10-03,2024-11-08,739161.0,739197.0,10.065601563371974,0.12618231297314475,0.0007600818016020034,0.6451517288457501
2024-11-16,739205.2611022887,0.3531052356084506,12.77827178462617,-0.1745892439891932,0.06961852930925531,0.012382134869484087,0.005198755241099633,0.011237891611384797,2024-10-08,2024-11-08,739166.0,739197.0,3.1699190160397603,0.1553679195758474,0.0007600818016020034,0.5203430742779032
