tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-02,739252.67512721,0.899240446002898,3.8500197209795752,-0.4266419210457131,0.012375575685476333,-0.004586022798459353,-0.004346235497508474,0.0014635033680132823,2024-07-15,2024-11-08,739081.0,739197.0,0.6899992640038402,0.6302924129015938,0.4150802255386964,0.8819795118232256
2024-11-11,739200.5476902435,0.6618017412989282,3.0873266747714014,0.14621647108222474,0.009950475116147156,-0.011600916173293467,-0.011397532636825641,0.002162754228357046,2024-07-20,2024-11-08,739086.0,739197.0,1.707337354813573,0.1838640616040067,0.4150802255386964,1.1212817491787506
2024-11-30,739219.9852951628,0.8853504903305651,3.2887470415843856,0.05828454883109777,0.00548187041677628,0.003771277146770498,0.0006176271594671032,-0.003720358586163711,2024-07-25,2024-11-08,739091.0,739197.0,0.9028183090543028,0.39131372222689553,0.4150802255386964,0.9086914339138952
2024-12-10,739229.3926887743,0.2758276021550506,7.1852794363748815,0.19060579291962507,0.009655189282752724,-0.018841041842619487,-0.015188227056036709,-0.011149108332490665,2024-07-30,2024-11-08,739096.0,739197.0,1.6185723539575436,0.019672064496002978,0.4150802255386964,0.9723705387543387
2024-11-13,739202.8304182376,0.050129125709377026,13.823883084255336,0.5299506668657604,-0.26688400496226516,-0.029533800050452346,-0.005169766914685856,-0.02907780692328635,2024-08-04,2024-11-08,739101.0,739197.0,6.292882780648284,0.03276900797360485,0.4150802255386964,0.6383943612872379
2024-12-12,739231.3499352945,0.2981437690860063,4.6604113061796575,0.07552191985801585,0.03996031572740085,0.017391602044105753,0.0023605281840058125,-0.017230662446727277,2024-08-09,2024-11-08,739106.0,739197.0,0.9601730480575791,0.1469910228194307,0.4150802255386964,0.5607880675401311
2024-11-10,739199.7350150269,0.016946579363577033,11.415098596378227,1.8744888819956238,-1.578697909060247,0.058691321210222365,0.05606727875203688,-0.017353139161053566,2024-08-14,2024-11-08,739111.0,739197.0,6.32148106053128,0.03993259472043537,0.4150802255386964,0.43922457748281446
2024-12-09,739228.46099723,0.28115083739399044,9.4058931221456,0.3835653365228782,-0.0553953569490998,0.01127025909795991,0.008341730954062338,0.007578539755466507,2024-08-19,2024-11-08,739116.0,739197.0,1.9069580852864945,0.14691928513714794,0.4150802255386964,0.5446959812851303
2024-11-22,739211.5105889561,0.4525183118070263,6.800185174436078,0.3177160403238489,-0.020702276335889294,0.0039677669913408126,0.003883459947421066,-0.0008135808099691721,2024-08-24,2024-11-08,739121.0,739197.0,1.981214636055791,0.3472061110013128,0.4150802255386964,0.5109402159187197
2024-12-06,739225.0210723026,0.7487574683089419,4.780807146856042,0.3517841263523983,-0.007462911239766553,0.0005263195584491674,0.00014200988744976847,0.0005067992398106282,2024-08-29,2024-11-08,739126.0,739197.0,0.9605280259377064,2.2207450844364454,0.4150802255386964,0.42135232884193446
2024-12-03,739222.7103715135,0.34762793089134575,8.30939166656963,0.5223724690822473,-0.0820723107294872,-0.002691620495913104,-0.0026904038439042096,0.0000809200267236567,2024-09-03,2024-11-08,739131.0,739197.0,1.6818530069776227,1.2756404079908321,0.4150802255386964,0.3946044919624374
2024-11-13,739202.523826793,0.10769823617892406,4.032859190526987,0.5886771190556169,-0.26708637875506747,0.01801700685103504,0.013505070346326727,0.01192583795005659,2024-09-08,2024-11-08,739136.0,739197.0,1.5972355515866734,0.3958809722839607,0.4150802255386964,0.35158255686439405
2024-11-19,739208.9300129332,0.43416459536712015,8.152904601321211,0.3776953931371256,-0.037428695159732475,-0.009289984144209923,-0.0006046762786681254,0.009270284353658611,2024-09-13,2024-11-08,739141.0,739197.0,2.257028846406336,0.21455160068460702,0.4150802255386964,0.2929975177026609
2024-11-24,739213.6896653593,0.49268548926458744,4.8504010908673845,0.30193279750057284,-0.013732796284805206,-0.0018952560566965553,-0.0004696922364520369,0.0018361330898008627,2024-09-18,2024-11-08,739146.0,739197.0,1.0808624634064312,0.7360091323602002,0.4150802255386964,0.30175852324023184
2024-11-16,739205.186073897,0.41832294732217334,5.430267738515354,0.22880516477874316,0.0012508621399489857,-0.013853880502155884,-0.0044876936530458085,-0.013106891723228181,2024-09-23,2024-11-08,739151.0,739197.0,1.6334309230874464,0.006955501623598433,0.4150802255386964,0.23354705493921077
2024-11-22,739211.6307598003,0.9384781900312862,14.560042124583246,0.29951442884267304,-0.0031976399965268384,-0.002317697698406788,-0.0010884526530185667,0.00204621441773265,2024-09-28,2024-11-08,739156.0,739197.0,3.0950129373076796,0.08892714114990542,0.4150802255386964,0.14532623166612996
2024-11-10,739199.8431734045,0.1904167011421734,12.389044559609214,0.4999201063069498,-0.16728068311386324,0.005166737648245933,0.001949475254208622,0.004784843169742364,2024-10-03,2024-11-08,739161.0,739197.0,5.155432642512171,0.49761860042074285,0.4150802255386964,0.19567532420980976
2024-11-14,739203.8539555869,0.5409935606304966,8.148961316906071,0.3514796311935285,-0.02516626390151052,-0.009594910871103026,-0.006243810851384417,0.007285406006294038,2024-10-08,2024-11-08,739166.0,739197.0,2.216365909443191,0.1741276108209009,0.4150802255386964,0.15155503887102292
