tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-17,739206.0437127858,0.08432588578067991,7.157939860673512,-1.4240365535221713,1.1899229510035372,-0.08736358496463419,-0.06690209823051195,0.056182784108904635,2024-07-15,2024-11-08,739081.0,739197.0,2.9922719097142774,0.16045795790831963,0.1313939180168644,0.8904909890841812
2024-12-14,739233.1162553023,0.4795855680504645,6.222721568847993,-0.3532192369480008,0.07164376638314197,0.013501795819092112,0.012609514148997521,0.004826866816754377,2024-07-20,2024-11-08,739086.0,739197.0,1.3909646210320266,0.40895225695580917,0.1313939180168644,0.6198527364645098
2024-12-25,739244.9627780853,0.2093819465177838,9.902163579633406,-0.8045765387538101,0.39768451592484655,0.0461374961279058,0.04054003823284296,-0.02202666223085453,2024-07-25,2024-11-08,739091.0,739197.0,1.8380408048727612,0.18226102005094305,0.1313939180168644,0.40645751219531123
2024-11-30,739219.8673225727,0.3813212199085688,5.125946549560988,-0.3395011010143959,0.11652636411147999,0.020770279144346534,0.014087859536859622,0.015262264229261331,2024-07-30,2024-11-08,739096.0,739197.0,1.3783291362863361,0.41734840953827645,0.1313939180168644,0.6684594648359994
2024-11-12,739201.4099128906,0.3680968642368248,14.400381855473995,-0.05036710888533924,0.06174084778190067,-0.01049218472798411,-0.0017943582301418925,0.010337611857100503,2024-08-04,2024-11-08,739101.0,739197.0,7.163092866097418,0.1504162543265501,0.1313939180168644,0.8832338284579683
2024-12-14,739233.642730769,0.7773369055162938,10.440444799162726,-0.03138594304496378,0.007485483590590332,0.0031428040161162055,0.0020332611022546715,0.002396469564541613,2024-08-09,2024-11-08,739106.0,739197.0,2.073770647415695,0.17733434241055396,0.1313939180168644,0.4341696650764356
2024-12-12,739231.9900314476,0.053393366133081,10.71899301951963,-2.4704816554967075,2.1086258776158955,-0.057608461357181256,-0.014694489343666475,0.05570284375927961,2024-08-14,2024-11-08,739111.0,739197.0,2.1165163740383646,0.18232514571141628,0.1313939180168644,0.4909580476244667
2024-12-16,739235.7260828173,0.8584572645651707,14.387956716496362,0.066922762524681,0.0025792349674263596,0.00131308193675228,0.0012119795129059336,0.0005052621427748314,2024-08-19,2024-11-08,739116.0,739197.0,2.5846107173996535,0.11719757847941958,0.1313939180168644,0.5475724287087259
2024-11-22,739211.1249683423,0.47686734842939893,5.628744700551723,-0.09002432884343471,0.043548100595862255,-0.014674364902187872,-0.012966952676848525,0.00686987070904061,2024-08-24,2024-11-08,739121.0,739197.0,1.660223066249691,0.25141775201997896,0.1313939180168644,0.35603018917266793
2024-11-17,739206.2089923747,0.03572110076243274,3.7142026196058286,-1.1259167726038675,1.1262296392458726,0.08121181334522483,0.027172959197320174,0.07653096703479191,2024-08-29,2024-11-08,739126.0,739197.0,1.2794824216475889,0.13337271324159838,0.1313939180168644,0.3648683212569775
2024-11-15,739204.6479993686,0.8176310962786177,13.506577508042819,0.07713276280861986,0.004716941951541898,-0.0031852554277853494,-0.002832747669079928,-0.001456500183164515,2024-09-03,2024-11-08,739131.0,739197.0,4.868615128187939,0.08964547079588302,0.1313939180168644,0.4879170508472933
2024-11-10,739199.1769684871,0.8169960815037718,2.500707336964983,0.10854331260883925,-0.0008140228743142126,-0.009721723468758504,-0.007827006952648327,0.00576626996993764,2024-09-08,2024-11-08,739136.0,739197.0,1.3404663664962868,0.02735586492087821,0.1313939180168644,0.2688513328585143
2024-11-30,739219.5694008484,0.3074715805317461,4.073806427879834,0.340935542820896,-0.060182730504543126,-0.04014722307766219,-0.01845724885267842,-0.03565290290618525,2024-09-13,2024-11-08,739141.0,739197.0,0.8087640360879678,0.11314124879291129,0.1313939180168644,0.20344398481881287
2024-12-02,739221.6373435244,0.931944099843016,12.058740840729996,-0.09131036029648007,0.007293119569620254,-0.0007305591826328359,-0.0004491150645807402,-0.0005762051527848348,2024-09-18,2024-11-08,739146.0,739197.0,2.152750521694781,0.7715175887641946,0.1313939180168644,0.14265231059258132
2024-11-16,739205.6851611513,0.5581448678135378,13.706932022039812,-0.10844833633278404,0.04258193323921582,0.002028029808740953,0.0017857669132790054,0.0009612187246302679,2024-09-23,2024-11-08,739151.0,739197.0,4.013956419609483,0.854983468180965,0.1313939180168644,0.1518968256051846
2024-11-23,739212.3515738132,0.2764528678763232,5.415213996366539,-0.33340688828582843,0.1822268485275982,-0.018593783704143926,-0.007791324030019212,0.016882655664786073,2024-09-28,2024-11-08,739156.0,739197.0,1.1207534946698257,0.5003225366920264,0.1313939180168644,0.11548455746066039
2024-11-22,739211.6955057416,0.9011038791328054,12.982617776156404,-0.07019019822462054,0.009645822587098096,-0.000831681891942436,-0.00039901553555017616,-0.0007297132120049327,2024-10-03,2024-11-08,739161.0,739197.0,2.5586254422064467,0.8049976493004241,0.1313939180168644,0.11972614483901246
2024-11-22,739211.7462419872,0.1635729468192724,6.882010864908979,-0.7594639075047175,0.5118034247278375,0.02376739481875662,0.016292318831868855,0.01730460642578705,2024-10-08,2024-11-08,739166.0,739197.0,1.2400193899217495,0.5118205636836236,0.1313939180168644,0.07478779137979874
