tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-14,739233.1385403934,0.7972802791181015,6.469585666434857,0.5793083336939426,-0.006123882223026761,0.003457874304294441,0.00018649024259068223,0.0034528417417712997,2024-07-15,2024-11-08,739081.0,739197.0,1.4800752806501636,0.2182489591368482,0.6413496799560453,1.1161843748492584
2024-12-08,739227.1626053726,0.9230949077700035,8.149165643841199,0.5746832389297747,-0.003997259058321639,-0.0015731602144864365,-0.0014068232429230304,0.0007040464641020069,2024-07-20,2024-11-08,739086.0,739197.0,2.0016415867985833,0.28782104820790727,0.6413496799560453,1.0741321312172154
2024-12-21,739240.1808477258,0.2924129900135151,3.864215051655325,0.15283212724587722,0.06389792593557038,-0.046850641342301096,-0.04142877414719315,0.02187782591679971,2024-07-25,2024-11-08,739091.0,739197.0,0.7624648542388649,0.10320639182429651,0.6413496799560453,0.8957051004784444
2024-12-19,739238.1737730646,0.9278923068340261,8.05995107866377,0.6876167518454408,-0.005428142932828539,-0.0008215683919210819,-0.0007609235258921294,0.0003097902683230742,2024-07-30,2024-11-08,739096.0,739197.0,1.5896846086680705,0.7606287220464435,0.6413496799560453,0.7083954787270684
2024-11-22,739211.9029259156,0.6655485912791407,7.997736710008735,0.6911158851408528,-0.02397449639534657,0.0006392622161334619,0.000639257163735265,-2.541572153130895e-6,2024-08-04,2024-11-08,739101.0,739197.0,2.554793194742856,3.120923496553326,0.6413496799560453,0.6119470495918609
2024-12-03,739222.3114272953,0.28681641662237506,3.0787009658872373,0.9907647116389652,-0.19378272831113513,0.013924360724668582,0.004916160161887227,-0.013027631820609833,2024-08-09,2024-11-08,739106.0,739197.0,0.7472429969705512,1.2965112757908037,0.6413496799560453,0.564903285757808
2024-11-17,739206.4981461556,0.1025179564358987,6.906956692620419,1.9305913740983867,-1.0690473872793855,-0.018289271184374047,-0.004133337402280152,0.017816087179133553,2024-08-14,2024-11-08,739111.0,739197.0,2.5371409085169776,0.8675884556275949,0.6413496799560453,0.5856321110032275
2024-12-13,739232.9961634534,0.786449246376711,7.435788883148294,0.7289942789488867,-0.012150476939420422,0.001416084511310442,0.0011545298146680364,-0.0008199733228684472,2024-08-19,2024-11-08,739116.0,739197.0,1.3949578023206688,0.9075024427087035,0.6413496799560453,0.5077602892185625
2024-12-15,739234.5565798591,0.8366187710534339,9.661325181693588,0.764786405860599,-0.01092477848304192,-0.0006196886845688496,-0.0006091035802541381,-0.00011404777202673399,2024-08-24,2024-11-08,739121.0,739197.0,1.7013342838456533,1.5266165924795154,0.6413496799560453,0.4604394765911615
2024-12-06,739225.4029166925,0.40117434015225284,5.244888914800933,1.15118949386557,-0.15120679659914282,-0.010579531891397263,-0.010247070306959993,0.002631358045821696,2024-08-29,2024-11-08,739126.0,739197.0,1.0456826527950016,1.0932052614535661,0.6413496799560453,0.3597649705082262
2024-11-24,739213.4330846475,0.34023521374759774,2.06753014963072,1.8014952905288935,-0.4163406337367753,-0.06108449040159304,-0.04789636637344332,0.03791112047728477,2024-09-03,2024-11-08,739131.0,739197.0,0.5306680398143921,1.1216187294732782,0.6413496799560453,0.33408566575019794
2024-11-28,739217.5273200074,0.09418021698899917,5.237487085371297,2.4708559256930633,-1.4386189284823196,0.029228344314585188,0.003791077348019351,0.0289814396452847,2024-09-08,2024-11-08,739136.0,739197.0,1.1496470220356263,0.8850713383894162,0.6413496799560453,0.3160286972688334
2024-12-05,739224.7983981152,0.3488613435657724,7.063097357336729,1.016345220002836,-0.1498154451764508,-0.009300185574893902,-0.009215322599253653,0.001253507526562769,2024-09-13,2024-11-08,739141.0,739197.0,1.2404014753412431,0.7956510332313887,0.6413496799560453,0.3156607216170919
2024-11-24,739213.1302481492,0.30400319254129565,7.348221444345012,0.8005869773560046,-0.12078310539951655,0.016141711897804046,0.0032584177370143606,0.015809414184049287,2024-09-18,2024-11-08,739146.0,739197.0,1.6676432484804464,0.30956546754251,0.6413496799560453,0.2938572956681968
2024-11-20,739209.0342013984,0.11885511497465243,13.915792047581643,1.4150103132808818,-0.6509314917673114,0.013166963623381002,0.007599459216585193,-0.010752541591405118,2024-09-23,2024-11-08,739151.0,739197.0,3.484448334591685,0.42224021458743444,0.6413496799560453,0.32578584737949734
2024-11-23,739212.3469890006,0.09195806901005411,12.670855621472228,1.4572607353730367,-0.7304763608497606,-0.04664652380529388,-0.046576017296136626,0.002563746467151261,2024-09-28,2024-11-08,739156.0,739197.0,2.622847246033909,0.11365035121278604,0.6413496799560453,0.23434280871902807
2024-11-12,739201.5330824933,0.14250227617074177,5.153463011204428,0.8396253229917947,-0.2523403743228964,-0.02336810712438212,-0.023050992300400187,0.0038366892685608232,2024-10-03,2024-11-08,739161.0,739197.0,1.7968235826848489,0.29859727921220275,0.6413496799560453,0.2722673556051467
2024-11-16,739205.8518129833,0.49055885923666953,6.209290913331879,0.5655762294249075,-0.021129191033166368,-0.00612074802315682,-0.0002787419377904228,0.006114397705015199,2024-10-08,2024-11-08,739166.0,739197.0,1.4868511581114838,0.2727265912449379,0.6413496799560453,0.2414964245640405
