tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-03,739253.158713825,0.26963901745676516,8.394300866959751,1.504005993150652,-0.3398621900313969,-0.03022485503802274,-0.012918546093335197,-0.027324952495912273,2024-07-15,2024-11-08,739081.0,739197.0,1.4966277040947085,0.36119092488272575,0.5177855364355766,1.0605205669559938
2024-12-11,739230.7389841477,0.2843765317295062,11.638646496843775,1.2103101413930808,-0.25312953808471544,0.02365959643497235,0.02311651243324178,0.005040174241981571,2024-07-20,2024-11-08,739086.0,739197.0,2.6975338955568593,0.2614127524432243,0.5177855364355766,1.1915205184365194
2024-12-28,739247.9167041457,0.9941315777566033,10.500996674486098,0.6640298754004225,-0.0034488244473090527,-0.0005092675705419713,-0.00009308060059044409,0.0005006889854984268,2024-07-25,2024-11-08,739091.0,739197.0,1.8810720935141751,0.641118656030718,0.5177855364355766,1.4708120663096238
2024-11-27,739216.6997275598,0.5387084976777349,5.0695193365152,0.8289345354532655,-0.054433022698528725,0.011989503857273806,0.0041927538711675665,-0.011232498284860448,2024-07-30,2024-11-08,739096.0,739197.0,1.4625580258629183,0.4824455247860185,0.5177855364355766,0.8289970224315595
2024-11-28,739217.072545851,0.9961090257582101,11.22982186958662,0.5790350476562124,-0.003883644953809712,-0.001223539931309083,-0.0009574675485103638,0.0007617780891161087,2024-08-04,2024-11-08,739101.0,739197.0,3.1364333621240226,0.2815499015466923,0.5177855364355766,1.129470538142314
2024-12-04,739223.4122642706,0.7762419632719957,14.94351683968129,0.6892473725138046,-0.013348894528908814,0.0012249789876143658,0.0006012229249963662,0.0010672883933387127,2024-08-09,2024-11-08,739106.0,739197.0,3.5481491349786847,0.5660580382714424,0.5177855364355766,1.1512966408621985
2024-12-20,739239.8661253931,0.5345192449650603,6.987810234033699,1.1552550760245617,-0.0793399412990416,-0.007440076240717487,-0.004890232447359741,0.005607170505565066,2024-08-14,2024-11-08,739111.0,739197.0,1.2241288002376751,0.8157117772846212,0.5177855364355766,0.4303145779244518
2024-11-24,739213.3821788831,0.34859264250490957,3.4520576634414564,0.944494335259225,-0.1473390577836992,-0.02366342316238855,-0.0014969054520976893,-0.023616029933707032,2024-08-19,2024-11-08,739116.0,739197.0,0.9792990172156518,0.6287536122156889,0.5177855364355766,0.4339754699471265
2024-11-11,739200.2897139778,0.946689830144172,14.25505140604528,0.5828993246943829,-0.007444073081506775,-0.0008443466327317634,-0.0006975782152593714,-0.0004757161651668118,2024-08-24,2024-11-08,739121.0,739197.0,7.219898643579435,0.5855025303765136,0.5177855364355766,0.6296168715590013
2024-11-20,739209.5047732155,0.564246005931803,9.80170150607995,0.8077299964754989,-0.053159432192193316,0.002491076164598907,0.001865956963581511,0.0016503530131140025,2024-08-29,2024-11-08,739126.0,739197.0,2.9620972299245016,1.2284580995834944,0.5177855364355766,0.5792980522576988
2024-11-18,739207.5270881373,0.03089052309881924,11.289475466831894,7.789152476133229,-6.6340567082911965,0.06007687739446386,0.055372957874116786,-0.0233037922609332,2024-09-03,2024-11-08,739131.0,739197.0,3.564251652183079,0.3021505066283248,0.5177855364355766,0.43025655693542275
2024-11-08,739197.7936541336,0.9295123000704684,5.903748967286431,0.6296296518280756,-0.011926817646867476,-0.003021485679311413,-0.0015380064627180472,-0.00260075216637831,2024-09-08,2024-11-08,739136.0,739197.0,4.091918901046252,0.6214859250369698,0.5177855364355766,0.4173314695243983
2024-12-01,739220.9360627648,0.46024656047057777,8.270550653531394,1.386884762920534,-0.1692268357428634,-0.015160103282162775,-0.007037274309254513,-0.013427788418877805,2024-09-13,2024-11-08,739141.0,739197.0,1.587247161284691,0.6211882032930693,0.5177855364355766,0.252941561263938
2024-11-30,739219.0748735209,0.5679821331280365,10.458716499192342,1.211834745364412,-0.09476019323540787,0.011750294359408683,0.010640691916678817,-0.004984485235917308,2024-09-18,2024-11-08,739146.0,739197.0,1.9925482238123573,0.4379590195536999,0.5177855364355766,0.24269712051820833
2024-11-20,739209.8971778677,0.36813662831659727,13.661326627148627,1.1983333422367772,-0.21560135711690617,-0.014804967364371513,-0.01472933438140875,0.0014945793189910241,2024-09-23,2024-11-08,739151.0,739197.0,3.302244367415124,0.3924281845639161,0.5177855364355766,0.4167419928433389
2024-11-10,739199.0467918405,0.4031463164171819,11.776146612326592,0.8474012112114453,-0.12768382630441394,0.010812959108242454,0.0052693701234555815,-0.009442130224613357,2024-09-28,2024-11-08,739156.0,739197.0,5.708936918375162,0.4042507367726841,0.5177855364355766,0.48755578508608793
2024-11-25,739214.0781692137,0.47876297781156796,6.652331752633426,0.9668328937712767,-0.09078001121180634,-0.025359865771325835,-0.025096254629289244,-0.0036470255718244996,2024-10-03,2024-11-08,739161.0,739197.0,1.2005868315998196,0.2576261489643883,0.5177855364355766,0.10888616547545651
2024-11-11,739200.8299923467,0.4557322236946416,13.784102945961415,0.8721180616191242,-0.11082806429324299,0.0045003099564119384,0.004358647116268381,-0.001120261139032212,2024-10-08,2024-11-08,739166.0,739197.0,4.843086037485639,0.8142139725977245,0.5177855364355766,0.414410549868072
