tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-08,739197.361345421,0.7858353771957309,13.101072515483043,0.3862255621794474,0.0038916098705777382,-0.0007417273246714418,-0.000392734823747963,0.0006292207739576872,2024-10-06,2024-11-07,739164.0,739196.0,6.670078741635345,0.31470942074874997,0.0,1.54135318414713
2024-11-14,739203.8825158385,0.504177964428206,6.304488234579589,0.29881348696425275,0.026585092302018814,0.009724338767371592,0.0026006300158288396,-0.00937013809841542,2024-10-11,2024-11-07,739169.0,739196.0,1.4923813743376375,0.21863118789286323,0.0,1.279505941112853
2024-11-17,739206.3200027368,0.05717757188894225,2.524836711949361,-1.7046320298800337,1.7531627318387975,-0.07906194834265322,-0.02980862619296185,0.07322730010197448,2024-10-16,2024-11-07,739174.0,739196.0,0.45874174309924187,0.5021657975831152,0.0,0.980749186114804
2024-11-09,739198.5464246433,0.2725736555201466,3.641531004407284,0.19179729935191034,0.11082474638570294,0.02267659309235862,0.018267831846922825,-0.013435557074009207,2024-10-21,2024-11-07,739179.0,739196.0,1.1812180716555818,0.36581272249000785,0.0,1.212236401524708
2024-11-08,739197.6368910563,0.6584708723112104,2.8151394222197967,0.2956747676441368,0.021615187459284917,-0.01233891603650089,-0.007036172031544816,0.010136130035586824,2024-10-26,2024-11-07,739184.0,739196.0,0.9498429295422173,0.4097497123824292,0.0,1.0530669885213901
2024-11-09,739198.385431018,0.30583876390106873,6.08230523370019,0.22703792633522202,0.08591262844277209,-0.030151750321325565,-0.029670983315036686,-0.005362909337138838,2024-10-30,2024-11-07,739188.0,739196.0,1.423993936154267,0.14327446545864778,0.0,1.0277229196428739
2024-11-08,739197.4724787589,0.002682089865743365,2.037384470722337,-26.339774004173332,26.611232922873302,0.1078520041682052,0.0548940946367855,-0.09283691710255246,2024-11-04,2024-11-07,739193.0,739196.0,0.36025121378385805,0.32481577278095536,0.0,0.7443742432706055
2024-11-29,739218.3551332185,0.709683329468295,12.530565284721488,0.43488871374002797,0.0016549457965415895,0.0006691889048843822,0.0005516977089825508,0.0003787392616613221,2024-08-23,2024-11-07,739120.0,739196.0,2.954614903184739,0.1400647926162839,0.0,1.2619338071933761
2024-12-08,739227.5289776784,0.9900366430968917,3.7243363158794174,-0.2209267324347471,0.012168446706460247,0.005071919497281044,0.0007638648847678564,0.005014067991632963,2024-08-28,2024-11-07,739125.0,739196.0,0.6989894857628807,0.6377715906040593,0.0,0.6831799591797338
2024-11-13,739202.4316101568,0.21503648273227954,11.18013401897403,0.16705945479270015,0.14390352876704648,0.012979429207851962,0.012941117316938318,-0.0009965265429880902,2024-09-02,2024-11-07,739130.0,739196.0,4.308607049561124,0.21324604634498484,0.0,1.0815308670046249
2024-12-03,739222.499350052,0.1789324519060367,12.250179780265103,-0.21922024019052933,0.3463208707811281,0.04402886323069548,0.04328918648854342,0.008036611882341822,2024-09-07,2024-11-07,739135.0,739196.0,2.3289105337472544,0.11489148501126445,0.0,0.8563150409542883
2024-11-30,739219.5179506963,0.0678980219324823,9.936738396491286,-1.1086815493157418,1.2171436462186187,-0.057741879842927855,-0.057116852052649277,-0.008472892032292892,2024-09-12,2024-11-07,739140.0,739196.0,1.926589930830027,0.14403372199898673,0.0,0.8504090222011722
2024-11-16,739205.7769995509,0.07801413544534787,9.225241618224587,-1.2697556235595862,1.3360048180541573,-0.04113135421649858,-0.03972778531973756,-0.01065323299622796,2024-09-17,2024-11-07,739145.0,739196.0,2.6827420937349227,0.2746822310587945,0.0,0.8031431106083835
2024-11-13,739202.7186840011,0.9391808488068298,12.615026179888355,0.33662528338156533,0.006365949009613076,0.0013524615055198867,0.00005370302344509712,0.0013513948753735789,2024-09-22,2024-11-07,739150.0,739196.0,4.136108026364418,0.35042841539221237,0.0,0.8551327149242878
2024-11-20,739209.1254377121,0.9667583658342604,6.7611093834440785,0.2257181386003076,0.00961274333774891,-0.0030182620357124485,-0.0029646670146871693,-0.0005662642565524681,2024-09-27,2024-11-07,739155.0,739196.0,1.5245159193583422,0.4553972276159705,0.0,0.6637988126342825
2024-11-07,739196.3103513506,0.15368660099294987,3.554713126530354,-0.5265559086478616,0.6884774540258959,-0.07024729769668721,-0.05701948055566805,0.04103000939372047,2024-10-02,2024-11-07,739160.0,739196.0,2.6941889016133977,0.4237322783218634,0.0,0.28880260819118375
2024-11-13,739202.482226247,0.7947835573900779,7.6859802010035665,0.13843753260942526,0.031217855612644393,-0.01009086663728585,-0.004459429963736747,-0.009052020431374177,2024-10-07,2024-11-07,739165.0,739196.0,2.1465831852312958,0.31990734646717245,0.0,0.49039318429551687
