tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-03,739222.7078231585,0.08003639208423975,12.50114707501823,-2.298008103354796,1.8764538924436565,0.047057715549887885,0.031114534107252647,-0.03530317776153829,2024-07-15,2024-11-08,739081.0,739197.0,3.3962245349679443,0.2552964029523801,0.18617353912539059,1.3832906110231704
2024-12-11,739230.2229759702,0.6313465190731925,12.654271485912673,-0.031051806175323524,0.022741993992508914,0.004883254711197208,0.0034927007805759763,0.0034128020498988354,2024-07-20,2024-11-08,739086.0,739197.0,2.956776499410311,0.23235381389385887,0.18617353912539059,1.2546445512939526
2024-12-30,739249.0684728887,0.5152853268063423,7.331782632954929,-0.27865191474695494,0.058803585862262336,-0.010886941987286687,-0.003401699637042229,0.010341854060752,2024-07-25,2024-11-08,739091.0,739197.0,1.2957941767253847,0.37960864692718227,0.18617353912539059,0.7699697014442373
2024-12-26,739245.2484660803,0.5606446731036533,2.4136731226794437,0.6445149318858778,-0.051568620565825445,0.03632116106593901,0.011943974131039993,-0.034301140259981606,2024-07-30,2024-11-08,739096.0,739197.0,0.4337985387330218,0.32978814290618275,0.18617353912539059,0.6747230564336165
2024-11-27,739216.7660460101,0.04192388706881101,2.7979698386392187,2.757803533055541,-2.127837173657326,0.19895892363579915,0.17164022233316778,-0.1006195178468695,2024-08-04,2024-11-08,739101.0,739197.0,0.7871337818842054,0.16024831916070698,0.18617353912539059,0.5123529244578455
2024-12-15,739234.3903302305,0.9312209829954721,2.5781196612408084,0.49906763664198384,-0.008235880618087653,0.007625519796326613,0.005019534539420106,-0.0057404551362882075,2024-08-09,2024-11-08,739106.0,739197.0,0.5061971867865176,0.39011286473358103,0.18617353912539059,0.4796006389038023
2024-12-16,739235.7466788954,0.7576549386751643,14.86484298703584,-0.0854939870634393,0.015043135951821354,0.0018470753805836816,0.000012273499654830905,-0.0018470346024816759,2024-08-14,2024-11-08,739111.0,739197.0,2.766203628484258,0.4151116223434754,0.18617353912539059,0.9582469862356859
2024-11-14,739203.0649427888,0.05501055631851216,12.484962096859011,-2.84614286854767,2.603054905815858,0.02716025919348657,0.025228200082458307,-0.010060695803811106,2024-08-19,2024-11-08,739116.0,739197.0,5.293740428303405,0.4222875010807619,0.18617353912539059,0.4026747674732491
2024-11-25,739214.954656409,0.50227954483621,6.548066492449261,-0.2756309870586854,0.08338961260611873,0.005371856142134733,0.0030587888303976337,0.004415953951619664,2024-08-24,2024-11-08,739121.0,739197.0,1.7247313107773814,1.190748364608081,0.18617353912539059,0.3649231881021555
2024-11-19,739208.2154353653,0.9867588044608029,9.518411488163313,0.044231376009696316,0.006434233621581891,0.0012421586121623932,0.0007865161373511343,0.0009614314242084321,2024-08-29,2024-11-08,739126.0,739197.0,3.017764148782137,0.5369901324499116,0.18617353912539059,0.32940402552942105
2024-11-28,739217.5358765689,0.33213513474869233,14.99487160295407,-0.6268739744481765,0.25689011490216296,0.018205118130275016,0.015316735343390314,0.009839915881642793,2024-09-03,2024-11-08,739131.0,739197.0,3.432718776583159,0.3125546467408826,0.18617353912539059,0.20529917899178182
2024-11-21,739210.206225939,0.093879716241176,4.0571421214294014,-2.186309815764562,1.7601772846683976,-0.0289714694952067,-0.026637363602250785,-0.011392844466294523,2024-09-08,2024-11-08,739136.0,739197.0,1.114605853288127,1.405844981484083,0.18617353912539059,0.25432069320136896
2024-11-23,739212.99604046,0.6184324072665587,10.840035108745493,-0.20389732826456644,0.04924848973403291,0.0017611283707396244,0.00046480568592617696,0.0016986844358369507,2024-09-13,2024-11-08,739141.0,739197.0,2.5952343867169954,1.595377468510413,0.18617353912539059,0.24186951931105766
2024-11-22,739211.3102766394,0.3823736569407533,7.737687304523346,-0.5411644236165243,0.20765966733492397,-0.010086793104847848,-0.0032186517355118323,0.009559480955862232,2024-09-18,2024-11-08,739146.0,739197.0,1.869614784443307,1.0173627462263888,0.18617353912539059,0.20723985680073126
2024-11-14,739203.4367707768,0.6474903837986464,8.233980107871801,-0.10541530797857332,0.04409817449864712,-0.0059139097590986,-0.005028499004636507,0.003112639779854284,2024-09-23,2024-11-08,739151.0,739197.0,2.7488352117686485,0.5863668744235724,0.18617353912539059,0.17571225834807316
2024-11-22,739211.5659813537,0.4889371384221469,13.90447667703715,-0.3257867836365725,0.10158949018798107,0.009923353046936504,0.00759777755423883,0.006383315120722823,2024-09-28,2024-11-08,739156.0,739197.0,2.9629014940944782,0.3599885741086841,0.18617353912539059,0.13035809816724273
2024-11-17,739206.0768858964,0.7207117191313136,9.429168050190281,-0.06217594338140669,0.026771609089343177,-0.00525001154877672,-0.0020842247329409484,0.004818571211976241,2024-10-03,2024-11-08,739161.0,739197.0,2.405077425262505,0.389764628719477,0.18617353912539059,0.10719216585195183
2024-11-13,739202.7204185217,0.06491085870344572,12.77498371711504,-2.2197360237518584,2.009724271693827,0.006766707085191511,0.0029241435242875744,0.006102270841756209,2024-10-08,2024-11-08,739166.0,739197.0,3.7803138047497495,1.5090933295097655,0.18617353912539059,0.17210784470418025
