tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-28,739247.9279001545,0.7305702858410897,11.225225692981944,0.4843323993401422,-0.005193200981131547,0.00396798835372476,0.003961390247813129,-0.00022873320665431284,2024-07-15,2024-11-08,739081.0,739197.0,2.120904936119144,0.08517882882527679,0.3127336236523695,2.98367993929632
2024-11-13,739202.4690379632,0.9084056024965572,5.297412780914572,0.41730407846458256,-0.001796700401896176,0.0037961409949767047,0.0030800470590079828,0.0022190080144152253,2024-07-20,2024-11-08,739086.0,739197.0,2.578669365737512,0.08116136069174378,0.3127336236523695,2.003880122427971
2024-12-02,739221.3374112213,0.038736995441651885,4.265448023908592,-1.4826414658158495,1.578459763964303,-0.17715551775828267,-0.12234980674327345,-0.128119484318697,2024-07-25,2024-11-08,739091.0,739197.0,1.1392149785841008,0.08091706290214082,0.3127336236523695,1.1770133905631612
2024-11-17,739206.1512135088,0.020198832423878668,3.324760740301955,-0.3834166571548757,0.7028186039363447,0.1885579989885001,0.12716868453673152,-0.13922013021019788,2024-07-30,2024-11-08,739096.0,739197.0,1.316513293938866,0.022644574093258454,0.3127336236523695,0.872792573780873
2024-12-11,739230.7675907457,0.24894012070250154,7.492857699462913,0.9159136234590171,-0.19304487622509342,0.059226553663212056,0.057149541884819195,-0.015547170841559375,2024-08-04,2024-11-08,739101.0,739197.0,1.605429605665898,0.10829021798477671,0.3127336236523695,1.2245622731195362
2024-11-22,739211.9641688108,0.7558575601223352,2.8527525221192276,-0.012007447332076215,0.021906679132983185,-0.01526599230411654,-0.014050844436810194,-0.005968608853150407,2024-08-09,2024-11-08,739106.0,739197.0,0.8887369219790912,0.3802133584522636,0.3127336236523695,0.984561909834471
2024-11-27,739216.24906297,0.5539872900459907,8.226737982877715,0.4905672643899843,-0.015345155734224446,0.012305665292816815,0.002138853375745374,0.012118362287697906,2024-08-14,2024-11-08,739111.0,739197.0,2.224371004756793,0.08397274254887646,0.3127336236523695,1.7671737132984768
2024-11-20,739209.0969712365,0.8989353794417574,5.633139712128724,0.28136449348711084,0.0039768121490040675,-0.007136033487840415,-0.0037069206771847708,0.006097680955300944,2024-08-19,2024-11-08,739116.0,739197.0,1.8295612548318354,0.08893160863738653,0.3127336236523695,0.6575695866688338
2024-12-11,739230.7887599105,0.11730375013290886,4.262150536318966,-0.3537225507618645,0.40834418946629447,0.14270181822006567,0.004049867713556169,-0.14264433916148034,2024-08-24,2024-11-08,739121.0,739197.0,0.7993789167171007,0.07875533539073343,0.3127336236523695,0.8476411372452448
2024-12-10,739229.5233434286,0.6017549575178262,3.2458467519463756,0.16460562232207251,0.0026774174746117423,0.0290835781320079,0.025138575303709672,0.01462554438851171,2024-08-29,2024-11-08,739126.0,739197.0,0.5981310264021285,0.0170671074473668,0.3127336236523695,0.6383496778832014
2024-12-03,739222.7975373098,0.5493565414780947,2.54796442190709,1.4169494291734828,-0.16107123805288415,-0.06894919862602264,-0.029130697646198717,-0.0624931551917206,2024-09-03,2024-11-08,739131.0,739197.0,0.514730583630274,0.503674210914237,0.3127336236523695,0.4429696233256833
2024-12-05,739224.8024223438,0.36981260399707355,6.191600431154749,0.4031510037330402,-0.0033193885160568357,0.053097347488905974,0.051867739426015996,-0.011360718163590527,2024-09-08,2024-11-08,739136.0,739197.0,1.1443635866540918,0.003733911738102841,0.3127336236523695,0.2097795712711126
2024-11-19,739208.2754963839,0.3834838025957027,7.8652856076095645,0.1285321009880303,0.07256020186556983,-0.03578260038200573,-0.010263635749354478,-0.03427903544884088,2024-09-13,2024-11-08,739141.0,739197.0,2.235918664857787,0.09886876552855266,0.3127336236523695,0.9371855510869282
2024-11-30,739219.1632336928,0.6756479515955803,4.293708101658266,0.7062489294473946,-0.030371851425247537,-0.024231782719110948,-0.006183821874218203,-0.02342946095782284,2024-09-18,2024-11-08,739146.0,739197.0,0.8161141298888512,0.19723039680084162,0.3127336236523695,0.13173900043373105
2024-11-17,739206.1495934897,0.270402518094407,7.645074586465,-0.42612254102048647,0.34832942639601394,-0.022027342048440562,-0.01780699519550674,0.012965906054965752,2024-09-23,2024-11-08,739151.0,739197.0,2.1856991363738656,0.559315781824273,0.3127336236523695,0.3785031112634832
2024-11-24,739213.6171074922,0.6631381755179185,12.595817983847306,-0.1834372129256248,0.05804504397668254,-0.003305038187407179,-0.0028835344123277263,-0.0016150872153359163,2024-09-28,2024-11-08,739156.0,739197.0,2.4926009582775346,0.9246264581542999,0.3127336236523695,0.1865196869634053
2024-11-19,739208.54533835,0.8947296605187691,3.576630689632478,0.2524273744870307,0.004891822861870266,0.007912670096546968,0.007071368191260476,0.003550507000474464,2024-10-03,2024-11-08,739161.0,739197.0,0.8057012449140403,0.15465551060272245,0.3127336236523695,0.07207549436131314
2024-11-20,739209.4112013048,0.5985255955066972,6.247748188371984,-0.14151692041043637,0.07166138076270036,-0.01062790679562349,-0.010612858626423353,0.0005653623899866204,2024-10-08,2024-11-08,739166.0,739197.0,1.24505616961452,0.6459466420917184,0.3127336236523695,0.0711144113932115
