tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-18,739207.7316102061,0.6757477291505828,4.202012632123597,0.32903672328290506,-0.00248148337524557,-0.010227998488134013,-0.006372438790303965,0.008000248554707597,2024-07-15,2024-11-08,739081.0,739197.0,1.651114165360347,0.03901646837244747,0.4593331865178096,2.098055604233352
2024-12-04,739223.6118557936,0.6290705724576101,6.59258069177795,0.3830488595430247,-0.00732136453519303,-0.009585094919767518,-0.00014586387664522493,0.00958398499322918,2024-07-20,2024-11-08,739086.0,739197.0,1.7239884975448379,0.0728852300075509,0.4593331865178096,2.10934169771639
2024-12-13,739232.2300508718,0.40693603624654406,11.176885877626313,0.6508023855012748,-0.06879716523584427,0.01606403813855621,0.0019636926374248047,-0.015943563984966217,2024-07-25,2024-11-08,739091.0,739197.0,2.4699258793266305,0.15592693818285538,0.4593331865178096,1.8149679596047474
2024-12-19,739238.5700683809,0.7269420445969691,4.115102611161051,0.36003467111504983,-0.0035485550606290874,-0.004266111141114687,-0.004072204412844115,-0.0012715563252785034,2024-07-30,2024-11-08,739096.0,739197.0,0.8071815626132739,0.14693948113582314,0.4593331865178096,1.0207424692173324
2024-11-13,739202.2415627141,0.37975591834652367,4.445368769344135,0.5910514452138231,-0.0855046251074491,-0.007948149097390283,-0.005164789558782562,-0.006041359357614528,2024-08-04,2024-11-08,739101.0,739197.0,2.094836601480157,0.9190102572674219,0.4593331865178096,0.6297748062970965
2024-11-25,739214.4724183078,0.32634414407584483,4.834224549300524,0.8433802304775815,-0.164873021970743,0.005748108115660307,0.005086966185361543,0.0026764756562143656,2024-08-09,2024-11-08,739106.0,739197.0,1.4048092970627593,1.9363045889623345,0.4593331865178096,0.6290524667589592
2024-12-05,739224.9623300734,0.546362570680131,8.478569333249112,0.6660894844762915,-0.04307726386002719,-0.003478387013108004,-0.0019372299260483254,-0.0028889992084770847,2024-08-14,2024-11-08,739111.0,739197.0,1.8959288360422726,0.7980471909857672,0.4593331865178096,0.5928807880254167
2024-12-06,739225.3459325758,0.36833211481757716,12.7116287398337,0.9417848564382553,-0.1506328879643017,-0.009449219348791874,-0.009437309908134767,0.00047426574766062327,2024-08-19,2024-11-08,739116.0,739197.0,2.731276807540927,0.4619152050448943,0.4593331865178096,0.5342297548598268
2024-12-14,739233.2599144856,0.43865355575317466,11.102126541236407,0.7189523732848436,-0.07054647705668952,-0.010281257451733014,-0.009172706829991977,-0.004643888909075472,2024-08-24,2024-11-08,739121.0,739197.0,1.996846664277727,0.27110940104093095,0.4593331865178096,0.4567044383706149
2024-12-11,739230.5068337822,0.4587503830318881,8.558019289140256,0.8233016537305775,-0.08316148810174392,0.006150338667250096,0.0031703938065033715,-0.005270224742224639,2024-08-29,2024-11-08,739126.0,739197.0,1.5493372535228553,0.7248137110168277,0.4593331865178096,0.41401744417965447
2024-11-12,739201.6365754476,0.794232854256091,11.73322187889946,0.44125674288956784,-0.009996752095402564,0.003557173950371584,0.001908216817745894,0.0030020318268922314,2024-09-03,2024-11-08,739131.0,739197.0,5.0859991227931,0.19023235479513548,0.4593331865178096,0.34244889061876516
2024-12-01,739220.5419804892,0.7412487014287649,12.426146890514314,0.5466116251928054,-0.014147227700147464,0.002008095884360856,0.0010026090753558665,0.0017398919859580545,2024-09-08,2024-11-08,739136.0,739197.0,2.5283941400427588,0.4202564232081888,0.4593331865178096,0.4071305013332661
2024-11-19,739208.371668878,0.9121094894399244,2.3957476793375885,0.6500852258893971,-0.016032628338928864,-0.005454600992945869,-0.0052988400705355895,-0.0012942047361729327,2024-09-13,2024-11-08,739141.0,739197.0,0.678361900063661,1.1190452182529096,0.4593331865178096,0.409520477643345
2024-11-20,739209.7814199661,0.293211884702785,2.469845868823851,0.7457015383114894,-0.15052889114980283,0.01193442240999158,0.00459280097043339,-0.011015290168946769,2024-09-18,2024-11-08,739146.0,739197.0,0.6318772083807366,1.4973736100568587,0.4593331865178096,0.37378059625083887
2024-11-27,739216.564252749,0.4639075164620897,4.471955557292757,0.39964436780055473,-0.010945006951447579,0.013454899008514026,0.003988620223728822,0.012850105682062433,2024-09-23,2024-11-08,739151.0,739197.0,0.8607186256413634,0.0843858306656895,0.4593331865178096,0.30312246178083013
2024-11-18,739207.1036855804,0.29289246476962455,3.49369563536038,0.39739788103136964,-0.020683077964666154,-0.029370555241609544,-0.0287895585040225,0.0058129885896932385,2024-09-28,2024-11-08,739156.0,739197.0,0.901314836270869,0.05903725328009456,0.4593331865178096,0.27428291074243255
2024-11-18,739207.2892821825,0.8837283080814755,9.251597062947326,0.5146324953113205,-0.011102672533159297,-0.00310457443933007,-0.001731495536298187,0.0025768790536463038,2024-10-03,2024-11-08,739161.0,739197.0,2.214262646057762,0.3416075891671602,0.4593331865178096,0.18571390768087034
2024-11-09,739198.610293298,0.38422873481394804,11.223186889111162,0.5412063305752696,-0.07699182519338464,-0.005199087039297526,-0.004988119323070465,-0.0014660053413963266,2024-10-08,2024-11-08,739166.0,739197.0,5.373344869788624,0.50698040386615,0.4593331865178096,0.2255295988825894
