tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-12,739201.1626138403,0.13862466347602112,12.52322306559858,-0.5245358040655029,0.4534781300981114,-0.03151969686776265,-0.030985720472979997,0.005777232677155655,2024-07-15,2024-11-08,739081.0,739197.0,6.702313304114109,0.15925706347087004,0.17152926003847307,2.0000522220755204
2024-11-26,739215.8033472454,0.8476386882767108,3.1653445713121586,-0.16575411235669898,0.014018539514994734,-0.006595471932070566,-0.00003938249195656914,-0.00659535435181913,2024-07-20,2024-11-08,739086.0,739197.0,0.973296206501521,0.5691761206434486,0.17152926003847307,0.6926203766002818
2024-11-25,739214.6032182659,0.21689795103201975,2.207494424275293,-2.1951189597190606,1.0454343305822777,0.13956003482683724,0.11053702637213167,0.08519723658473138,2024-07-25,2024-11-08,739091.0,739197.0,0.6847474703201293,0.7360232316983741,0.17152926003847307,0.9253987168417036
2024-12-02,739221.391204173,0.9506823135440301,2.1040352109937013,-0.6370909007193566,0.020649905743274462,0.01043167510240565,0.009360147487071419,0.00460515846224867,2024-07-30,2024-11-08,739096.0,739197.0,0.5482505664332225,0.8944301540504787,0.17152926003847307,0.6810320519377204
2024-12-20,739239.7640078958,0.7730126933834687,9.088836133906248,0.16502132191285399,0.0011113449107558707,0.002649872232760028,0.0013196449695239757,0.002297903393174456,2024-08-04,2024-11-08,739101.0,739197.0,1.7026822492554916,0.0356699321029347,0.17152926003847307,0.5009578471455655
2024-12-06,739225.3819505337,0.12314552023763883,13.724808212799482,-0.10584198685387071,0.17583305858828838,0.02331980867220643,0.0026026130625830374,0.023174120948911654,2024-08-09,2024-11-08,739106.0,739197.0,3.138012046318072,0.0676531279538158,0.17152926003847307,0.7498544769512637
2024-12-10,739229.9714823853,0.3197930225809303,3.798338004054537,-0.8219010445914485,0.26565901151256843,-0.038510351988595544,-0.017924078027610268,0.03408481534562954,2024-08-14,2024-11-08,739111.0,739197.0,0.7757502081432919,0.5807944253494824,0.17152926003847307,0.6186062659658389
2024-12-02,739221.2426095839,0.3955666037960762,4.430357276520857,-0.2338334505766929,0.08962371737492189,-0.02119632488713065,-0.011225934707427356,-0.017979504405443776,2024-08-19,2024-11-08,739116.0,739197.0,1.035216574529333,0.377522859741019,0.17152926003847307,0.5344032575426433
2024-11-27,739216.7286546006,0.5688721920067236,12.633752070098955,0.13956391126957757,0.004725039441510688,-0.00381744277955373,-0.0007700196189228003,0.0037389756834781502,2024-08-24,2024-11-08,739121.0,739197.0,3.1758292141515443,0.05573336394993181,0.17152926003847307,0.6920644306847955
2024-11-24,739213.5457639446,0.5803453354190932,5.593212610577122,0.036999917839344164,0.018231204937468496,-0.012494768040084474,-0.007288024593780441,0.010149084978261233,2024-08-29,2024-11-08,739126.0,739197.0,1.4830803597818178,0.15139528327546978,0.17152926003847307,0.2431398256020279
2024-11-27,739216.2531715331,0.5170421669754034,5.238416694745358,0.0697511979079671,0.016970078506845652,0.015159738577381142,0.005037589752872492,0.014298264342789729,2024-09-03,2024-11-08,739131.0,739197.0,1.240533138031782,0.11048875007514213,0.17152926003847307,0.22455662546332283
2024-11-23,739212.9181681935,0.0345143297616164,8.236442632958656,-1.8156087776652152,1.7678971825299412,0.046428520397753324,0.046395905481180805,0.0017399600299814134,2024-09-08,2024-11-08,739136.0,739197.0,2.0649894783104856,0.15956290201604906,0.17152926003847307,0.4950432554951334
2024-11-17,739206.5501653254,0.7830645123094593,11.562490107855016,0.11852135757570624,0.004727804799339565,0.0016259555986978041,0.0011498835053817852,0.0011495649320450029,2024-09-13,2024-11-08,739141.0,739197.0,3.544751507301434,0.19692326320456352,0.17152926003847307,0.510042838216456
2024-11-27,739216.5556796043,0.5309710701565787,5.317432737323855,0.03260420035193368,0.021843897088073338,0.012766764650306711,0.0003119146131900706,0.012762953769030139,2024-09-18,2024-11-08,739146.0,739197.0,1.0859128396463542,0.17085123546926545,0.17152926003847307,0.19123799359393984
2024-11-21,739210.6120000745,0.7266824127398094,2.8847863282748625,0.43545382484600414,-0.026538848990842325,0.018091825045208947,0.0007984841269346913,-0.018074195876040585,2024-09-23,2024-11-08,739151.0,739197.0,0.6780885066991555,0.36951383397184046,0.17152926003847307,0.18144613065193407
2024-11-24,739213.4532106147,0.878780940383977,7.214258720693649,-0.03686445601119544,0.010067068972274948,0.00334357648267442,0.0006660269791412174,0.0032765701211097966,2024-09-28,2024-11-08,739156.0,739197.0,1.435748147095167,0.36675893093094986,0.17152926003847307,0.15955370380313083
2024-11-25,739214.4518929541,0.20597568727126997,7.5568973521167955,-0.8877620004638627,0.523609799108914,-0.029681629208816365,-0.02891196755205291,0.006715448217259989,2024-10-03,2024-11-08,739161.0,739197.0,1.3462425830063653,0.4808310089063077,0.17152926003847307,0.12073862108146755
2024-11-12,739201.419131632,0.9299655999400891,2.8369120547056283,0.12360385173796837,0.0009428770962997663,-0.006861859064144997,-0.006673726584935442,-0.0015957704364083175,2024-10-08,2024-11-08,739166.0,739197.0,0.9397288199925414,0.045043725558399784,0.17152926003847307,0.05006768379550493
