tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-29,739248.5038364275,0.14870922556524627,10.52573001128754,-2.5517965182101072,1.485072551399175,0.0048403587761910736,0.0022150541811845432,0.004303789964283437,2024-07-15,2024-11-08,739081.0,739197.0,1.9756729466284855,4.334667638726322,0.10994113614782508,0.6451713493082291
2024-11-09,739198.4163664263,0.9306114465061399,3.8697789287968236,0.12894931420831904,0.006570974359469791,-0.0005452840007344246,-0.0004959015391368339,0.00022675163712454038,2024-07-20,2024-11-08,739086.0,739197.0,2.693993006852188,2.8979390821765296,0.10994113614782508,0.6686157312499041
2024-11-25,739214.8069301478,0.058628336872799794,6.134162346562028,-4.001536287703847,3.446244214602063,-0.012507411247230963,-0.01250348703689762,-0.0003132858526853701,2024-07-25,2024-11-08,739091.0,739197.0,1.8931437055059934,2.633485485090903,0.10994113614782508,0.626599199525068
2024-12-13,739232.3680079787,0.15261108635599,4.673486721459804,-2.045373337810015,1.2440005937778817,0.003063086721641584,0.003056726030389677,-0.00019729733762815021,2024-07-30,2024-11-08,739096.0,739197.0,1.0038063997693731,13.261918839178966,0.10994113614782508,0.6241381993464826
2024-11-19,739208.79102413,0.4098981839212764,2.806714147315205,-0.23167559685665332,0.11766487531948756,-0.000563433358972843,-0.0005332738099225176,-0.00018186861646293768,2024-08-04,2024-11-08,739101.0,739197.0,0.9884880710422821,30.49875371156449,0.10994113614782508,0.6196579942896883
2024-11-14,739203.992420399,0.495614679095964,11.155128761565319,-0.06693819046517435,0.06284643077799715,0.009740483498736503,0.007808578340950591,-0.005822638841830689,2024-08-09,2024-11-08,739106.0,739197.0,4.687152359420306,0.28666170271905006,0.10994113614782508,0.3396146310431175
2024-12-14,739233.9704206962,0.1272257905698491,11.855575537092017,-2.8051470455861502,1.8265885575108254,0.021117119824582514,0.002580932478014116,0.020958805720501055,2024-08-14,2024-11-08,739111.0,739197.0,2.2676929897312905,0.928236335554953,0.10994113614782508,0.4826120230182539
2024-12-10,739229.2276604156,0.22967652903210328,11.642885067749928,-1.2376066351613613,0.600647722358475,0.015894627613279155,0.01584792339335391,-0.001217584117505711,2024-08-19,2024-11-08,739116.0,739197.0,2.328462721932458,0.7454619533973766,0.10994113614782508,0.4382537382950879
2024-11-15,739204.8961668585,0.33544025019078544,3.543916028198897,-0.2732077669330705,0.1747571833533683,0.003381534399485677,0.0007880504021360962,-0.0032884268972562082,2024-08-24,2024-11-08,739121.0,739197.0,1.3329212458240505,4.891622985267472,0.10994113614782508,0.4727470703079072
2024-11-29,739218.0785018033,0.9832329167359191,8.480154900429845,0.028165691072864648,0.005474378427243393,-0.0007795392594237259,-0.0005331410391494403,-0.0005687196931332217,2024-08-29,2024-11-08,739126.0,739197.0,1.9899201906789783,0.8142344018749088,0.10994113614782508,0.40126431587271094
2024-11-18,739207.9824032203,0.04102436063258886,6.503097726882731,-3.760249606405649,3.493882716803311,-0.03446159228332161,-0.0010775462074903849,0.034444741788444436,2024-09-03,2024-11-08,739131.0,739197.0,2.0154377612801953,0.6395794823991804,0.10994113614782508,0.36066218591253657
2024-11-25,739214.464005655,0.15554218456384608,4.33942855388146,-1.2106321374711846,0.8356198980933086,-0.004059954596014778,-0.0013275321621503237,-0.003836781161358828,2024-09-08,2024-11-08,739136.0,739197.0,1.0376875137490376,7.377398586527013,0.10994113614782508,0.3866731583815488
2024-11-24,739213.940945629,0.7959378255759342,5.116068740645616,-0.04244336224804083,0.01631410233736233,0.0006465302544635097,0.0006464808525270122,-7.992324605408028e-6,2024-09-13,2024-11-08,739141.0,739197.0,1.1887336629336394,3.925699954122749,0.10994113614782508,0.38866511723082947
2024-11-15,739204.902380232,0.7469051958866372,4.052517096634077,-0.025320484295620768,0.02389143601905462,0.002406800987493159,0.0018759990853772655,-0.0015077527731898585,2024-09-18,2024-11-08,739146.0,739197.0,1.2955788474366128,1.8295433241352226,0.10994113614782508,0.3284400581787157
2024-11-19,739208.5972578272,0.7104490589613691,7.0450165686965125,-0.09531930691597802,0.030963072022199282,-0.006688619938794936,-0.0031007448172663556,-0.005926467604217625,2024-09-23,2024-11-08,739151.0,739197.0,1.7970331558919317,0.46682966774272194,0.10994113614782508,0.184435392101105
2024-11-10,739199.9310245957,0.18763927520901552,8.807934513291588,-0.35406787073669627,0.3415261604410102,-0.03511076042709416,-0.015013149515106069,0.03173910583815921,2024-09-28,2024-11-08,739156.0,739197.0,3.7951205477180507,0.20722083047840084,0.10994113614782508,0.16975857328403493
2024-11-13,739202.805874221,0.8958775407084929,7.810063236294614,0.05723181352750913,0.010602590640371907,0.003496327243623808,0.0032555231967853564,-0.0012750972157833718,2024-10-03,2024-11-08,739161.0,739197.0,2.4539092348836578,0.3478516105550848,0.10994113614782508,0.1392876678606645
2024-11-10,739199.3656372111,0.3241227897690709,9.89309938292807,-0.07286109629251648,0.11817276996459741,0.01608345487310095,0.008849539251954697,-0.013429935803390414,2024-10-08,2024-11-08,739166.0,739197.0,4.166975780081691,0.24072171400184122,0.10994113614782508,0.14870886983585355
