tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-16,739205.1930679189,0.35889611985271325,9.593196089212242,0.7547614245800678,-0.12677574860172286,0.01919136331409535,0.004985999941794602,0.0185323563108966,2024-07-15,2024-11-08,739081.0,739197.0,4.150692955604414,0.24713587746568716,0.6759350101559914,1.5213221011622093
2024-12-15,739234.7553881678,0.3315746236957993,4.813616145245357,1.1785857969965206,-0.21855370257583873,0.03440687159240934,0.02488386189516462,-0.02376186503536537,2024-07-20,2024-11-08,739086.0,739197.0,1.0504720335490845,0.4375450872962005,0.6759350101559914,0.7099584504090157
2024-12-28,739247.5919755528,0.5842805650474879,6.067176573122122,1.0047596010366104,-0.05458990880606315,0.009265103357668326,0.006660085387333068,-0.00644091630606309,2024-07-25,2024-11-08,739091.0,739197.0,1.0910075909526873,0.5674098967761299,0.6759350101559914,0.6720971378741301
2024-12-20,739239.2962467208,0.016016773835562107,14.446161891279207,27.241322840701034,-25.169410363012112,-0.03648502636751725,-0.006061592854984782,0.03597796882953272,2024-07-30,2024-11-08,739096.0,739197.0,2.8054933909793864,0.7648582276789317,0.6759350101559914,0.9000933432353775
2024-12-13,739232.9838993351,0.9401119237915636,2.2283134934247726,1.3781694288275899,-0.018099866130788896,0.006979404646296705,0.004341822547694585,-0.005464491392717069,2024-08-04,2024-11-08,739101.0,739197.0,0.4609023392757558,1.0941081559228327,0.6759350101559914,0.279336322057115
2024-11-17,739206.1023322097,0.6184328527981114,4.341341206228877,0.7651597636223375,-0.05032990904678367,0.007487954248613178,0.005700920960505555,0.004854787228230764,2024-08-09,2024-11-08,739106.0,739197.0,1.6566549780367312,0.9574841541557655,0.6759350101559914,0.4908415338295878
2024-12-19,739238.2946526235,0.4691162653898512,4.235482437546436,1.534151297290046,-0.16383977171187117,-0.016921821802326528,-0.011485610112195736,0.012426939022153465,2024-08-14,2024-11-08,739111.0,739197.0,0.7588802675123258,1.0723827582672762,0.6759350101559914,0.2694402635510674
2024-11-09,739198.7939518483,0.20018567448049512,5.375701853923568,1.3090156893705787,-0.5348873795161729,-0.006959536840937667,-0.004107866332817392,-0.005617881026870722,2024-08-19,2024-11-08,739116.0,739197.0,3.2784860206448405,2.8620672522641613,0.6759350101559914,0.34623262259693677
2024-11-18,739207.1839448994,0.1587985000329131,14.010887186006725,2.2126598145006002,-1.0928678737139104,-0.021014633136327544,-0.003918215006468189,-0.020646123050527508,2024-08-24,2024-11-08,739121.0,739197.0,4.762337949120023,0.589422359321207,0.6759350101559914,0.30436051536047676
2024-12-13,739232.3923533089,0.3012517250101721,8.129490475169684,2.1914170442734364,-0.5512762085113594,0.018263759808558624,0.010597665669509057,-0.014874622842345631,2024-08-29,2024-11-08,739126.0,739197.0,1.4240588230894626,1.1185239271847236,0.6759350101559914,0.26705951281289353
2024-11-24,739213.9654684068,0.7930083711404721,4.288741825533223,0.8957913379351672,-0.030442338100794806,0.0041777043187861,0.004168749789463374,-0.00027338355483295734,2024-09-03,2024-11-08,739131.0,739197.0,1.0834125387969678,1.3473740368422913,0.6759350101559914,0.2114694386193829
2024-11-21,739210.5466879561,0.7657963831783086,11.35573284221455,0.7933212953290505,-0.029549282666764265,-0.0016388161057698772,-0.0015763424475038743,0.00044817710419904324,2024-09-08,2024-11-08,739136.0,739197.0,3.08199475347764,1.215947609562115,0.6759350101559914,0.3737458989456018
2024-11-14,739203.795397009,0.4338813267480578,3.4256739412489186,1.0220020229122189,-0.16355621460106912,-0.011843398054023511,-0.006467830955834158,0.0099213527400653,2024-09-13,2024-11-08,739141.0,739197.0,1.2123552884271154,1.7491041085479395,0.6759350101559914,0.2131841881761051
2024-11-28,739217.4931775009,0.9714838554143364,9.738774121567623,0.8680370762380399,-0.014090094742675774,-0.0019290842299859484,-0.0019233153056895866,-0.00014907783631597032,2024-09-18,2024-11-08,739146.0,739197.0,1.9367080635729157,0.7286081372665059,0.6759350101559914,0.216197893568789
2024-11-17,739206.2992435155,0.9596431917209325,10.096093628482775,0.7487067822660024,-0.015634267366998755,-0.0026189990787896895,-0.0017002084933628796,0.001992096195919758,2024-09-23,2024-11-08,739151.0,739197.0,2.8647221273362264,0.567412117318162,0.6759350101559914,0.19895688097519224
2024-11-24,739213.28393381,0.6886106393902008,13.274795223394062,1.0587970468470596,-0.060989175842727734,-0.004170644279946569,-0.0037341537212162395,-0.0018575170783004778,2024-09-28,2024-11-08,739156.0,739197.0,2.6575031535639533,0.7585697376039154,0.6759350101559914,0.17916168551382164
2024-11-18,739207.1542983733,0.3578570628144831,6.735420144166409,1.4291216686028498,-0.33010787645170725,-0.010011689587721976,-0.009474095299851402,0.0032365794676222923,2024-10-03,2024-11-08,739161.0,739197.0,1.6230704585996245,1.7518358619064174,0.6759350101559914,0.09802801525123044
2024-11-09,739198.5007602506,0.3520041051493406,9.803949046465458,0.9978398296856882,-0.2326094808506369,0.02420809813249178,0.0003618383307071968,-0.024205393783510068,2024-10-08,2024-11-08,739166.0,739197.0,4.798521982319178,0.344995494756116,0.6759350101559914,0.06393869874754672
