tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-21,739210.9543922761,0.31835201014916953,4.1893085855166,0.11146903124574922,0.103381632376159,-0.008803994399034159,-0.005543036020644282,-0.006839961187906319,2024-07-15,2024-11-08,739081.0,739197.0,1.4877769246794614,0.8923369411856287,0.47840193870592723,0.6158930359576149
2024-12-23,739242.7106052383,0.1366127917814928,14.688196158632106,-0.6503728069886051,0.6111042068470672,-0.009047774780487223,-0.007454103999508999,-0.005128212363282605,2024-07-20,2024-11-08,739086.0,739197.0,2.8802099877347587,0.6281977761622244,0.47840193870592723,0.6180113127687552
2024-11-24,739213.8031415518,0.6406667090013966,2.063214634501389,0.3844296512143481,0.0036770816871686818,-0.004914871222183944,-0.004482184580622816,0.002016427661950453,2024-07-25,2024-11-08,739091.0,739197.0,0.6531350308951874,0.23231587220830668,0.47840193870592723,0.6010474678474532
2024-11-13,739202.2974328914,0.08748379143900988,7.00115131275232,-0.34485041935477656,0.59252292269138,-0.017135749174876605,-0.010879080825829921,0.013239316454007131,2024-07-30,2024-11-08,739096.0,739197.0,3.341710188078227,0.43207604843524955,0.47840193870592723,0.5933148757005755
2024-11-10,739199.9079910968,0.11401560126150259,11.991435933270163,-0.018121032658282864,0.3222357842463256,-0.02908660895799042,-0.018677703943500722,0.022297403348237346,2024-08-04,2024-11-08,739101.0,739197.0,6.730746468129154,0.10533525845458984,0.47840193870592723,0.4971941717115785
2024-12-12,739231.154750824,0.9294492174285871,7.801457467984738,0.26417771276810376,0.003885362734396836,-0.0008154948072654838,-0.0004243238799695235,0.0006964057908752469,2024-08-09,2024-11-08,739106.0,739197.0,1.6124555732863264,0.567623400848457,0.47840193870592723,0.3516484451584306
2024-11-12,739201.4679250442,0.4505938897942422,8.787173624036527,0.27240660622553664,0.038479956908314385,-0.010998004078350903,-0.010094264103800333,0.004365996554070006,2024-08-14,2024-11-08,739111.0,739197.0,4.206854194811309,0.17941419103895115,0.47840193870592723,0.2706921842563615
2024-11-14,739203.403945273,0.49092628473811406,10.927058373569007,0.2811363155988033,0.030645772592863243,0.010171262082027278,0.005011029554255635,-0.008851223370114578,2024-08-19,2024-11-08,739116.0,739197.0,4.5453451330394365,0.13536573692518716,0.47840193870592723,0.22335203725596176
2024-11-25,739214.6287573517,0.4845486329446881,7.983580334534388,0.19981817683140413,0.03962761790327764,0.00506438610957112,0.0019329290509281876,0.004681003306011946,2024-08-24,2024-11-08,739121.0,739197.0,2.1216994569728866,0.4749094710673457,0.47840193870592723,0.3375448687625682
2024-11-28,739217.7379026256,0.08899659461895283,8.445430747084473,-0.7680185169666903,0.8636182032629356,-0.021328762895415104,-0.01766978102174398,-0.011945499792493085,2024-08-29,2024-11-08,739126.0,739197.0,1.9986874700101291,0.42668532402451165,0.47840193870592723,0.33606338836954325
2024-11-20,739209.6626123379,0.26255766670405173,6.793615821079007,0.14238602242842058,0.1161953355635236,-0.014427254251454804,-0.00938196979014613,0.010960123543688095,2024-09-03,2024-11-08,739131.0,739197.0,1.9748957578940414,0.31126388190690363,0.47840193870592723,0.32376992833368823
2024-11-12,739201.6069993745,0.2917288818282034,7.44762566788711,0.22470487039705797,0.08335668321055364,-0.020350598801789292,-0.012096215209586099,-0.016365465138356614,2024-09-08,2024-11-08,739136.0,739197.0,3.1483522382488873,0.16044449490751278,0.47840193870592723,0.2427475691141434
2024-12-03,739222.3081371404,0.7137398155069746,11.484607100495728,0.21272714109964916,0.014155078839485321,0.0029653133269570016,0.0012516691537539058,-0.0026881978083038794,2024-09-13,2024-11-08,739141.0,739197.0,2.1332995078444132,0.29666443522873037,0.47840193870592723,0.1630457077514277
2024-11-13,739202.2959742933,0.7234778350058354,13.93117355820516,0.2914559858941911,0.013692878125116423,-0.0028565457889650524,-0.0026474867259167877,-0.001072691885188092,2024-09-18,2024-11-08,739146.0,739197.0,5.240778341670983,0.24893793359832664,0.47840193870592723,0.20032655689043963
2024-11-20,739209.7088587002,0.12399789735284375,10.364476444576374,-0.3930848131303485,0.5378673931132114,-0.02592611440078384,-0.016508822738866332,-0.019990552260986217,2024-09-23,2024-11-08,739151.0,739197.0,2.5243038074185535,0.2482016909743141,0.47840193870592723,0.20808079363528242
2024-11-22,739211.3440399076,0.1346069362136282,14.858155650794206,-0.330263138856464,0.4695275720658346,-0.04062066082830594,-0.03961340684429693,0.0089897766555392,2024-09-28,2024-11-08,739156.0,739197.0,3.1929654647543404,0.10471686981587393,0.47840193870592723,0.12318172034502635
2024-11-11,739200.2826376447,0.08966201145540477,8.348573178328849,0.21342255497189386,0.14791599382283585,0.019283931219428316,0.0016907630926340604,0.019209667447413793,2024-10-03,2024-11-08,739161.0,739197.0,3.2980546931720647,0.08237886067574593,0.47840193870592723,0.06954178242849554
2024-11-15,739204.634325605,0.1880309049827949,6.005095543235751,0.2714308155639566,0.06813508725910003,0.02318129243593978,0.011545714073036926,0.020101462771257125,2024-10-08,2024-11-08,739166.0,739197.0,1.5497205828991392,0.09203276827345391,0.47840193870592723,0.05518393302648017
