tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-25,739214.3839706713,0.5723913176261354,2.353176990874246,-0.3509607266766759,0.07595936499974323,0.03759288206839421,0.01596267091595075,0.034035539064884136,2024-07-15,2024-11-08,739081.0,739197.0,0.7631526816292291,0.49148939055317714,0.3635169294665746,1.1443776102391126
2024-12-07,739226.9950128013,0.19398912426721654,9.667286346148035,0.579313164266389,-0.13758596149646357,-0.04437136780221991,-0.03788534951978978,-0.023098020962914592,2024-07-20,2024-11-08,739086.0,739197.0,2.3812754935241967,0.06222202004811459,0.3635169294665746,1.519084677229781
2024-12-05,739224.7028176411,0.43586747546354776,6.049751336479515,0.4854442817604576,-0.033465623947972534,0.0149078822340165,0.008326081982008232,-0.012366135674986857,2024-07-25,2024-11-08,739091.0,739197.0,1.5156047403150774,0.16173347286010323,0.3635169294665746,0.8776151854144855
2024-12-24,739243.9329068079,0.5862478834243577,4.681414947664433,0.17276408355760056,0.007301905093651035,0.009042158020583436,0.0084349221915679,0.003257715348430053,2024-07-30,2024-11-08,739096.0,739197.0,0.8553703709168783,0.10112726030722945,0.3635169294665746,0.6298096327024753
2024-11-27,739216.2026270451,0.8525068895812686,13.116709275831184,0.46972503630400886,-0.006957926206385139,-0.0017914698636035185,-0.0011507587071299295,-0.0013729962382192683,2024-08-04,2024-11-08,739101.0,739197.0,3.7402195605404134,0.2524313653660272,0.3635169294665746,0.35569806753074384
2024-11-22,739211.5729209699,0.770217759117453,12.627537081300039,0.4719988671476673,-0.010548422085418514,0.0027517863019915234,0.0013117155903850466,0.0024190349443050617,2024-08-09,2024-11-08,739106.0,739197.0,3.979751157123967,0.23381247033130162,0.3635169294665746,0.33179476743395586
2024-12-15,739234.2392051152,0.9203733105306815,6.297258356280544,0.42469353546157507,-0.00290186352825182,0.0010362735391478922,0.0006929634702619438,0.0007704962536058319,2024-08-14,2024-11-08,739111.0,739197.0,1.1994456254700858,0.40927487100944243,0.3635169294665746,0.40859520256002485
2024-12-01,739220.2411386592,0.3819490186077207,2.9706677972927173,0.33306429715233343,-0.01500276947081916,-0.018423296106599686,-0.004619675278715336,-0.017834697635527138,2024-08-19,2024-11-08,739116.0,739197.0,0.7095648627518923,0.10470210516863039,0.3635169294665746,0.44097899208199776
2024-12-04,739223.1505007967,0.9555410706926131,8.767833494379108,0.4158110105782145,-0.0028565039530312015,0.0010269720718209978,0.00008994924156972115,-0.0010230253028353435,2024-08-24,2024-11-08,739121.0,739197.0,1.901402581838217,0.3031330302101007,0.3635169294665746,0.35686175508100426
2024-12-05,739224.5629364904,0.27525989423916647,7.306203658754315,0.8798222998322461,-0.19966390607711368,0.016892149772811556,0.0013860134689517632,-0.016835192027743036,2024-08-29,2024-11-08,739126.0,739197.0,1.4816903384543532,0.4453134417187404,0.3635169294665746,0.338944964467082
2024-11-11,739200.6918699946,0.8186521144616667,13.743411957539989,0.39643258088645866,-0.006669935602568252,-0.0023839957281777606,-0.0023633197252140616,-0.00031329779505120004,2024-09-03,2024-11-08,739131.0,739197.0,6.4262731320791255,0.16665601434438507,0.3635169294665746,0.31321410057376964
2024-11-09,739198.2826265115,0.08823540372081753,11.805923586636284,0.7322223713612301,-0.33410121586781283,0.03172736372072484,0.025484880047074616,0.018898319969070924,2024-09-08,2024-11-08,739136.0,739197.0,7.295617454368307,0.07870221910372786,0.3635169294665746,0.28470099251615677
2024-11-28,739217.7564720613,0.8852760865697795,13.306536029106047,0.38918688596746814,-0.002989837994275792,-0.00159094777270197,-0.00013092941086132766,-0.0015855511044544955,2024-09-13,2024-11-08,739141.0,739197.0,2.769616934573296,0.12502747268344488,0.3635169294665746,0.17239170390409164
2024-11-09,739198.5651214623,0.6127586227256948,12.96778350714634,0.3464365718238917,-0.0052700164299017485,0.005019886836033282,0.0013370036351189746,-0.004838562299512,2024-09-18,2024-11-08,739146.0,739197.0,7.252682841311867,0.04960685818004111,0.3635169294665746,0.15280228952244504
2024-11-13,739202.0583879129,0.22926442701217203,10.264642465041007,0.3941450459311867,-0.03782061442411605,-0.020768396559150876,-0.005407584820440136,0.020052040346256426,2024-09-23,2024-11-08,739151.0,739197.0,3.776914348946986,0.04067414754533374,0.3635169294665746,0.1161478295240781
2024-11-09,739198.8020722345,0.2253884714815349,13.881907621954886,0.3631660633210185,-0.023948993693164743,-0.015424598162853253,-0.013354946136375018,0.0077177485175417525,2024-09-28,2024-11-08,739156.0,739197.0,6.998522636340947,0.0252090197876082,0.3635169294665746,0.1143657933870041
2024-11-08,739197.921038234,0.07307417474548684,2.402731471459527,0.6014737129431128,-0.2493234959213053,0.04010147304333021,0.03648895340740672,0.016633833577291847,2024-10-03,2024-11-08,739161.0,739197.0,1.4114762097374236,0.18908695340001308,0.3635169294665746,0.07207374092943995
2024-11-10,739199.2522186339,0.9852558927661763,10.048786695058151,0.3254718799356234,0.00018958805306279084,0.0024104612726535673,0.00179215886855045,-0.001611983292977513,2024-10-08,2024-11-08,739166.0,739197.0,4.305682469027319,0.007711630668281299,0.3635169294665746,0.061344918713479586
