tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-29,739248.0097377189,0.5390998928382665,7.652083508485737,-0.44380020229633227,0.05374427288232969,-0.0034643994326479144,-0.0020337142753486335,0.0028046514355930885,2024-05-23,2024-11-06,739028.0,739195.0,1.7332635422649556,1.092933599305935,0.14390982335917885,1.1579600100705252
2024-11-07,739196.9411352621,0.760918386912703,4.496679670511594,0.01139206118512563,0.009787451847948977,-0.002444712636549982,-0.0024383453264095463,-0.00017632908008575123,2024-05-31,2024-11-06,739036.0,739195.0,3.1616570571029077,0.6774666935588732,0.14390982335917885,1.0676806868489486
2024-11-30,739219.1084665307,0.2099979971604236,12.194042937544557,-1.0039157732364605,0.49904684700175284,-0.02908816771720331,-0.00388029175861416,-0.028828195174380566,2024-06-07,2024-11-06,739043.0,739195.0,3.8592377016877952,0.2954557070101603,0.14390982335917885,1.1666564521562874
2024-11-14,739203.6965817332,0.9304566575008038,6.464518792671052,0.01715597719628068,0.0041033896867174275,0.0011970124050022957,0.0011840300755435091,0.00017581660313466333,2024-06-14,2024-11-06,739050.0,739195.0,2.9549380860487076,0.4934055800922385,0.14390982335917885,0.950373874151018
2025-01-02,739252.7177715698,0.3135256421095654,7.241696680274106,-1.0092219780621283,0.28154058601377496,0.012556273037598834,0.012348410494238155,0.0022752474284175057,2024-06-24,2024-11-06,739060.0,739195.0,1.3895875552927874,0.970762507813569,0.14390982335917885,1.147039998436863
2024-12-05,739224.1403969943,0.7708856906053656,9.00369017827181,-0.14732352834916085,0.012174120501020978,0.002544986721037,0.00024656717583994005,0.0025330144172611784,2024-07-01,2024-11-06,739067.0,739195.0,2.4145947205076106,0.4095637562853641,0.14390982335917885,0.8611976120799262
2024-12-19,739238.7512463756,0.7543805297614692,11.434356915801283,-0.2172391883498079,0.013698301517039664,-0.0022390667534892992,-0.0007629049371173061,0.0021050881177525913,2024-07-09,2024-11-06,739075.0,739195.0,2.4018691290167995,0.40362532390315964,0.14390982335917885,0.878746803094321
2024-12-22,739241.7476875723,0.7926695411033624,10.789751152917658,-0.18682570751175795,0.01026603046816884,0.0015509562757695576,0.0009593336564467877,-0.0012186649682982655,2024-07-16,2024-11-06,739082.0,739195.0,2.1102001906109566,0.4862770084746847,0.14390982335917885,0.7313188881501359
2024-11-17,739206.2136001441,0.32440528670134766,14.361592503222258,-0.16082766403509874,0.09370035191780181,0.017699572408784982,0.014360437097468374,0.01034662794457579,2024-07-23,2024-11-06,739089.0,739195.0,5.3642853378437065,0.11958143771052913,0.14390982335917885,0.333548039265799
2024-12-20,739239.0689811874,0.4102158413472138,9.330127368737436,-0.28333051322789476,0.0720847091110306,0.006044540139559697,0.004432999281349186,-0.004109134077917872,2024-07-30,2024-11-06,739096.0,739195.0,1.748617054346258,0.5243300391600454,0.14390982335917885,0.4031544041164454
2024-11-18,739207.8753612399,0.35327142092103997,14.240623697666669,-0.12263673959116186,0.07151248083135606,0.017238573661988606,0.013824618246979632,0.010297978064896286,2024-08-06,2024-11-06,739103.0,739195.0,4.753814491077972,0.1029105762326852,0.14390982335917885,0.24709013600326735
2024-11-07,739196.7668320173,0.3902185743724481,10.646289913823004,-0.026707637235457937,0.04606216074158303,-0.013887002837774607,-0.00974323324661866,0.009895365264523831,2024-08-13,2024-11-06,739110.0,739195.0,6.598092755548956,0.12157532291208085,0.14390982335917885,0.24088754596522227
2024-12-03,739222.9106839056,0.5144287127283941,4.022961623776852,-0.11174053648030194,0.03290457294435467,0.005607641355583135,0.004790469286967943,0.0029149692251313913,2024-08-20,2024-11-06,739117.0,739195.0,0.8538611203221707,0.7503352326478909,0.14390982335917885,0.2469869647554727
2024-12-05,739224.6141710423,0.27813295455565906,9.590556087230535,-0.4544336993463222,0.19209708560727345,-0.011242269706192132,-0.01108203324673236,0.0018913400712415392,2024-08-26,2024-11-06,739123.0,739195.0,1.8819251376407478,0.49553625667375945,0.14390982335917885,0.2410413977852797
2024-11-22,739211.7141867467,0.556338791240144,6.663664568322082,0.02628769474975431,0.011425438108037672,-0.007123705174560418,-0.005189697376119979,0.004879981204713014,2024-08-30,2024-11-06,739127.0,739195.0,1.7213077609425669,0.13390387334945617,0.14390982335917885,0.17051707067835578
2024-12-02,739221.5815343262,0.3401050504103465,14.658622164646983,-0.15007916029419288,0.07239699852981275,0.004078848586273818,0.002652994358793512,-0.003098165057248843,2024-09-09,2024-11-06,739137.0,739195.0,2.700436568374785,0.41181570779676424,0.14390982335917885,0.21502684605014447
2024-11-23,739212.9768452927,0.9414529421889895,3.7165796667848587,0.03285930947633568,0.0034173231360681757,-0.0019904215181844494,-0.0006965721565480923,-0.001864554920288922,2024-09-16,2024-11-06,739144.0,739195.0,0.7953981260366166,0.43490676097936576,0.14390982335917885,0.14756640662698453
2024-11-26,739215.1794003206,0.24425223556852088,8.406292401499718,0.06315526374068046,0.017753558251557618,-0.03158385842437396,-0.03156539013856793,-0.0010799344289801364,2024-09-23,2024-11-06,739151.0,739195.0,1.5479805079949402,0.016332560676655596,0.14390982335917885,0.09396893583338035
