tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-07,739226.7670105745,0.272480699712312,10.873958987244427,0.05124856136225073,0.071671869985732,0.01891537699536782,0.008447670708462276,-0.016924194116065865,2024-05-23,2024-11-06,739028.0,739195.0,3.173491131903726,0.09494711858411055,0.3723410606831316,1.1024131785118332
2024-11-15,739204.501417607,0.6515929225981177,7.419693314223173,0.26902518248140317,0.0008350596113832418,0.005728059555746533,0.00367889550167927,-0.004390489057258109,2024-05-31,2024-11-06,739036.0,739195.0,3.3956266576104035,0.012802664308621203,0.3723410606831316,0.6544502779800064
2025-01-17,739267.7811850033,0.10459637287516091,8.59123322346369,-0.15240097934779367,0.26303873087001106,-0.05402733479747026,-0.025437254272914312,0.04766444167692562,2024-06-07,2024-11-06,739043.0,739195.0,1.5419051027831525,0.05927441441252633,0.3723410606831316,0.7556935534797152
2024-11-12,739201.9898223022,0.1873479879681135,6.285236905077508,0.24817114144323754,0.015718539249453232,0.04293889385690816,0.04256001984858762,-0.005691512640999165,2024-06-14,2024-11-06,739050.0,739195.0,3.08036390396188,0.010911606927350796,0.3723410606831316,0.6271392611878422
2025-01-10,739260.064866316,0.9213306995671338,3.0428973196618863,-0.5313363363189799,0.011864797479763918,0.0048747605113666215,0.004849953244811908,-0.0004911655182500126,2024-06-24,2024-11-06,739060.0,739195.0,0.5439845133165276,0.736945362190534,0.3723410606831316,0.5961767817203378
2024-11-26,739215.7134835675,0.04500145037769856,6.772790292723919,0.48734806430779865,-0.17539430622242452,-0.03707476735735331,-0.03514975625494536,0.011791225967633724,2024-07-01,2024-11-06,739067.0,739195.0,2.124841437114782,0.03143373147165386,0.3723410606831316,0.7807047891149762
2024-11-14,739203.3377715838,0.15481860639568515,11.16333224779274,0.41913924338467407,-0.08119450763239729,-0.029670415280652923,-0.02085021365966776,-0.021109290212430316,2024-07-09,2024-11-06,739075.0,739195.0,4.857264853657896,0.037951795820459065,0.3723410606831316,0.6847179091456433
2024-12-25,739244.325465765,0.517265829766636,3.81814362855852,-0.38648030861413274,0.06562536918626065,-0.01852981339817558,-0.0184335788281003,0.0018860424596014757,2024-07-16,2024-11-06,739082.0,739195.0,0.7238416045520812,0.4798022083643205,0.3723410606831316,0.5794808872829873
2024-11-23,739212.0896079424,0.4060910354338091,7.3784937405033775,0.3899952903595983,-0.0230177910956504,0.008658047921985634,0.00809920967710924,-0.0030601628103125154,2024-07-23,2024-11-06,739089.0,739195.0,2.3186341995879087,0.14631853634249214,0.3723410606831316,0.5067406562784773
2024-11-09,739198.9778739274,0.31539096572351705,11.747984461537104,0.4549566593823974,-0.0606936384164612,0.014983037621882026,0.013502915107960336,0.006493281140220922,2024-07-30,2024-11-06,739096.0,739195.0,6.083729559319263,0.10874998069183754,0.3723410606831316,0.3705759572005767
2024-12-15,739234.3012749453,0.7020838237246526,10.516122292070088,0.45703205285077836,-0.00887582355455916,-0.0017339043982131151,-0.00044974006168586585,-0.001674562133531502,2024-08-06,2024-11-06,739103.0,739195.0,2.0188711261516072,0.3417565531651482,0.3723410606831316,0.2968067312716699
2024-12-09,739228.3362583397,0.4831346699772888,9.079506824988446,0.4617880794777154,-0.024194131811786306,-0.002474109836086812,-0.002209760003564409,-0.001112735461674757,2024-08-13,2024-11-06,739110.0,739195.0,1.8307095182911903,0.520351739703096,0.3723410606831316,0.26083390944914747
2024-11-16,739205.9855210945,0.7593992346962957,2.5688465791639827,0.2078963314322307,0.005960257678053526,-0.004311154809734671,-0.00034062009754529435,0.004297677715074346,2024-08-20,2024-11-06,739117.0,739195.0,0.8552602565218783,0.40869884025989556,0.3723410606831316,0.19430335000558702
2024-12-05,739224.7468960026,0.9672789626488889,6.5913563490922815,0.31475273735868364,-0.00042303753077064046,0.0005458891604514555,0.00031294540559301953,0.00044728083864236295,2024-08-26,2024-11-06,739123.0,739195.0,1.2900796708788427,0.11372380411756762,0.3723410606831316,0.1968578874021294
2024-11-11,739200.9609995376,0.5262368347014114,6.035061246489302,0.36188198165515867,-0.013509161684662135,0.006747348858959732,0.0012263520553727036,-0.006634966259204964,2024-08-30,2024-11-06,739127.0,739195.0,2.418851659324784,0.17458012353569666,0.3723410606831316,0.17412402448160752
2024-11-21,739210.7286485322,0.3267440124014847,11.64001889333817,0.3397378276711091,-0.014039150637167229,-0.012978051523185949,-0.012724869985649204,0.0025509812203920934,2024-09-09,2024-11-06,739137.0,739195.0,2.8620442177015364,0.030365839526278558,0.3723410606831316,0.14543604064178908
2024-11-22,739211.2730624598,0.34962048125292783,6.189957120874442,0.17858002792155567,0.03738373199044137,-0.016696233214950007,-0.013449329371141228,0.00989341917814856,2024-09-16,2024-11-06,739144.0,739195.0,1.3981903397064483,0.1264658821742098,0.3723410606831316,0.09822616093598595
2024-11-14,739203.150788773,0.5833027658166593,12.110153562442648,0.3099772729819129,-0.0017548528613527195,-0.0037143005763029557,-0.0034913352205039353,-0.0012675200784181707,2024-09-23,2024-11-06,739151.0,739195.0,3.5772847442216262,0.022756635216725534,0.3723410606831316,0.1378867802637577
