tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-20,739270.0054550574,0.7077429413028674,11.280036931734463,0.27296313869138444,0.005628605181763319,0.00037900978988242393,0.0003103568764961629,-0.00021754776495809983,2024-05-23,2024-11-06,739028.0,739195.0,2.102982500325578,0.9317842884672592,0.43191293065177366,0.36723512152340865
2025-01-22,739272.9977278402,0.0029828534648874703,13.06574829105881,-54.59346645234063,54.251268146587186,-0.04118339552150364,-0.03340743738700489,0.024083504601987524,2024-05-31,2024-11-06,739036.0,739195.0,2.3110717219845305,0.3007359696067428,0.43191293065177366,0.20951069166888292
2024-11-08,739197.1487505112,0.11570953505565942,10.600273395546658,0.14063503380537326,0.19994465112398768,-0.02648693727435832,-0.01272441952541349,0.02323030335396135,2024-06-07,2024-11-06,739043.0,739195.0,7.208971288144519,0.08240055359882868,0.43191293065177366,0.1949274665260902
2025-01-14,739264.0620392599,0.9642488432585037,12.258986752028257,0.31260327225360834,0.0012959338499066808,-0.00027012269521242867,-0.0001667815236215002,-0.00021248574975117181,2024-06-14,2024-11-06,739050.0,739195.0,2.2071781610675263,0.377360388463867,0.43191293065177366,0.15312825710152306
2025-01-03,739253.9208827484,0.6734674126191219,12.469526234272973,0.2975714406561527,0.006279244766880469,-0.001160241263761736,-0.0005239630328097337,-0.0010351920258504,2024-06-24,2024-11-06,739060.0,739195.0,2.364148242449027,0.292297928948528,0.43191293065177366,0.14567154650701308
2025-01-06,739256.2294649482,0.1817498442747292,8.677889697784712,0.06426048180588485,0.15900457988939218,0.013374249223993197,0.011937608889701981,-0.0060302600526006235,2024-07-01,2024-11-06,739067.0,739195.0,1.558371888460913,0.24900045669636214,0.43191293065177366,0.14168094292345315
2024-11-09,739198.212831695,0.4996726900724643,4.9124515133343225,0.4101926763959759,0.0036043420252511705,-0.005124022227871696,-0.005121400347480991,-0.00016389714013613865,2024-07-09,2024-11-06,739075.0,739195.0,2.851186663277439,0.07154879553128961,0.43191293065177366,0.13867263555555623
2025-01-01,739251.3395541596,0.8985864262289198,13.844406145760425,0.3537597787949387,0.0013413061559021488,-0.0004572907542848736,-0.000031986928780204935,-0.000456170659229239,2024-07-16,2024-11-06,739082.0,739195.0,2.4248678751608215,0.19037986722369205,0.43191293065177366,0.1224307669144367
2024-11-11,739200.7371731199,0.6478422670014389,12.364548247502283,0.38480523125249544,0.004428960016352124,-0.0023808117723064038,-0.0017996094785069936,-0.0015587400103996005,2024-07-23,2024-11-06,739089.0,739195.0,5.842992484345545,0.09746927235016087,0.43191293065177366,0.1226319094160353
2024-12-23,739242.7899155952,0.9079059291536256,5.484129959468907,0.42662355464069646,0.00015007669652029523,-0.0005798954962586158,-0.0003001955852613103,0.0004961465480789379,2024-07-30,2024-11-06,739096.0,739195.0,0.979475104209862,0.04284465401180806,0.43191293065177366,0.12323353433743352
2024-11-17,739206.2387097857,0.7012393696057669,14.586590554367815,0.3877149300779748,0.0030811998393696816,-0.001799073218368063,-0.0006845715073173806,0.0016637386502748655,2024-08-06,2024-11-06,739103.0,739195.0,5.148405791267186,0.08233481730633746,0.43191293065177366,0.11886482986065938
2024-11-08,739197.7695385497,0.7855569184117186,5.766828539025745,0.4212637145935265,0.00048238057194223167,0.00242700509890746,0.0022314671917641918,0.000954414963316712,2024-08-13,2024-11-06,739110.0,739195.0,3.1720143951862885,0.027074455932908983,0.43191293065177366,0.06444819700843221
2024-12-04,739223.636914295,0.06524216399486328,13.440331102356913,0.1266397493657695,0.23162042858896467,0.026859410253598056,0.024909908536244755,-0.010046112476326807,2024-08-20,2024-11-06,739117.0,739195.0,2.8123392690145845,0.041859957016556676,0.43191293065177366,0.09745351756775192
2024-12-05,739224.2663135364,0.8214386572767653,6.703419538250283,0.407430153542795,0.0007593520042469687,0.0013709468559219146,0.0011638787488225946,0.0007244870873944784,2024-08-26,2024-11-06,739123.0,739195.0,1.3243388506553386,0.06787365863894192,0.43191293065177366,0.04198455548400399
2024-12-08,739227.1835670384,0.9943483770453121,4.23980451873493,0.3198739249574669,0.0019678232066948366,-0.0010722216709902139,-0.0010657079213312293,0.0001180082122265938,2024-08-30,2024-11-06,739127.0,739195.0,0.7662518482513017,0.4304217740163716,0.43191293065177366,0.03568501566248503
2024-11-28,739217.1720237217,0.33832541611855765,7.112718570126431,0.5403388841516892,-0.032512487773416865,-0.004453967511882695,-0.0012464632497940218,0.004275997657134466,2024-09-09,2024-11-06,739137.0,739195.0,1.4550398981520634,0.34721794020515623,0.43191293065177366,0.021740065615185062
2024-11-16,739205.0198975482,0.5534926758106725,13.827183910620999,0.4728558586851091,-0.0072914426143061714,-0.0025438009947895495,-0.0025409160969758907,0.00012111518988594389,2024-09-16,2024-11-06,739144.0,739195.0,3.9757804927207037,0.11473831517688678,0.43191293065177366,0.013448786697633448
2024-11-16,739205.2337113797,0.12790970618672562,2.047937472167806,1.052962832059357,-0.42618965775154877,0.03633080028257056,0.008032807935214445,0.03543163905110779,2024-09-23,2024-11-06,739151.0,739195.0,0.5435415121591731,0.73268069867603,0.43191293065177366,0.014934976066635174
