tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-22,739211.3413241333,0.2993715209312083,7.768844926377591,0.7678483429016539,-0.11782225775730344,-0.007930420645257182,-0.002173254493667308,-0.0076268300437649815,2024-05-23,2024-11-06,739028.0,739195.0,2.9893065491108577,0.5725127302494422,0.6931471805599453,1.4348883402473482
2024-12-29,739248.679624236,0.8756673529659829,5.701452151846665,0.7519722591021731,-0.006876333992238228,-0.0024515985210832167,-0.001320427860551087,-0.0020656247417326057,2024-05-31,2024-11-06,739036.0,739195.0,1.2492857393339398,0.4307857080961144,0.6931471805599453,0.6942157891670012
2025-01-09,739259.3225395529,0.2296623215131775,9.635385703803923,1.0788599650594475,-0.24534600586140654,-0.029929524673362434,-0.0066675182148670555,-0.029177399610448948,2024-06-07,2024-11-06,739043.0,739195.0,1.8599448261033407,0.19538886899702418,0.6931471805599453,1.1078847537188263
2024-12-17,739236.4762405495,0.6176096915778105,5.8719697891683875,0.8074906404686659,-0.029111906742117825,-0.009187917264700692,-0.004601033033264505,-0.007952881156523957,2024-06-14,2024-11-06,739050.0,739195.0,1.40480429098613,0.33326051828960507,0.6931471805599453,0.598807242744145
2024-12-12,739231.1196912278,0.2701177250499616,5.894238310421086,1.3140589189257135,-0.2977640740233612,-0.047331083900038595,-0.0362302441074836,-0.030456541416658628,2024-06-24,2024-11-06,739060.0,739195.0,1.4592336646435624,0.28830437997041286,0.6931471805599453,0.47262101474130014
2024-11-29,739218.1084585418,0.8534854434022996,4.938645675753815,0.7087843952441627,-0.010012800164787004,0.004528871527252491,0.0008326836193661028,-0.0044516643292590785,2024-07-01,2024-11-06,739067.0,739195.0,1.4759686499421287,0.3820795532365547,0.6931471805599453,0.46617405994668826
2024-12-30,739249.1123244216,0.3439549861801601,8.127492707228189,1.267773696859465,-0.19212046227954463,-0.03348429309535984,-0.03166904386813873,0.010875180208799656,2024-07-09,2024-11-06,739075.0,739195.0,1.5116699201232233,0.24281611675859546,0.6931471805599453,0.4897248022348858
2024-11-15,739204.5745040986,0.963270173255588,2.0176451950583885,0.7403685587800078,-0.007492076324379114,-0.004990690510788693,-0.0030658397276500824,-0.00393797137354232,2024-07-16,2024-11-06,739082.0,739195.0,0.8187278914324737,0.7167123199539878,0.6931471805599453,0.63740442250206
2024-11-18,739207.0512814334,0.8622996258797642,5.013562376761353,0.6998558007607393,-0.011561743056614407,-0.005436692400767816,-0.0023482674727153736,-0.004903393124883367,2024-07-23,2024-11-06,739089.0,739195.0,1.8208422458838607,0.3657634680646065,0.6931471805599453,0.4555905965707318
2024-12-22,739241.433612717,0.37957856819416647,10.92233742102415,1.3423306699937576,-0.1805805205570472,-0.02027994871742091,-0.016227186656726057,0.012163664463844514,2024-07-30,2024-11-06,739096.0,739195.0,1.984660560740158,0.3094497545005346,0.6931471805599453,0.9896671478326594
2024-11-14,739203.6192734534,0.04168925601363261,3.0276037876752495,3.4632437162152843,-2.623278242310386,-0.14213488789218817,-0.10888071354902464,0.09136365017434528,2024-08-06,2024-11-06,739103.0,739195.0,1.1840906641461553,0.2541375101920388,0.6931471805599453,0.44865092898265624
2024-12-13,739232.3562133242,0.2064932178285564,10.696719694919679,2.216778575742507,-0.763521289705555,0.0414498080584293,0.04055562896043686,0.008563150571139462,2024-08-13,2024-11-06,739110.0,739195.0,2.0198333849921895,0.3555934920858807,0.6931471805599453,0.9366809081462757
2024-12-08,739227.5058532306,0.03133514205289401,3.7830903411893155,-10.897920844352956,9.960298527440536,0.3354383958213018,0.13867198673372225,0.3054324761489693,2024-08-20,2024-11-06,739117.0,739195.0,0.7367556270301857,0.24594870380104944,0.6931471805599453,0.23134380369563595
2024-12-09,739228.4089636141,0.9337819261049463,11.921531833576614,0.8893871927855462,-0.010505303009333238,0.0011445255373502999,0.00016067807941589067,-0.0011331907431859,2024-08-26,2024-11-06,739123.0,739195.0,2.1801234334294577,0.7189463728103328,0.6931471805599453,0.5884141143568222
2024-11-16,739205.8588824462,0.627947152056933,5.326918876481866,0.9605443174308294,-0.058358337230738896,0.007253556410146303,0.000587372312099668,-0.007229735428226487,2024-08-30,2024-11-06,739127.0,739195.0,1.680924028384583,0.9484161235257197,0.6931471805599453,0.08602334492499976
2024-11-16,739205.056389151,0.9135793460745991,7.090991103125805,0.8395713314401709,-0.017000624791953887,-0.0016835106832892791,-0.0005502080595501604,-0.0015910623218325494,2024-09-09,2024-11-06,739137.0,739195.0,2.1579636963447393,1.3010330766116553,0.6931471805599453,0.10081702084518343
2024-11-11,739200.3856016257,0.9026628770276508,14.700507447484837,0.7652588855041014,-0.016689922883431983,0.000579915434521747,0.000510475728959342,-0.00027516620675507197,2024-09-16,2024-11-06,739144.0,739195.0,5.494652271584392,1.767188667532382,0.6931471805599453,0.13946084844317633
2024-11-11,739200.9573373497,0.04096715377129701,4.307145038842152,5.0088890095227745,-3.9915758909939165,0.10165171130561852,0.09910426533937594,0.0226144865717394,2024-09-23,2024-11-06,739151.0,739195.0,1.4577543990489805,0.37348743183539324,0.6931471805599453,0.07243183983566369
