tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-11-17,739206.5092604635,0.7867187406588971,3.061929693038306,-0.06618124617867911,0.0070986124405500815,0.001686111307856835,0.0014864215500685317,0.0007959411523313456,2024-05-23,2024-11-06,739028.0,739195.0,1.3359855968140182,1.0817116479962112,0.046083239039174155,0.16687295241578498
2024-12-25,739244.207400329,0.1423733538951533,13.159164097947315,-1.2953341425376421,0.7411774380789712,0.007069019722875872,0.004703002395933917,-0.005277575987728448,2024-05-31,2024-11-06,739036.0,739195.0,3.021074593137301,1.1343926668894826,0.046083239039174155,0.2610303112759783
2024-12-21,739240.4355994166,0.732524617512952,8.19559530702115,-0.19846107686485218,0.011454330888785537,0.00197028237392894,0.0011782875365433923,0.0015791298598410342,2024-06-07,2024-11-06,739043.0,739195.0,1.9162707958299552,0.5196165460606326,0.046083239039174155,0.12285100661747088
2024-11-08,739197.8646380069,0.35959807429239793,10.352081414170726,-0.1568175879147424,0.07102857033307472,-0.0007452902564538613,-0.00020317772172639493,-0.000717060931692094,2024-06-14,2024-11-06,739050.0,739195.0,6.497836477970685,3.3105283261754317,0.046083239039174155,0.2711058893183717
2024-12-25,739244.0007488347,0.48443754561588126,8.690952254201314,-0.42366173949790625,0.05976313204826383,-0.00674561675126508,-0.006610983113061262,-0.001340987559139486,2024-06-24,2024-11-06,739060.0,739195.0,1.830128394437492,0.49383528509124197,0.046083239039174155,0.09311478472540932
2025-01-03,739253.2754000311,0.760881466944713,11.106149137866078,-0.24076375510300518,0.01040215480900675,-0.0014455414866732135,-0.001444254756440083,-0.000060978587992841955,2024-07-01,2024-11-06,739067.0,739195.0,2.0540311145445465,0.49299924866900263,0.046083239039174155,0.16592548405476285
2024-12-26,739245.7008561624,0.1500121605053968,2.0551254428757333,6.742172716779922,-3.374032985661948,-0.3595025369043471,-0.05349134438317203,-0.3555007033983792,2024-07-09,2024-11-06,739075.0,739195.0,0.39706935252418896,0.6850708596040875,0.046083239039174155,0.11908962318582018
2024-11-25,739214.7114756446,0.6312007841090833,11.696798322170261,-0.15373954310425525,0.019840561374273265,-0.0016729011488722473,-0.0003948604597554383,0.0016256332523726903,2024-07-16,2024-11-06,739082.0,739195.0,3.5500335595454082,0.6400062343803913,0.046083239039174155,0.19253723132009698
2024-12-17,739236.4149502247,0.7393157929935027,9.124926279655641,-0.267947939981631,0.014396492418747575,-0.0022522370040109494,-0.0008834327370207883,-0.002071742773945688,2024-07-23,2024-11-06,739089.0,739195.0,1.8438247861526995,0.5178967937289474,0.046083239039174155,0.053526970007744576
2024-11-16,739205.6445932385,0.11664187162155429,10.244207471713592,-1.1161546738182135,0.7867408927809031,0.01899337415134291,0.01817808245877821,-0.005505050388031064,2024-07-30,2024-11-06,739096.0,739195.0,3.8024438792856268,0.47163466158022427,0.046083239039174155,0.19664025474344193
2024-11-14,739203.8151646558,0.7453228806850946,12.338071380399708,-0.1025488145206176,0.01187905511523506,-0.0011825608436828391,-0.0010844334721953762,0.0004716504991984512,2024-08-06,2024-11-06,739103.0,739195.0,4.785089019539513,0.6068139803791012,0.046083239039174155,0.15807427640316551
2024-11-12,739201.3120761917,0.5131757945772332,10.894632053368646,-0.1792829363423612,0.042356478426252814,-0.0025319152992998644,-0.0006236594514485185,0.0024539038227786455,2024-08-13,2024-11-06,739110.0,739195.0,4.63275820955831,0.7879964631263179,0.046083239039174155,0.1554176572659361
2024-11-11,739200.2462361989,0.12445869885359076,2.7917292696787857,-0.5409171656947467,0.4064669970596546,0.05397686406840929,0.0526683550683286,-0.011812968680903159,2024-08-20,2024-11-06,739117.0,739195.0,1.2282233521014179,0.3357141108026656,0.046083239039174155,0.04976799728733191
2024-11-28,739217.5661715145,0.3872024600296421,14.165076547384112,-0.44064515916001396,0.11364258606966422,0.003407067592153071,0.002226040850269894,-0.0025793122553171835,2024-08-26,2024-11-06,739123.0,739195.0,3.2302723438471133,0.9117579117974984,0.046083239039174155,0.13550142559527867
2024-12-07,739226.3093942367,0.4285352359618161,12.490460746131182,-0.40143271048828666,0.08216407311986895,0.007641129737913238,0.005543167387850182,-0.005259292631323744,2024-08-30,2024-11-06,739127.0,739195.0,2.2946981054948723,0.3689202253110387,0.046083239039174155,0.08159333750510302
2024-11-30,739219.491398324,0.8097895088993989,5.613936722126155,-0.12774658744073483,0.007873614989183998,0.002558607039157877,0.0025436985988705756,0.00027580322502122515,2024-09-09,2024-11-06,739137.0,739195.0,1.085024164951756,0.4438898524940224,0.046083239039174155,0.017303087318577152
2024-11-08,739197.6160551391,0.7856065812098463,8.83931042410694,-0.010172417217572565,0.004071522099435212,-0.002724923971556002,-0.002706761377534003,-0.0003140915405590582,2024-09-16,2024-11-06,739144.0,739195.0,4.248850943996221,0.1327972659881488,0.046083239039174155,0.033765260366040245
2024-11-13,739202.3702706546,0.4516149722420967,14.78025418892567,-0.018860042231811484,0.010395657281761634,0.0029458045891489395,0.002179944839636011,0.0019813140017663224,2024-09-23,2024-11-06,739151.0,739195.0,4.567335952829898,0.10782871941923318,0.046083239039174155,0.01643600711842345
