tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-23,739242.0844783811,0.5341522229019892,10.841748933917321,1.115696775444104,-0.0482898449586945,-0.00311005448914726,-0.0021673790704615004,0.0022304499300344013,2024-05-23,2024-11-06,739028.0,739195.0,2.6131714586000587,0.7649860350124073,0.6411701254619943,0.25598237917334826
2025-01-07,739257.5467111067,0.49019677025955566,9.49583456827099,1.2569593517467588,-0.06897843209928448,-0.0017952158548692949,-0.0009379785624952355,0.0015306848734711741,2024-05-31,2024-11-06,739036.0,739195.0,1.9113824252057563,1.9835079655333214,0.6411701254619943,0.32002639295819557
2024-11-20,739209.890687325,0.5431260965533026,14.59687271211751,0.9318604593552593,-0.03951118402272891,0.0011707612215629915,0.0011518353976402232,0.0002096593777026373,2024-06-07,2024-11-06,739043.0,739195.0,5.614166228194112,1.2557192873211882,0.6411701254619943,0.3601686301704997
2024-11-25,739214.1458341097,0.15484294870716211,6.907049638234936,1.8834315546877287,-0.697938845283315,0.020283544933967057,0.020278572383703678,-0.0004491070776007809,2024-06-14,2024-11-06,739050.0,739195.0,2.3620139151698294,0.7713870933177084,0.6411701254619943,0.4041640268768136
2024-12-28,739247.590359263,0.016478333486841027,2.280906161442123,20.822455325577273,-18.909214155819978,-0.17617329062258416,-0.06532425333924691,-0.16361470060620895,2024-06-24,2024-11-06,739060.0,739195.0,0.46165944392134944,0.7754240802661058,0.6411701254619943,0.14684486065867375
2024-11-14,739203.8062588993,0.559266951162798,5.2960037931808905,0.8482099003169554,-0.030237778626485273,-0.003110368679804502,-0.0024005483049197784,-0.001977817271654684,2024-07-01,2024-11-06,739067.0,739195.0,2.312120913659477,1.026618017205213,0.6411701254619943,0.3014635475959398
2024-11-30,739219.1282490082,0.2314060513959158,6.439106629847079,1.391834282751076,-0.3101406060728147,-0.006214654286832998,-0.00621464413920254,0.0000112306690487512,2024-07-09,2024-11-06,739075.0,739195.0,1.8316737206359686,1.7934561047692918,0.6411701254619943,0.3163064218358729
2024-12-30,739249.2059834871,0.6033558540884395,11.62706632175091,1.0362909314865338,-0.028478871376433415,0.0010100696870860022,0.0009312342211992775,0.0003912078706230097,2024-07-16,2024-11-06,739082.0,739195.0,2.0844740355955036,1.4631027191416157,0.6411701254619943,0.17592157340290918
2024-11-06,739195.3105116641,0.5989109663248208,3.4354708410097206,0.7041974085098848,-0.011538929288023601,0.004899338230941801,0.004638709360817831,-0.001576670722449354,2024-07-23,2024-11-06,739089.0,739195.0,3.190906580153547,0.4105859537862036,0.6411701254619943,0.14184350373956636
2024-12-13,739232.0686878074,0.06912678517238914,12.928408102225054,3.252938443983389,-1.97409074671847,-0.010551483315780211,-0.00864346850446947,-0.006051797449967446,2024-07-30,2024-11-06,739096.0,739195.0,2.6757027764225993,1.0003567420568267,0.6411701254619943,0.1821983753595234
2024-11-06,739195.5030203648,0.7285632675429753,6.115379703104998,0.7128738912923579,-0.007817731073180208,0.0006076147002564855,0.00010775740259106487,-0.0005979832490585382,2024-08-06,2024-11-06,739103.0,739195.0,5.075105372581108,1.5328381411046492,0.6411701254619943,0.13923616419356633
2024-11-12,739201.4831404797,0.36678593694961675,6.516631360084609,0.7888995781364325,-0.04617552450533898,0.006017086218099876,0.005090321135952291,-0.0032084197494911485,2024-08-13,2024-11-06,739110.0,739195.0,2.745294678026335,0.4319317457591918,0.6411701254619943,0.09236123508813125
2024-12-04,739223.903312785,0.8874711331657557,7.078457039230206,0.7166728930896901,-0.0022950761021953018,-0.001061000707940808,-0.0009125722216508662,-0.000541234184546854,2024-08-20,2024-11-06,739117.0,739195.0,1.4735200404930198,0.27120460045640743,0.6411701254619943,0.03521410284311759
2024-11-29,739218.5200658196,0.608544279716365,11.74587676739168,0.774148246967273,-0.01331205132295421,0.00159381677713669,0.0001650074673618566,-0.0015852521738818747,2024-08-26,2024-11-06,739123.0,739195.0,2.6199513399120637,0.4327263421196784,0.6411701254619943,0.07181951699922859
2024-11-30,739219.2115587874,0.9165898642033359,7.075453778784117,0.6962921621824701,-0.0016292027804834406,-0.0010497893200098198,-0.0010437984887685312,0.00011199254998083711,2024-08-30,2024-11-06,739127.0,739195.0,1.5058744641313797,0.2010452166423555,0.6411701254619943,0.03038913781301184
2024-11-22,739211.1172928506,0.10253025380917505,9.537674922518017,1.078560077390779,-0.30365356346540523,0.01362571831728132,0.01206676240985575,-0.006328779077040686,2024-09-09,2024-11-06,739137.0,739195.0,2.31604908936469,0.23956782603089943,0.6411701254619943,0.06636879132207714
2024-11-09,739198.0631366344,0.8286994668052685,5.2850498531989984,0.6421083348594354,0.0005220913313912337,0.001672032991054517,0.0005419911075577034,-0.0015817521811279697,2024-09-16,2024-11-06,739144.0,739195.0,2.414676830529661,0.04896092466671427,0.6411701254619943,0.01501874206401571
2024-11-07,739196.0948789266,0.05896184382347271,6.442809443930792,0.5679032943713441,0.07145550724509862,-0.01708555879178022,-0.005976740868008999,0.01600608908584634,2024-09-23,2024-11-06,739151.0,739195.0,3.8125837559899862,0.038273862191474196,0.6411701254619943,0.01622817214994443
