tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-23,739273.3480753629,0.8480593974087767,4.325810599266562,0.06759155861975318,0.00498364894859131,0.004171233865957925,0.0018870847147895058,0.0037199601131896703,2024-05-23,2024-11-06,739028.0,739195.0,0.7859046000988318,0.23422954428206152,0.5222741716914553,0.6213438593432226
2024-11-30,739219.8126327058,0.11383094633523964,2.559962322582092,0.7727843960657191,-0.2510082462910707,-0.10106528916501445,-0.07248133434608102,-0.07043187378892887,2024-05-31,2024-11-06,739036.0,739195.0,0.8159059805763621,0.11043652673324043,0.5222741716914553,0.8434882396445235
2025-01-06,739256.3317253054,0.3562080658469718,14.516392647398376,1.4302025199822728,-0.19218219582281448,-0.013861540635448377,-0.011108199619932082,0.008291574638868503,2024-06-07,2024-11-06,739043.0,739195.0,2.8799763698604925,0.3402096994536725,0.5222741716914553,0.9080079418146507
2024-12-25,739244.6551853162,0.8089487311793897,7.226379080486461,0.7127639953901531,-0.00701822218555601,-0.0026441023221889575,-0.0011833719540561085,0.002364510077914337,2024-06-14,2024-11-06,739050.0,739195.0,1.571201595981168,0.29713178621928327,0.5222741716914553,0.479943020039846
2024-12-20,739239.9984254335,0.5211857854218788,4.773985036095562,0.8711921866647278,-0.044367969385586147,-0.011364272117291923,-0.010717070600836555,0.0037803542813529367,2024-06-24,2024-11-06,739060.0,739195.0,1.0533309933419095,0.4262255082248509,0.5222741716914553,0.3065875354439288
2025-01-01,739251.2708167812,0.34763140498970274,5.630094191923825,1.3429130088085757,-0.1871007410928385,0.024933183244777304,0.008011228724141022,0.023611095718901767,2024-07-01,2024-11-06,739067.0,739195.0,1.0629304851672225,0.4633414162870273,0.5222741716914553,0.291544810692411
2024-12-05,739224.3246542781,0.5019475451693146,10.133163949543764,0.8576895075694492,-0.050538778621099095,-0.00767515182893102,-0.007128640990891726,0.0028443686856878124,2024-07-09,2024-11-06,739075.0,739195.0,2.625052671019457,0.32617527099517646,0.5222741716914553,0.785107802681501
2024-11-29,739218.2327667234,0.42675530126591055,5.44702626868967,0.7423779402346319,-0.05239278781858067,-0.01670669459182351,-0.0033442861774270463,-0.016368548932264443,2024-07-16,2024-11-06,739082.0,739195.0,1.5334112689446489,0.24569732567972505,0.5222741716914553,0.5146790503178906
2024-12-09,739228.8869683583,0.7468730027418623,3.384540993955606,0.8781903738305531,-0.020268222500128424,-0.007374142932802239,-0.006570878424190756,0.0033468702884787167,2024-07-23,2024-11-06,739089.0,739195.0,0.7637235265782109,0.6065283350725088,0.5222741716914553,0.2315976789523751
2024-12-06,739225.9692656898,0.5771503194432858,8.884844711562213,0.6418586977569832,-0.01640980725607857,-0.0029703943123819236,-0.0012516361984377144,0.0026938168456283862,2024-07-30,2024-11-06,739096.0,739195.0,2.028200081008084,0.3588628270402318,0.5222741716914553,0.4550063063115207
2024-12-12,739231.0705165023,0.9067697309675866,2.424807492945579,0.5481953981232909,-0.0034847145215394977,-0.0025486448821286614,-0.00102767517973668,-0.0023322680935419495,2024-08-06,2024-11-06,739103.0,739195.0,0.48900136679825046,0.5113021599501631,0.5222741716914553,0.11794038156892828
2024-12-15,739234.863095614,0.63673299612776,8.870558269617572,0.4718136679036143,0.0001148263478266978,0.0031352770747543847,0.001667330899237952,0.002655177961630213,2024-08-13,2024-11-06,739110.0,739195.0,1.6119387811444805,0.0026288876603753654,0.5222741716914553,0.05685910184730618
2024-12-08,739227.6514652487,0.07002228539563672,9.158892140889378,0.3953917079921655,0.05549935127844601,0.0300608157246374,0.002017437729988328,0.029993042310446357,2024-08-20,2024-11-06,739117.0,739195.0,1.7790956014407886,0.014114986984858977,0.5222741716914553,0.09038815697509422
2024-11-21,739210.400607522,0.7878808378765931,13.455046348186984,0.4700672382705029,0.00025898065696807664,0.0015147936037825842,0.0014622762036140813,-0.0003954086068924383,2024-08-26,2024-11-06,739123.0,739195.0,3.717738894466042,0.01001127072128745,0.5222741716914553,0.08666771808432609
2024-11-29,739218.1284866673,0.21167171640439403,13.225222948184086,0.34671379143964143,0.05746680601807008,0.007261256266650227,0.006092227246567841,-0.003951026416786353,2024-08-30,2024-11-06,739127.0,739195.0,2.886194868577707,0.1266674783929234,0.5222741716914553,0.07783954028347957
2024-11-25,739214.7913209525,0.10305669562046196,6.810740090158115,-0.14240032385474916,0.4236582762620602,-0.012886946684935867,-0.001633806714181883,0.012782960161131441,2024-09-09,2024-11-06,739137.0,739195.0,1.4837137061884527,0.4974478626289811,0.5222741716914553,0.018566926738874792
2024-11-15,739204.6817720213,0.9679436059578923,3.6266128477343225,0.4548151529369258,0.00039513161755641113,0.0011450959618288991,0.00043061624995667313,0.0010610440174988517,2024-09-16,2024-11-06,739144.0,739195.0,1.0593797790341593,0.09209769454561327,0.5222741716914553,0.015198070417330832
2024-11-10,739199.498437457,0.6752670385900866,8.99054194429145,0.4108976587434885,0.007774027538295328,0.000505756692976483,0.0004719074321270577,0.00018191538690763608,2024-09-23,2024-11-06,739151.0,739195.0,3.4023704306174456,1.15450047441802,0.5222741716914553,0.02179668236491908
