tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2025-01-06,739256.6573840677,0.6573376400180563,14.606060594887266,0.27926475558206476,0.005085275283580927,-0.0003928979891172159,-0.0002538571033548775,-0.00029987564243970024,2024-05-23,2024-11-06,739028.0,739195.0,3.046729609775628,0.5824921339040631,0.46014720049447844,0.27649344952695476
2024-11-15,739204.4604588265,0.7899349880939033,14.436796488757636,0.3411103749514532,0.0020444853517471656,0.0009405707381631606,0.0009404402852726969,0.000015664715924691357,2024-05-31,2024-11-06,739036.0,739195.0,6.616375436479223,0.11893592530406906,0.46014720049447844,0.20256885399614688
2024-11-10,739199.5202143737,0.5833827947475617,14.55351601635887,0.339411911080775,0.0053931015409335184,0.0029268740504273154,0.0029070855370460034,-0.00033977255239755664,2024-06-07,2024-11-06,739043.0,739195.0,8.210289057333213,0.07386186196987354,0.46014720049447844,0.16195781415260885
2025-01-02,739252.3858774318,0.894603570147223,6.412431771778193,0.31813766085548706,0.001134009153083431,0.0001998823852074986,0.000035727210453710765,-0.00019666350538276076,2024-06-14,2024-11-06,739050.0,739195.0,1.2863041674296374,0.7914981542542499,0.46014720049447844,0.23175380782958807
2024-11-11,739200.2464596691,0.08741978105011251,5.726850422239206,0.09655535466696348,0.21222374897384125,-0.004941270927877279,-0.004259635111296649,-0.002504329671048515,2024-06-24,2024-11-06,739060.0,739195.0,2.994907510264655,0.6556154656216284,0.46014720049447844,0.23625125364661864
2024-12-11,739230.2539640014,0.8144830114686215,9.78513281566044,0.3370826223176904,0.0014734244737118498,0.00008342199837838725,0.0000825194903179687,-0.00001223779110404794,2024-07-01,2024-11-06,739067.0,739195.0,2.3869990799633753,1.47015320645742,0.46014720049447844,0.23503893640388396
2024-12-06,739225.10351402,0.13375193080847517,5.4473519335152165,0.0022046996478703165,0.22050489992284875,-0.008571836489162456,-0.0002135864922885235,-0.008569175083241598,2024-07-09,2024-11-06,739075.0,739195.0,1.3929509675119136,0.6316245359136958,0.46014720049447844,0.22260709849984067
2024-11-11,739200.413711978,0.625197364617753,8.528505328802627,0.3371165997527449,0.004892316394591506,-0.0011890140395770757,-0.0008034273635990843,-0.0008765037693767327,2024-07-16,2024-11-06,739082.0,739195.0,4.187775120849553,0.3016280779586283,0.46014720049447844,0.21853629076526107
2024-11-20,739209.5717832792,0.5997567539606995,4.397003095768803,0.3117888631962808,0.007053717054632925,0.0016954033210131016,0.0006479671164091555,-0.0015666943023304378,2024-07-23,2024-11-06,739089.0,739195.0,1.478798260481833,0.5674967533288104,0.46014720049447844,0.20510277470653235
2024-11-28,739217.7049130476,0.7529840225865596,3.1418469749134217,0.4102259014343835,-0.0019160955458365793,0.00220140424045204,0.0005560817918872505,0.002130012598697878,2024-07-30,2024-11-06,739096.0,739195.0,0.8395769779900321,0.20860182085515086,0.46014720049447844,0.18737784412606973
2024-12-14,739233.2928505647,0.014421065593961172,11.311706040530721,-1.681239852117797,1.9414320016411182,-0.015078428731984079,-0.013655871645855144,0.006393448413606895,2024-08-06,2024-11-06,739103.0,739195.0,2.2045229428995183,0.16414790268577975,0.46014720049447844,0.18190158308649962
2024-11-06,739195.0803729405,0.4783939661887092,8.029682551071964,0.3385674388315548,0.00943557768583077,-0.001883043246928748,-0.0004562879737928471,-0.0018269245071365096,2024-08-13,2024-11-06,739110.0,739195.0,8.9006004616768,0.2985351807143685,0.46014720049447844,0.15204352713865316
2024-11-17,739206.3164982205,0.8405779193346603,3.0576505311066366,0.34723524095202474,0.0013900949443923767,0.0007174515455662812,0.0006353434778165946,0.00033327974050541997,2024-08-20,2024-11-06,739117.0,739195.0,1.0053619240616396,0.5326501074520917,0.46014720049447844,0.1277464817035566
2024-12-04,739223.8597389308,0.7701737284229915,8.429362189015272,0.2745188768489779,0.004829123858120186,-0.0008783626420516958,-0.0008779934033697181,0.0000254659496444742,2024-08-26,2024-11-06,739123.0,739195.0,1.6786899952538854,0.5023292570813894,0.46014720049447844,0.1132719823490723
2024-12-06,739225.2335804803,0.5894057810663799,10.195093954315787,0.2706057240054139,0.0099930871573584,0.001470740065445674,0.0003025749869887213,-0.0014392792353660642,2024-08-30,2024-11-06,739127.0,739195.0,1.9120630488410093,0.39281395727867036,0.46014720049447844,0.1102898565183437
2024-11-21,739210.0409437092,0.051993367943276705,11.125208705096501,-0.0350493746507025,0.34042746317943884,0.02396047025921471,0.0030500854111347375,0.023765544681902333,2024-09-09,2024-11-06,739137.0,739195.0,2.798030693886138,0.0664001460279148,0.46014720049447844,0.09260475580489488
2024-11-23,739212.0107869512,0.5585539892436012,3.7575811637000625,0.39218736520427083,-0.0018745419422128214,-0.006014315226118291,-0.005954589338700378,-0.0008454900629540828,2024-09-16,2024-11-06,739144.0,739195.0,0.8287716849384474,0.04633036940700279,0.46014720049447844,0.056437542142675066
2024-11-19,739208.5967288626,0.016151370916246636,3.326112584543279,0.8091580963329522,-0.40610219025525573,0.04166965749146446,0.0094709741817617,0.04057907100346637,2024-09-23,2024-11-06,739151.0,739195.0,0.7642139164816533,0.04732469748103645,0.46014720049447844,0.02914731582271625
