tc_d,tc,m,w,a,b,c,c1,c2,t1_d,t2_d,t1,t2,O,D,p2,best_cost
2024-12-10,739229.6127872674,0.7326872386591577,10.729687286517152,0.5588979525188158,-0.0016381382262253231,-0.0008711560422169062,-0.0000596632995570178,0.0008691105456597538,2024-05-23,2024-11-06,739028.0,739195.0,3.009151823794866,0.12840624742978907,0.6931471805599453,0.34018736759181056
2024-12-24,739243.9848123703,0.9481929773239901,13.307521490647666,0.5646226682627337,-0.0006028883926556464,-0.0002781167610902157,-0.00026735849685359655,-0.00007660526717855317,2024-05-31,2024-11-06,739036.0,739195.0,3.0624712017439464,0.15445761258268045,0.6931471805599453,0.31284742190568066
2024-12-09,739228.2017660902,0.484998251736236,13.99844989451548,0.6304841713053582,-0.013546298060669705,0.0012660500273025367,0.0012568472896315119,-0.0001523731018870349,2024-06-07,2024-11-06,739043.0,739195.0,3.8294485157065568,0.3707063166363072,0.6931471805599453,0.33027794075680794
2024-12-06,739225.5319879262,0.3199190867786155,3.6180682949102874,0.7101990936044911,-0.0499052727313109,-0.010267883994047263,-0.007540473074311887,-0.006969268794557248,2024-06-14,2024-11-06,739050.0,739195.0,1.0071594146976228,0.42976284994143227,0.6931471805599453,0.2668950685936042
2024-11-13,739202.5437358449,0.8445823217764472,4.2566016501400465,0.5382707570645375,-0.0006206627414008599,0.0006094457422119281,0.00020341010226835552,-0.0005744984273219773,2024-06-24,2024-11-06,739060.0,739195.0,1.9910060559603449,0.20206895979428202,0.6931471805599453,0.29391115710551297
2024-11-08,739197.5292746798,0.12993809516160207,11.586998290658654,0.6479132802307733,-0.08094855108774611,0.016667928675284084,0.0042315312460521025,-0.016121848207883677,2024-07-01,2024-11-06,739067.0,739195.0,7.272623177023889,0.05446192644419762,0.6931471805599453,0.24698805320315884
2024-11-22,739211.3194266028,0.8066983295240289,6.326176204216783,0.5200338758006962,0.0002454664490915665,0.0009506868687825996,0.0005723064568928841,0.0007591250502218835,2024-07-09,2024-11-06,739075.0,739195.0,2.1371682309319024,0.032924904066479285,0.6931471805599453,0.19823841180040694
2024-11-20,739209.3913358402,0.23752321609709576,4.884943864640609,0.4631844007103173,0.02534083189560462,0.013378312418313894,0.011093846901151862,0.007477018396113181,2024-07-16,2024-11-06,739082.0,739195.0,1.6953648025295964,0.09210135549206516,0.6931471805599453,0.1780926515333378
2024-12-20,739239.6892318361,0.07839958896968603,7.962011331632887,0.5610490770661087,-0.024067946768449575,-0.02510965385059406,-0.0078489439468079,-0.023851389800523586,2024-07-23,2024-11-06,739089.0,739195.0,1.5402572722344972,0.009438202932400544,0.6931471805599453,0.15227491184837283
2024-12-14,739233.8114955775,0.06709837426590551,14.50372701634405,0.9688238812647809,-0.3355037292530408,0.015418104854475255,0.015352984845728878,-0.0014155612421978922,2024-07-30,2024-11-06,739096.0,739195.0,2.925059690119536,0.10066969149418332,0.6931471805599453,0.18012667534541807
2024-12-14,739233.6888923609,0.15173804034685848,12.77945823601473,0.6754583443211387,-0.0797208838471726,-0.003038651814377073,-0.0006634374478247524,-0.00296534240886965,2024-08-06,2024-11-06,739103.0,739195.0,2.4758165162409367,0.3115108615058338,0.6931471805599453,0.17872801729759905
2024-11-23,739212.8631056229,0.31041877445494565,4.405246879645679,0.5441556340040601,-0.0062101430224197765,0.009389131161515456,0.008262585984995923,-0.004459311248241093,2024-08-13,2024-11-06,739110.0,739195.0,1.2274182772819109,0.04660729779156102,0.6931471805599453,0.11139029581975175
2024-12-08,739227.022830646,0.23029510479665977,4.901125109259429,0.6694371275530995,-0.05545895856353866,-0.013838001312048875,-0.013474117270047116,0.003152529794511776,2024-08-20,2024-11-06,739117.0,739195.0,0.9627535121494047,0.18831601714795526,0.6931471805599453,0.10779613566345914
2024-11-08,739197.8163558316,0.5400419385595568,13.549290430571924,0.5136888892981599,0.0021952975826517447,0.0021025258259361078,0.00034994580299918933,0.002073198684084949,2024-08-26,2024-11-06,739123.0,739195.0,7.072233625696968,0.04161625496941486,0.6931471805599453,0.1130126033427302
2024-11-27,739216.5692688474,0.43561212182419695,13.055838361555416,0.4464982834473697,0.015159497734317311,-0.008802666072089113,-0.008261573998937236,-0.0030386386815139713,2024-08-30,2024-11-06,739127.0,739195.0,2.9583967152984156,0.057460020547483025,0.6931471805599453,0.060576253440396036
2024-11-12,739201.7408233585,0.4683425628241277,13.648730642267065,0.4854685175500694,0.008794871112738575,-0.005648115756179581,-0.0023358326276220116,0.005142479706419898,2024-09-09,2024-11-06,739137.0,739195.0,4.9141147236339595,0.053431486357149026,0.6931471805599453,0.09020314992580226
2024-11-07,739196.3491815393,0.5602388150411147,2.9322859195913216,0.5415261580407412,-0.0035721434458283767,0.0065867857739895655,0.002313465758927749,-0.006167140586584693,2024-09-16,2024-11-06,739144.0,739195.0,1.7073484520899134,0.10361490458214075,0.6931471805599453,0.07564405197481502
2024-11-14,739203.1884809973,0.38659341539709546,9.30596651893549,0.504982056580502,0.005460982509296824,-0.010794519960978688,-0.0008017211776462853,-0.010764706421509168,2024-09-23,2024-11-06,739151.0,739195.0,2.7431773011345655,0.02101650129083533,0.6931471805599453,0.066497098567563
